"lon","lat","y","temperature","precipitation","elevation","soil_ph","distance_km","noise_var"
114,-39,12.511625,24.956438,555.815537,260.155607,6.575993,120.595896,-1.824783
115.290323,-39,11.2177,23.489808,593.680992,303.250857,6.518074,113.752324,1.420086
116.580645,-39,10.987206,23.69181,541.583754,366.640319,6.817911,176.089178,0.724392
117.870968,-39,15.6537,24.135369,605.980623,432.558943,6.91113,149.85514,1.385941
119.16129,-39,12.523797,24.135952,535.247898,272.329071,6.716322,105.454059,0.67272
120.451613,-39,13.12086,23.531091,488.818503,292.359636,7.058684,110.930809,0.0913
121.741935,-39,11.718402,25.078845,540.115431,548.091051,6.859966,156.309428,1.90299
123.032258,-39,17.100146,24.122141,563.609978,359.847483,6.889625,164.644829,-0.208665
124.322581,-39,14.464878,26.041899,591.13633,406.148492,6.787713,190.086616,-1.995436
125.612903,-39,11.068645,24.749823,598.183794,271.697022,6.449961,107.667449,0.051688
126.903226,-39,14.643398,25.580185,564.955339,402.199046,6.719678,128.649062,-1.939923
128.193548,-39,16.985558,27.252901,566.994019,403.868917,5.99686,164.605714,1.397018
129.483871,-39,18.816652,23.918945,680.227858,247.019222,5.901777,214.465556,-1.436844
130.774194,-39,21.75738,23.193447,655.379464,386.974161,6.386912,85.453249,1.199543
132.064516,-39,16.732144,22.921625,554.802819,459.612269,6.855725,79.259076,-0.7219
133.354839,-39,16.280153,23.667347,514.214508,465.53883,6.186087,137.517895,-0.355811
134.645161,-39,13.797973,23.032881,469.187801,75.096546,6.727531,163.714367,1.486873
135.935484,-39,12.153762,19.831384,450.349741,216.152864,6.174703,173.918855,0.477549
137.225806,-39,10.122587,18.126813,414.020736,426.600878,6.123274,103.73522,-1.370224
138.516129,-39,6.261099,21.54214,301.256934,337.470867,5.848911,108.956633,-0.177119
139.806452,-39,14.940241,21.704798,432.262057,245.692558,6.086028,40.366302,-0.332559
141.096774,-39,18.250159,20.055768,523.981855,259.402739,6.292241,81.749208,-0.890219
142.387097,-39,15.891396,20.954253,530.437063,25.507561,6.525985,68.666356,0.640716
143.677419,-39,20.697464,23.148717,504.761372,56.215519,6.372079,42.799631,2.637351
144.967742,-39,21.38486,25.299621,481.027022,182.93499,6.424088,89.183037,-1.100699
146.258065,-39,20.841123,23.85915,541.64817,338.229221,6.56075,183.649599,-0.20807
147.548387,-39,22.056391,23.182344,573.360475,339.720665,6.205975,110.76868,2.676126
148.83871,-39,19.243788,20.982176,608.162611,386.591638,6.10497,91.899323,0.20941
150.129032,-39,19.181969,22.271049,606.059737,227.126683,6.749424,106.341969,-0.344725
151.419355,-39,20.399976,21.755913,643.804457,427.775089,5.642259,95.604692,-0.004534
152.709677,-39,24.252695,22.739396,658.398335,484.602358,6.356659,75.544331,-1.668627
154,-39,22.672207,23.63743,676.803147,447.983954,6.778735,127.391711,-0.144608
114,-38.096774,17.978938,24.982919,598.653716,266.895671,6.974944,92.308089,-1.084793
115.290323,-38.096774,17.047541,23.214408,673.048624,384.943086,6.607041,114.564206,-1.246313
116.580645,-38.096774,10.472531,23.78928,551.909617,306.47316,6.962418,177.638364,0.221094
117.870968,-38.096774,11.414988,22.000275,647.338047,261.097703,6.92175,165.193894,-0.743152
119.16129,-38.096774,12.624108,22.224595,558.819514,72.097727,6.631117,80.137644,0.506516
120.451613,-38.096774,14.865875,22.233099,527.298848,281.048618,6.963962,153.347911,0.446722
121.741935,-38.096774,10.96105,21.127671,549.123693,166.990223,6.964139,175.58039,0.37086
123.032258,-38.096774,12.593112,23.129061,545.998668,300.80813,6.717127,179.015171,0.131782
124.322581,-38.096774,7.012491,24.47966,445.307413,373.968034,6.534665,164.671601,0.520402
125.612903,-38.096774,6.872367,24.128839,518.283887,404.734945,6.430372,109.220505,-1.111381
126.903226,-38.096774,13.027041,25.525034,553.451922,473.031427,6.599521,102.299039,-1.280876
128.193548,-38.096774,13.461854,24.671654,492.251136,442.91049,6.249119,116.579361,-0.789554
129.483871,-38.096774,18.316879,22.374127,623.27344,257.207764,5.78102,105.181648,1.135846
130.774194,-38.096774,19.474836,22.926457,587.758139,422.284175,6.355747,114.929073,-0.040995
132.064516,-38.096774,20.453954,21.957758,628.171592,417.805676,6.445409,61.34428,-0.163235
133.354839,-38.096774,16.690457,23.957693,559.031037,182.454645,6.624301,129.17071,-0.222469
134.645161,-38.096774,15.259807,22.067133,460.121953,171.419247,6.194448,124.244147,0.102968
135.935484,-38.096774,10.174289,21.060157,457.887566,70.303195,5.665861,168.57357,0.523808
137.225806,-38.096774,10.058268,20.258434,434.937827,179.943152,5.819642,162.369347,0.032239
138.516129,-38.096774,11.889261,20.210895,442.249043,215.456169,5.785728,117.616964,0.980463
139.806452,-38.096774,15.243974,22.495551,456.166119,187.801981,6.270225,96.722604,1.259454
141.096774,-38.096774,19.695927,21.890073,405.786099,297.547554,5.816433,97.616687,1.075232
142.387097,-38.096774,15.081701,21.810098,418.363748,164.924978,5.957532,38.906715,0.176426
143.677419,-38.096774,16.716931,23.157877,429.67943,65.253455,6.232303,87.59932,1.413937
144.967742,-38.096774,18.354652,24.59262,500.789571,135.732656,6.166185,135.191395,0.160972
146.258065,-38.096774,21.681111,23.786283,521.649175,219.211686,6.300396,122.482661,0.217568
147.548387,-38.096774,16.211739,19.761591,532.774961,323.318061,5.924743,84.897292,0.125278
148.83871,-38.096774,16.984527,20.981241,537.956396,381.909745,5.935001,105.71026,0.725674
150.129032,-38.096774,17.859701,21.183616,596.473432,281.777787,6.001371,71.489963,-0.63069
151.419355,-38.096774,19.546783,21.872385,582.884987,328.855122,5.521921,94.852803,-0.799506
152.709677,-38.096774,22.242646,22.977234,609.008879,447.433856,6.252073,119.198308,1.633027
154,-38.096774,19.71167,24.537031,590.742728,321.242343,6.401995,119.98322,-1.356832
114,-37.193548,13.089591,22.913044,536.785724,280.485119,6.611699,107.71769,1.28863
115.290323,-37.193548,18.977467,24.139513,652.459939,305.860747,6.991912,104.277423,-1.613858
116.580645,-37.193548,16.018107,23.432028,545.752388,217.840105,7.079946,136.120724,1.810764
117.870968,-37.193548,13.046805,23.243421,591.694362,157.477508,6.674158,124.167024,-0.057623
119.16129,-37.193548,12.347981,23.052031,542.818133,136.629531,6.926639,199.159945,2.415063
120.451613,-37.193548,12.93459,22.714896,484.079493,127.252352,6.750492,193.697246,0.34024
121.741935,-37.193548,7.028097,20.791284,533.002959,190.404112,6.649003,219.43522,-0.608317
123.032258,-37.193548,9.990771,22.030466,538.359231,149.056856,6.660845,171.940707,0.876135
