lon,lat,y,residual,Temperature,Shortwave radiation,soil-depth,Wind speed,Soil bulk density,Soil C,Soil N,Soil P,Soil pH,Soil CEC,Soil sand,Soil clay,Distance to manmade land,Distance to water,Slope,cos(Aspect),sin(Aspect),Elevation,Precipitation
113.33249,-23.988663,26.82,-3.693204364,23.22005169,270.3489392,0.975205546,7.983501306,1.531375566,0.466211818,0.193308773,0.137403181,7.013710336,2.696619656,90.97052006,5.825663706,19.95139321,5.807886896,0.197110963,0.243751057,-0.375747476,27.14285714,1813.272442
113.33249,-24.488663,10.39,-19.10729115,22.97711679,269.3258021,0.722082207,8.101530075,1.504171142,0.646028652,0.231214622,0.169393087,7.370163197,3.356518775,90.71193101,6.167411046,27.48618008,3.643453206,0.123274568,0.155099452,0.018590632,14.81818182,1876.3224
113.33249,-26.488663,30.21,0.473598371,21.64497848,262.2457674,0.715257395,8.570431306,1.425237068,0.845749054,0.270537945,0.199653567,7.681868203,3.287374438,94.91557702,3.229917653,10.59647451,3.688993355,0.171435059,-0.488223886,-0.076617959,33.33333333,2551.901509
113.83249,-21.988663,14,-14.50724956,24.13055785,272.75505,0.467049682,7.112908916,1.409904982,0.921994517,0.144095976,0.206480071,6.721927111,1.46390749,86.96624482,8.269242398,19.12057218,14.5019012,0.814512361,0.244124552,0.000671773,113.0357143,2060.510172
113.83249,-23.488663,9.142857143,-16.76156417,24.45582646,272.2079062,0.989548308,7.484140306,1.532456689,0.429988679,0.11577444,0.133094201,6.717361675,2.247520733,80.27515729,12.30220948,62.09081838,14.1234083,0.135857424,-0.077096613,-0.067692349,27.42666667,1895.495652
113.83249,-24.488663,28.22,-1.247588105,23.79928889,270.4678261,1.369372516,7.774549895,1.551166504,0.370777551,0.17113906,0.135951767,6.36837482,3.247955464,86.88999975,7.890513243,132.3718654,4.635139186,0.04664283,-0.101091899,-0.031544238,15.89908257,1760.698747
113.83249,-25.488663,15.83,-15.07605293,23.20693106,268.0372368,1.450853152,7.689004297,1.563329631,0.3648702,0.184859836,0.122566225,5.991127296,3.665534942,87.70174228,7.373573433,25.52219654,19.90164095,0.059999599,-0.047979281,0.192491256,15.16216216,1681.991194
114.33249,-22.988663,7.75,-15.12056295,25.43601235,272.6826665,0.733780354,6.791875581,1.508722884,0.323645476,0.144062458,0.160848161,6.613530675,1.436067824,77.86052759,13.33636856,176.0285026,44.68521117,0.122320762,0.007966591,0.011002224,79.68,2065.937297
114.33249,-23.988663,7.625,-17.46974626,25.08022041,271.6007141,0.883836124,6.931294866,1.558484256,0.316941899,0.094274923,0.12525283,6.042123447,2.223665276,84.66078086,9.28319656,313.3486722,30.22673852,0.129531486,0.031528246,-0.054094801,72.00909091,1945.142559
114.33249,-24.988663,9.666666667,-19.60898919,24.25448414,269.2428789,1.306380835,7.118064646,1.570030139,0.336960139,0.133539522,0.119299283,5.537577861,3.417360962,88.09877163,6.926716025,229.275325,21.97907184,0.064013652,-0.024292282,0.016022905,64.17,1831.27636
