"point_id","X","Y","best_model","best_dg","lon","lat"
1,-1571062.8687,-4375355.9337,"cubist",296.4406,114,-39
2,-1347008.0061,-4345882.6618,"rpart",-1.512,116.5806,-39
3,-671912.4578,-4284691.1474,"cubist",6.8662,124.3226,-39
4,-333284.395,-4269461.379,"rf",4.9116,128.1935,-39
5,-220324.9633,-4266665.6502,"cubist",3.9158,129.4839,-39
6,5649.7118,-4264497.3746,"rpart",1.206,132.0645,-39
7,231622.0818,-4266893.8812,"rpart",1.2039,134.6452,-39
8,457499.9454,-4273854.1922,"knn",1.2419,137.2258,-39
9,908603.6673,-4301453.0139,"cubist",0.8313,142.3871,-39
10,1245998.5543,-4334097.4668,"knn",0.3355,146.2581,-39
11,1470312.0666,-4361532.9078,"xgbTree",1.0155,148.8387,-39
12,-1585016.9572,-4276972.411,"cubist",1.9964,114,-38.0968
13,-1472069.542,-4261534.1158,"xgbTree",5.1323,115.2903,-38.0968
14,-1358972.0524,-4247237.3592,"rpart",-3.998,116.5806,-38.0968
15,-564055.4607,-4179230.571,"knn",-3.7609,125.6129,-38.0968
16,-336244.6075,-4170137.307,"knn",0.7226,128.1935,-38.0968
17,233679.3355,-4167547.0048,"knn",1.0208,134.6452,-38.0968
18,575440.7124,-4179806.0107,"cubist",-5.6626,138.5161,-38.0968
19,803007.4744,-4193728.6945,"rpart",0.6022,141.0968,-38.0968
20,1030246.5938,-4212245.0356,"rpart",0.712,143.6774,-38.0968
21,1709071.9001,-4295271.1132,"cubist",0.715,151.4194,-38.0968
22,-1256739.6389,-4134992.4714,"cubist",64.6925,117.871,-37.1935
23,-913308.0018,-4102114.0129,"rpart",-0.5738,121.7419,-37.1935
24,-798628.8206,-4093468.7273,"xgbTree",0.1022,123.0323,-37.1935
25,-683868.1732,-4085982.1135,"rpart",-0.2369,124.3226,-37.1935
26,-109253.0721,-4065951.7107,"knn",1.3633,130.7742,-37.1935
27,235743.4634,-4067868.1705,"rpart",1.0879,134.6452,-37.1935
28,350709.9131,-4070829.7617,"rpart",1.0915,135.9355,-37.1935
29,580523.6745,-4080235.4622,"rpart",1.2445,138.5161,-37.1935
30,1268169.3058,-4136267.5473,"knn",0.6878,146.2581,-37.1935
31,1382392.193,-4149652.8797,"cubist",0.7368,147.5484,-37.1935
32,1610403.3758,-4179880.8903,"xgbTree",0.5235,150.129,-37.1935
33,1837757.483,-4214708.2084,"xgbTree",0.9548,152.7097,-37.1935
34,-1383016.0386,-4048991.1952,"cubist",3.5159,116.5806,-36.2903
35,-921328.7068,-4002437.488,"knn",-0.8744,121.7419,-36.2903
36,-458137.759,-3974568.7021,"xgbTree",-20.1136,126.9032,-36.2903
37,-110212.5367,-3965957.6071,"knn",1.117,130.7742,-36.2903
38,1163949.8311,-4024552.5093,"knn",1.3238,144.9677,-36.2903
39,1853896.7379,-4116020.4899,"xgbTree",0.6795,152.7097,-36.2903
40,1968294.3294,-4135322.5652,"xgbTree",0.4167,154,-36.2903
41,-1511191.2159,-3964132.4037,"knn",26.3702,115.2903,-35.3871
42,-1278842.4866,-3935952.3404,"xgbTree",4.7089,117.871,-35.3871
43,-1162466.561,-3923623.7327,"knn",6.2074,119.1613,-35.3871
44,-1045971.9649,-3912471.1121,"knn",0.6356,120.4516,-35.3871
45,-695895.6717,-3886080.0153,"rpart",-1.1032,124.3226,-35.3871
46,-579045.7809,-3879641.5625,"rpart",-3.489,125.6129,-35.3871
47,-111174.5553,-3865697.3288,"knn",0.625,130.7742,-35.3871
48,1406704.9489,-3950870.5879,"cubist",16.2049,147.5484,-35.3871
49,1754492.1411,-3998765.9945,"xgbTree",3.8681,151.4194,-35.3871
50,-1641253.2467,-3880477.5589,"cubist",45.2664,114,-34.4839
51,-1524298.4652,-3864491.5142,"cubist",146.8729,115.2903,-34.4839
52,-1407188.2846,-3849687.5096,"knn",9.9015,116.5806,-34.4839
53,-819723.3637,-3793446.5029,"rpart",-1.9499,123.0323,-34.4839
