"k","model","eta_autocorrelation","eta_heterogeneity","theta_min","theta_probable","theta_max"
6,"xgbTree",0.3459,0.6007,0.3459,0.6007,0.7388
6,"rpart",0.1997,0.4226,0.1997,0.4226,0.538
6,"knn",0.1626,0.4333,0.1626,0.4333,0.5254
6,"rf",0.1305,0.4447,0.1305,0.4447,0.5172
6,"cubist",0.1006,0.4163,0.1006,0.4163,0.4751
8,"xgbTree",0.337,0.6007,0.337,0.6007,0.7353
8,"rpart",0.1974,0.4226,0.1974,0.4226,0.5366
8,"knn",0.1629,0.4333,0.1629,0.4333,0.5256
8,"rf",0.1263,0.4447,0.1263,0.4447,0.5148
8,"cubist",0.0968,0.4163,0.0968,0.4163,0.4728
10,"xgbTree",0.3572,0.6007,0.3572,0.6007,0.7433
10,"rpart",0.22,0.4226,0.22,0.4226,0.5496
10,"knn",0.183,0.4333,0.183,0.4333,0.537
10,"rf",0.1526,0.4447,0.1526,0.4447,0.5294
10,"cubist",0.1173,0.4163,0.1173,0.4163,0.4848
14,"xgbTree",0.3381,0.6007,0.3381,0.6007,0.7357
14,"rpart",0.2061,0.4226,0.2061,0.4226,0.5417
14,"knn",0.1637,0.4333,0.1637,0.4333,0.526
14,"rf",0.1394,0.4447,0.1394,0.4447,0.5221
14,"cubist",0.0941,0.4163,0.0941,0.4163,0.4713
18,"xgbTree",0.3071,0.6007,0.3071,0.6007,0.7233
18,"rpart",0.1969,0.4226,0.1969,0.4226,0.5363
18,"knn",0.1561,0.4333,0.1561,0.4333,0.5217
18,"rf",0.1171,0.4447,0.1171,0.4447,0.5097
18,"cubist",0.0868,0.4163,0.0868,0.4163,0.467
22,"xgbTree",0.3014,0.6007,0.3014,0.6007,0.7211
22,"rpart",0.1946,0.4226,0.1946,0.4226,0.535
22,"knn",0.1556,0.4333,0.1556,0.4333,0.5214
22,"rf",0.1128,0.4447,0.1128,0.4447,0.5074
22,"cubist",0.082,0.4163,0.082,0.4163,0.4642
