"method","variable","mean_gc","sd_gc"
"moran","Induscale",0.9077,0.0861
"moran","IT",0.8207,0.1053
"moran","Income",0.8878,0.1046
"moran","Sexrat",0.7142,0.1141
"moran","Houseown",0.8278,0.116
"moran","Indemp",0.873,0.1076
"moran","Indcom",0.8783,0.1137
"moran","Hiedu",0.7538,0.1703
"spvar","Induscale",0.0487,0.1156
"spvar","IT",0.0689,0.1057
"spvar","Income",0.1293,0.1708
"spvar","Sexrat",0.0891,0.1107
"spvar","Houseown",0.1477,0.1621
"spvar","Indemp",0.1433,0.1923
"spvar","Indcom",0.0802,0.1512
"spvar","Hiedu",0.0914,0.1334
"shannon","Induscale",0.8662,0.1875
"shannon","IT",0.6863,0.1385
"shannon","Income",0.8451,0.1191
"shannon","Sexrat",0.8376,0.1399
"shannon","Houseown",0.5467,0.1315
"shannon","Indemp",0.8759,0.1423
"shannon","Indcom",0.8735,0.1738
"shannon","Hiedu",0.8101,0.152
