"method1","method2","variable","correlation"
"moran","spvar","Induscale",-0.2341
"moran","spvar","IT",0.03
"moran","spvar","Income",-0.1794
"moran","spvar","Sexrat",0.063
"moran","spvar","Houseown",0.0157
"moran","spvar","Indemp",-0.1816
"moran","spvar","Indcom",-0.449
"moran","spvar","Hiedu",0.0073
"moran","shannon","Induscale",0.6181
"moran","shannon","IT",0.2582
"moran","shannon","Income",0.6472
"moran","shannon","Sexrat",0.4601
"moran","shannon","Houseown",0.295
"moran","shannon","Indemp",0.7191
"moran","shannon","Indcom",0.7114
"moran","shannon","Hiedu",0.8156
"spvar","shannon","Induscale",-0.8055
"spvar","shannon","IT",-0.3525
"spvar","shannon","Income",-0.6034
"spvar","shannon","Sexrat",-0.5966
"spvar","shannon","Houseown",-0.0794
"spvar","shannon","Indemp",-0.6964
"spvar","shannon","Indcom",-0.8861
"spvar","shannon","Hiedu",-0.3128
