"Lon","Lat","Zn","Elevation","Slope","Aspect","Water","NDVI","SOC","pH","Road","Mine"
120.0523,-28.4551,10,455.3352,0.236,305.5014,0.014,0.1835,0.909157596,5.948719066,49.3852,55.6037
120.0554,-28.4145,30,450.5336,0.2073,292.9933,2.2039,0.2023,0.906108802,6.052237225,49.0077,51.1173
120.0557,-28.3594,30,442.9731,0.2853,325.4005,0.0119,0.1631,0.848149834,5.758793838,45.1004,45.0236
120.0584,-27.3531,30,508.807,0.2355,98.4398,3.0563,0.2035,0.850780043,5.822969343,0.0774,48.9831
120.0614,-28.312,33,426.5948,0.191,329.1009,3.5299,0.1792,0.93283456,5.851367234,39.9249,39.8388
120.0615,-27.3202,27,509.84,0.2114,105.2654,3.3759,0.1906,0.867735799,6.070160482,0.0468,48.7004
120.0704,-28.3297,30,434.4082,0.2383,328.8855,1.6743,0.1724,0.927349597,5.892921837,41.9852,41.8924
120.075,-27.4931,18,524.3985,0.4064,201.2808,0.1688,0.1781,0.814871587,5.70733008,9.2156,49.0767
120.0782,-27.3906,6,517.2367,0.2884,271.9599,3.2534,0.1941,0.9880648,5.624761157,2.3097,47.0806
120.0786,-28.431,20,457.8201,0.1965,287.9989,0.0724,0.182,0.9032547,6.097607245,46.9556,53.1724
120.0885,-27.5087,26,518.1975,0.249,234.4566,0.1467,0.191,0.854739198,5.919378868,11.5064,47.2641
120.0977,-27.554,24,518.4768,0.2454,300.4764,0.0134,0.1961,0.857572244,5.865826536,14.335,42.1941
120.0983,-28.4075,36,466.7967,0.3144,236.1161,0.0053,0.1723,0.872190991,5.869736198,44.5275,50.8807
120.1012,-28.3575,28,451.6974,0.3063,28.3217,0.0149,0.1634,0.841387518,5.77197882,41.5603,45.4613
120.1019,-27.3003,23,489.1864,0.1166,67.329,2.3246,0.2056,0.831425463,6.003525812,0.893,44.3983
120.1028,-27.5432,24,519.4713,0.2258,274.5896,0.1197,0.2017,0.871498304,5.932709432,15.5131,43.3917
120.1074,-28.4347,32,466.589,0.2217,275.8933,1.2383,0.1896,0.904655026,5.956264337,43.7423,54.0225
120.1093,-28.3466,30,445.414,0.2826,131.3555,0.0808,0.169,0.874304593,5.857137796,40.2343,44.4591
120.1115,-27.4583,29,532.942,0.4081,37.2693,2.2414,0.1661,0.908934289,5.71597645,9.4311,44.949
120.1181,-27.5209,23,531.7744,0.4114,251.3429,0.0121,0.1757,0.809888462,5.727865214,14.7339,45.84
120.1185,-27.3514,29,487.8517,0.0796,67.9855,3.1237,0.195,0.90060329,5.752301341,5.3669,42.3118
120.1206,-27.4217,9,513.0849,0.268,16.8844,3.9009,0.1743,0.922286298,5.725832881,7.73,42.9714
120.121,-27.3816,14,498.3199,0.2818,50.1892,0.4842,0.1748,0.919131771,5.75249827,7.1142,42.2442
120.1224,-28.3089,30,429.3922,0.233,38.3474,3.447,0.1928,0.875171946,5.8657618,37.3103,40.5117
120.1263,-28.425,24,482.2695,0.3856,231.6491,0.0093,0.1668,0.851771903,5.844688788,41.9412,53.0657
120.1305,-28.3607,18,451.0564,0.3144,269.3357,0.0714,0.1724,0.869070563,5.788492583,38.8261,46.055
120.1323,-27.3064,51,486.814,0.044,99.3237,2.0582,0.1853,0.831717096,5.884626099,0.1816,40.9684
120.1508,-28.3901,49,473.3243,0.4123,71.1525,0.0659,0.1678,0.800378644,5.687492842,38.588,48.5278
120.1528,-27.3338,31,484.9598,0.0644,92.4979,1.2966,0.1994,0.853798519,5.641191032,2.9956,38.51
120.1558,-28.3416,22,439.9807,0.2807,348.7529,0.092,0.1685,0.897287959,5.797185284,35.3512,43.2372
120.1567,-27.9357,28,457.9131,0.2187,242.9306,0.3916,0.1796,0.892204842,5.875823524,0.3315,0.5156
120.162,-27.6372,24,518.9795,0.4054,141.1934,0.0138,0.1838,0.856691102,5.754100153,10.4856,33.3658
120.1629,-27.7836,21,481.7473,0.3269,268.8966,2.0985,0.1983,0.877046287,5.994854278,14.6564,17.2181
120.1642,-28.3074,29,421.7722,0.2207,14.7849,3.2066,0.1824,0.939535626,5.720343522,32.9157,39.3504
120.1647,-27.4658,22,541.9214,0.4147,66.8235,0.0052,0.1739,0.859310677,5.68671027,14.4228,39.5405
120.1652,-27.5812,23,541.5644,0.3505,148.9481,0.0463,0.1846,0.868273251,5.792290881,14.7237,39.5828
120.1658,-28.3994,32,466.6571,0.3842,52.2877,0.406,0.1826,0.868578422,5.740334851,37.8255,48.6527
120.1664,-27.8229,12,485.5243,0.2918,350.5147,0.0859,0.1745,0.832621861,5.980380011,12.7995,12.9365
120.1667,-27.3554,26,483.6696,0.0442,124.2002,2.2486,0.1871,0.873684777,5.777846093,5.6821,36.9794
120.1672,-27.4057,12,511.8264,0.3756,330.5093,1.1141,0.1832,0.910526747,5.589467187,11.134,37.5537
120.1713,-28.4465,34,485.1711,0.3984,36.0569,0.3415,0.1966,0.878533127,5.655440314,36.5398,51.9071
120.1721,-27.4881,21,544.8341,0.4394,58.2378,2.1155,0.182,0.906649144,5.536068434,16.5653,39.1649
120.1735,-28.0433,8,455.4404,0.1611,273.5049,0.1597,0.185,0.900766296,5.96014808,10.493,10.501
120.1745,-27.851,39,478.5191,0.3439,199.5496,0.2831,0.1914,0.82562724,5.805685937,9.9166,10.1085
120.1773,-27.8763,11,475.1302,0.1779,238.6141,0.0182,0.1742,0.861693448,6.012968729,7.3068,7.455
120.1785,-27.9054,27,467.8472,0.223,241.8349,0.6029,0.1875,0.895387973,5.983993616,4.2676,4.4689
120.179,-27.5226,11,530.6297,0.2623,85.7619,0.0665,0.1865,0.825210072,5.879314172,19.7425,39.402
120.1836,-27.3169,24,483.881,0.0868,139.6251,0.1066,0.1838,0.832531176,5.647616411,2.7328,35.196
120.1854,-27.6706,29,495.6762,0.2545,171.6952,0.2201,0.2101,0.885478222,5.86045118,11.9011,29.9722
120.1871,-28.0213,24,459.509,0.1951,259.376,0.2865,0.1919,0.893425373,5.897796306,7.7123,7.9856
120.191,-27.8042,31,495.0737,0.3097,250.1815,0.0458,0.2011,0.86183992,5.929250713,15.408,15.5774
120.1913,-27.5525,16,535.0535,0.4033,24.132,0.0924,0.1883,0.818674324,5.761709606,19.0279,38.7325
120.1934,-27.9867,12,465.7233,0.2591,266.5267,0.0345,0.1745,0.85360737,5.880313391,3.8422,4.2541
120.1952,-28.4113,26,463.8031,0.2492,23.1063,0.0574,0.1727,0.866716383,5.9675302,35.0454,47.2571
120.1973,-27.6333,13,508.1617,0.2494,128.1103,3.0076,0.1916,0.900378789,5.91740399,14.2199,34.2631
120.1977,-28.1106,12,468.0207,0.3518,244.5647,0.0345,0.1545,0.850537762,5.831506993,16.8661,17.956
120.1998,-27.7556,15,499.0622,0.2687,291.5452,0.0048,0.2024,0.854404136,5.904192762,15.7433,21.0443
120.2016,-27.3841,23.5,499.9209,0.2425,127.9085,1.0991,0.1756,0.894479914,5.634957602,10.3416,34.0836
120.2054,-27.7243,16,496.5676,0.36,277.1208,0.8088,0.1866,0.881427742,5.968883703,14.8355,24.5701
120.2059,-28.44,16,479.8428,0.374,47.1124,0.0472,0.1704,0.826567731,5.708483782,32.9648,48.7658
120.2063,-27.699,18,495.8336,0.308,268.3713,0.2654,0.198,0.871659564,5.957325892,14.2858,27.3201
120.2064,-28.0124,16,467.8564,0.2559,238.5113,4e-04,0.1816,0.873027241,5.829742336,6.1546,7.401
120.2067,-28.1609,24,447.7058,0.2838,177.0045,0.0844,0.1756,0.947525004,5.781939434,22.0614,22.4753
120.2091,-27.8517,15,492.8544,0.2756,271.2498,0.0175,0.1872,0.837403516,5.973753535,10.9749,11.1691
120.2104,-27.5982,21,522.1313,0.2983,170.4548,0.1372,0.191,0.855276007,5.781613673,17.3062,36.7113
120.211,-27.3419,20,482.5957,0.0664,329.4681,0.0259,0.187,0.818555176,5.622310477,6.5793,32.0326
120.2114,-27.3934,8,499.1829,0.3101,47.9401,3.5362,0.1727,0.900338114,5.766932074,11.6356,32.4852
120.212,-27.4818,16,511.0793,0.2912,108.9943,0.0511,0.1995,0.936780093,5.703688578,19.8207,34.6833
120.2125,-28.0684,16,471.6362,0.2097,322.107,0.3109,0.1763,0.891489616,5.847373591,11.9029,13.1588
120.2132,-28.3141,32,421.5724,0.2094,22.8488,2.9459,0.1741,0.889615271,5.829582318,28.2939,38.3621
120.2139,-27.9489,9,479.7019,0.2422,265.9933,0.0035,0.1792,0.871876544,5.938735988,0.8386,3.2294
120.2144,-27.9251,49,481.7675,0.3016,256.0626,0.1305,0.1744,0.851877376,5.946330718,3.3815,4.247
120.2163,-28.2404,26,416.4955,0.1846,168.2933,1.233,0.1813,0.954357511,5.687000217,25.1924,30.5389
120.2164,-28.3492,16,433.0244,0.2351,36.0868,0.1132,0.1956,0.888842505,5.984710222,30.0076,40.7386
120.2188,-27.8163,26,508.3111,0.3791,208.6613,0.1028,0.1725,0.785233635,5.759061132,15.0464,15.243
120.2235,-27.8599,43,498.8332,0.3449,269.2065,0.2061,0.1587,0.814371439,5.892827949,10.584,10.812
120.224,-28.359,34,436.3706,0.2516,26.655,0.0954,0.1919,0.880022305,5.910833733,29.9669,40.9346
120.2252,-28.2733,69,409.2406,0.0325,146.6949,0.0685,0.1793,0.916133357,5.928905197,25.2316,33.8941
120.23,-28.0805,20,479.1704,0.2468,320.1071,0.111,0.1764,0.895895646,5.77820311,12.8421,13.2781
120.2308,-28.3522,28,430.6607,0.2715,38.0528,0.0666,0.1928,0.90597264,5.90778432,28.9105,39.8685
