"kappa","rmse","rmse_sd","nrepeat","selected"
0.01,0.694384,0.024798,10,FALSE
0.02,0.679743,0.024883,10,FALSE
0.03,0.67392,0.024684,10,FALSE
0.04,0.671866,0.024222,10,FALSE
0.05,0.668681,0.023739,10,FALSE
0.06,0.667382,0.024158,10,FALSE
0.07,0.667011,0.024153,10,FALSE
0.08,0.666797,0.024496,10,TRUE
0.09,0.666956,0.025313,10,FALSE
0.1,0.667339,0.025303,10,FALSE
0.2,0.669071,0.025367,10,FALSE
0.3,0.670933,0.025202,10,FALSE
0.4,0.672045,0.024622,10,FALSE
0.5,0.6724,0.024221,10,FALSE
0.6,0.672749,0.024019,10,FALSE
0.7,0.672841,0.023914,10,FALSE
0.8,0.672912,0.023836,10,FALSE
0.9,0.672919,0.0238,10,FALSE
1,0.672921,0.023796,10,FALSE
