"dataset","n_samples","repeat_id","model","mae","rmse"
"screened",885,1,"MLR",0.564558279469819,0.718013918721178
"screened",885,1,"BCS",0.544372100061238,0.709557486103222
"screened",885,1,"GOS",0.537338911736388,0.704227929775523
"screened",885,2,"MLR",0.534313468164158,0.679675129068917
"screened",885,2,"BCS",0.497891894499412,0.647348307614025
"screened",885,2,"GOS",0.497080716074794,0.644175833281755
"screened",885,3,"MLR",0.518981072854302,0.65885319964575
"screened",885,3,"BCS",0.50029873127097,0.636349352159834
"screened",885,3,"GOS",0.498240442374506,0.635535727310624
"screened",885,4,"MLR",0.534544972288706,0.686790630642527
"screened",885,4,"BCS",0.497137482727124,0.655331303290876
"screened",885,4,"GOS",0.495336442419665,0.656200523325624
"screened",885,5,"MLR",0.559441563429397,0.695475355018017
"screened",885,5,"BCS",0.529318222335736,0.670955943838007
"screened",885,5,"GOS",0.517310526677163,0.659482976540084
"screened",885,6,"MLR",0.534982278730849,0.675642391180297
"screened",885,6,"BCS",0.519736210825371,0.653914422345665
"screened",885,6,"GOS",0.509787650328347,0.646167286140846
"screened",885,7,"MLR",0.553167726161562,0.695255956042704
"screened",885,7,"BCS",0.536455408304465,0.687074392475838
"screened",885,7,"GOS",0.52504786644786,0.678075473697976
"screened",885,8,"MLR",0.541644108208289,0.684803146769398
"screened",885,8,"BCS",0.507138530963457,0.643412360689101
"screened",885,8,"GOS",0.503398308514561,0.640020060612306
"screened",885,9,"MLR",0.56720603211022,0.717018164941702
"screened",885,9,"BCS",0.540493984438944,0.699285694437709
"screened",885,9,"GOS",0.540415170686858,0.699568742524759
"screened",885,10,"MLR",0.546320342258332,0.703558382260904
"screened",885,10,"BCS",0.528194584285881,0.680729351018477
"screened",885,10,"GOS",0.517695832913142,0.673963300310001
"screened",885,11,"MLR",0.56463527215594,0.700795126805631
"screened",885,11,"BCS",0.535348156974221,0.682250660663138
"screened",885,11,"GOS",0.528942817660921,0.680047775702181
"screened",885,12,"MLR",0.534611796249185,0.668518689754138
"screened",885,12,"BCS",0.513527739122878,0.650722719738721
"screened",885,12,"GOS",0.506469036967524,0.643558837839682
"screened",885,13,"MLR",0.551384872549865,0.688564782667305
"screened",885,13,"BCS",0.526534498202525,0.669681300700192
"screened",885,13,"GOS",0.514192447745177,0.656969668270492
"screened",885,14,"MLR",0.553214203366868,0.683686935199456
"screened",885,14,"BCS",0.532341647623311,0.668622385987324
"screened",885,14,"GOS",0.522167208984215,0.658598645680054
"screened",885,15,"MLR",0.532293559531661,0.66553145756632
"screened",885,15,"BCS",0.504520517086129,0.632735821765
"screened",885,15,"GOS",0.49936604795094,0.628176640314097
"screened",885,16,"MLR",0.518268364702348,0.654826601647205
"screened",885,16,"BCS",0.500596502291491,0.637922375627712
"screened",885,16,"GOS",0.486864145114657,0.620667393228314
"screened",885,17,"MLR",0.552913902205027,0.697139791503176
"screened",885,17,"BCS",0.528226425342696,0.674073604635643
"screened",885,17,"GOS",0.521549535449147,0.665323380958772
"screened",885,18,"MLR",0.545917969287998,0.688397902428851
"screened",885,18,"BCS",0.520801708814813,0.657658670618896
"screened",885,18,"GOS",0.514680395902699,0.649120360822119
"screened",885,19,"MLR",0.542147579052646,0.682012852910453
"screened",885,19,"BCS",0.526580477327628,0.666788866256657
"screened",885,19,"GOS",0.516363819906089,0.658012584643139
"screened",885,20,"MLR",0.53055451529241,0.667615271983026
"screened",885,20,"BCS",0.516802958237597,0.655811999526573
"screened",885,20,"GOS",0.5075783193786,0.652148463874014
"screened",885,21,"MLR",0.547291057355286,0.686329531137866
"screened",885,21,"BCS",0.523420248976696,0.660977391124785
"screened",885,21,"GOS",0.517734345544031,0.657421673745066
"screened",885,22,"MLR",0.560319342658395,0.698235869337444
"screened",885,22,"BCS",0.543309827784259,0.685120620759887
"screened",885,22,"GOS",0.52661792260959,0.668484809861513
"screened",885,23,"MLR",0.546018902942717,0.674042223702063
"screened",885,23,"BCS",0.521763306210169,0.646058797240061
"screened",885,23,"GOS",0.507430657154053,0.630282847895508
"screened",885,24,"MLR",0.556234510118892,0.702190988425135
"screened",885,24,"BCS",0.527151920238202,0.667144417530808
"screened",885,24,"GOS",0.519943108749043,0.661858225959644
"screened",885,25,"MLR",0.5461446678232,0.682769322231797
"screened",885,25,"BCS",0.523076751218656,0.660954159357989
"screened",885,25,"GOS",0.515120914142168,0.649070099189789
"screened",885,26,"MLR",0.550276455521634,0.683374283885101
"screened",885,26,"BCS",0.520479466157755,0.664516980937907
"screened",885,26,"GOS",0.515988091388072,0.662063894392914
"screened",885,27,"MLR",0.55726699168418,0.698852336445291
"screened",885,27,"BCS",0.525138062899635,0.67598586246668
"screened",885,27,"GOS",0.51979344937822,0.676330238764402
"screened",885,28,"MLR",0.522656125808439,0.666257510482729
"screened",885,28,"BCS",0.502541218126514,0.647342050247506
"screened",885,28,"GOS",0.492264152375176,0.637283656600434
"screened",885,29,"MLR",0.56116537363944,0.709726402334955
"screened",885,29,"BCS",0.528648518792146,0.67937822169675
"screened",885,29,"GOS",0.514283051318482,0.664656751514301
"screened",885,30,"MLR",0.540201656731054,0.673816761122061
"screened",885,30,"BCS",0.517445909390794,0.654031380228364
"screened",885,30,"GOS",0.511342641983043,0.643818224783031
"screened",885,31,"MLR",0.56410658233752,0.715736557478651
"screened",885,31,"BCS",0.540440639479711,0.702840636931913
"screened",885,31,"GOS",0.532314065307765,0.696378315203033
"screened",885,32,"MLR",0.550627328307129,0.69755815691471
"screened",885,32,"BCS",0.527240548588033,0.678059202594583
"screened",885,32,"GOS",0.516299261861246,0.66672624229732
"screened",885,33,"MLR",0.534660916757433,0.670065228867462
"screened",885,33,"BCS",0.523216708811044,0.666370451467654
"screened",885,33,"GOS",0.521572806542847,0.662422335075239
"screened",885,34,"MLR",0.538954727027505,0.672840379919434
"screened",885,34,"BCS",0.511665497640988,0.642144063698091
"screened",885,34,"GOS",0.50567638102876,0.63334244156414
"screened",885,35,"MLR",0.536562861998379,0.6729725798842
"screened",885,35,"BCS",0.507947763883907,0.650105447019564
"screened",885,35,"GOS",0.496104274472741,0.636067250807755
"screened",885,36,"MLR",0.555032752628152,0.700490617460594
"screened",885,36,"BCS",0.529761057480774,0.674117376549309
