"threshold_multiplier","threshold_m","Variable","mean_local_q"
1.5,33610.5712091148,"x1",0.271076538221936
1.5,33610.5712091148,"x2",0.223265375735049
1.5,33610.5712091148,"x3",0.210163888259251
1.5,33610.5712091148,"x6",0.176050173674396
1.5,33610.5712091148,"gc_x1",0.135129499138868
2,44814.0949454864,"x1",0.298619082382684
2,44814.0949454864,"x2",0.177704467854791
2,44814.0949454864,"x3",0.145700410867037
2,44814.0949454864,"x6",0.131914206665922
2,44814.0949454864,"gc_x1",0.119464652138934
3,67221.1424182296,"x1",0.30380248165275
3,67221.1424182296,"x2",0.167627995873169
3,67221.1424182296,"x3",0.0525212074918587
3,67221.1424182296,"x6",0.0566764383149384
3,67221.1424182296,"gc_x1",0.0775118824791838
