"radius_km","median_neighbours","converged_pct","lambda","path","n_in_range","mean","sd","correlation_with_published"
400,248,88,"lambda1","Precipitation =~ Climate",131,-0.380650606689479,0.317262489117844,0.864812715070461
400,248,88,"lambda2","LST =~ Climate",35,0.751541349526617,0.431916065674685,0.509917168162098
400,248,88,"lambda3","Water content =~ Soil",131,-0.828802597407311,0.148507693759556,0.885978401513527
400,248,88,"lambda4","NDVI =~ Plant",58,0.869373791816312,0.174342089231875,0.247394827166029
400,248,88,"lambda5","Soil ~ Plant",97,-0.347828585981063,0.442796997208257,0.621625397023289
400,248,88,"lambda6","Climate ~ Plant",121,0.30107212283178,0.282453248582753,0.666247854117944
400,248,88,"lambda7","Climate ~ Soil",130,0.636094747106159,0.204590221491261,0.0246108136969059
500,362.5,88,"lambda1","Precipitation =~ Climate",132,-0.314237117034205,0.416019552536358,0.779248567168531
500,362.5,88,"lambda2","LST =~ Climate",40,0.498208997703518,0.59791486261393,0.665014748261589
500,362.5,88,"lambda3","Water content =~ Soil",132,-0.824739115773372,0.163328162707878,0.779984129798654
500,362.5,88,"lambda4","NDVI =~ Plant",43,0.910252217558959,0.153631745361094,0.428293775586437
500,362.5,88,"lambda5","Soil ~ Plant",98,-0.423981930315474,0.422964029574422,0.384063410026273
500,362.5,88,"lambda6","Climate ~ Plant",119,0.307019150599525,0.249116235738027,0.496915269166086
500,362.5,88,"lambda7","Climate ~ Soil",129,0.551971512612626,0.3333277608701,-0.195228033257398
600,480,92,"lambda1","Precipitation =~ Climate",138,-0.349350141053135,0.349043122357199,0.859797363015589
600,480,92,"lambda2","LST =~ Climate",29,0.507944126669939,0.557101800360132,0.900303714492867
600,480,92,"lambda3","Water content =~ Soil",138,-0.855661030505703,0.128774328986786,0.57856498202844
600,480,92,"lambda4","NDVI =~ Plant",32,0.951283583255919,0.0617770594217897,0.907032271252907
600,480,92,"lambda5","Soil ~ Plant",111,-0.517042584777685,0.394748318183476,0.47528413420216
600,480,92,"lambda6","Climate ~ Plant",125,0.273224698854906,0.201420723978263,0.425278905124292
600,480,92,"lambda7","Climate ~ Soil",134,0.57482169423753,0.197674490105665,-0.273230555820651
705.29,604,93.3333333333333,"lambda1","Precipitation =~ Climate",140,-0.349961263366028,0.32847704181797,0.794183510042647
705.29,604,93.3333333333333,"lambda2","LST =~ Climate",22,0.419224578998622,0.457826049060515,0.75774399548877
705.29,604,93.3333333333333,"lambda3","Water content =~ Soil",140,-0.874637735374338,0.102070765843335,0.421722138159922
705.29,604,93.3333333333333,"lambda4","NDVI =~ Plant",28,0.933171755271878,0.147602807873886,0.854410969939945
705.29,604,93.3333333333333,"lambda5","Soil ~ Plant",111,-0.577541217295334,0.348311451138519,0.492000633015915
705.29,604,93.3333333333333,"lambda6","Climate ~ Plant",125,0.272425476545857,0.166340447300266,0.54439729666938
705.29,604,93.3333333333333,"lambda7","Climate ~ Soil",138,0.537958686048963,0.228082806063064,-0.273231741752227
800,723,92,"lambda1","Precipitation =~ Climate",138,-0.310068513360635,0.358374624146465,0.743285577407384
800,723,92,"lambda2","LST =~ Climate",25,0.349944348251278,0.361143399007488,0.347327741386588
800,723,92,"lambda3","Water content =~ Soil",138,-0.875139603065533,0.0936035385648448,0.157632496585973
800,723,92,"lambda4","NDVI =~ Plant",26,0.983146160673503,0.0132980136685301,0.24392997545264
800,723,92,"lambda5","Soil ~ Plant",118,-0.625106448994876,0.335378488428273,0.477210481338714
800,723,92,"lambda6","Climate ~ Plant",120,0.268879956328817,0.13971727887315,0.503326498227083
800,723,92,"lambda7","Climate ~ Soil",136,0.486952237548224,0.251871620895147,-0.2669149975454
900,869.5,94,"lambda1","Precipitation =~ Climate",141,-0.297686153582437,0.337509669464265,0.648433559307791
900,869.5,94,"lambda2","LST =~ Climate",20,0.183557727664725,0.419319948937492,0.82729827448918
900,869.5,94,"lambda3","Water content =~ Soil",140,-0.887658401064705,0.081335266241044,0.239491847960338
900,869.5,94,"lambda4","NDVI =~ Plant",25,0.988033457089898,0.00823385745623568,0.246725406632306
900,869.5,94,"lambda5","Soil ~ Plant",129,-0.648810047066521,0.331053768914243,0.243683001351392
900,869.5,94,"lambda6","Climate ~ Plant",128,0.25819177469914,0.140229876389454,0.439912631987792
900,869.5,94,"lambda7","Climate ~ Soil",136,0.480166288128406,0.233049712411093,-0.21504101902133
