"r","K_observed","K_expected","L"
0,0,0,0
1,0,3.14159265358979,-1
2,6.20634645424871,12.5663706143592,-0.594460447561478
3,24.8253858169948,28.2743338823081,-0.188920895122956
4,58.9931199853602,50.2654824574367,0.333369740532961
5,83.8323284002487,78.5398163397448,0.165719592816215
6,127.300943126304,113.097335529233,0.365622414000291
7,189.398964163525,153.9380400259,0.764506599019633
8,257.706787304468,201.061929829747,1.05707558407655
9,357.063620964022,254.469004940773,1.66099810287152
10,465.735157779159,314.159265358979,2.17571784596186
11,639.609616683379,380.132711084365,3.26863918839299
12,770.015460861543,452.38934211693,3.65578275611274
13,878.68699767668,530.929158456675,3.72407720089933
14,1027.72224816601,615.752160103599,4.0868502465817
15,1201.59670707023,706.858347057703,4.557098738472
16,1372.36626492259,804.247719318987,4.90066385524592
17,1592.14828589722,907.92027688745,5.51214204982863
18,1791.97096972722,1017.87601976309,5.88309183122086
19,1978.47271852797,1134.11494794592,6.09516738044147
20,2248.90025428906,1256.63706143592,6.7553206667655
21,2488.07687189848,1385.4423602331,7.14212973302708
22,2736.88455908833,1520.53084433746,7.51571467035111
23,2963.92157364906,1661.902513749,7.7155585781199
24,3301.65336427464,1809.55736846772,8.41834213220335
25,3599.28589963634,1963.49540849362,8.84801744646453
26,3920.61579937754,2123.7166338267,9.32662974117735
27,4166.72517414975,2290.22104446696,9.41853670787367
28,4453.33355996042,2463.0086404144,9.65023371254762
29,4769.53737691459,2642.07942166902,9.96396924846105
30,5105.99069938799,2827.43338823081,10.3148523298509
31,5405.06031936435,3019.07054009979,10.4787190625915
32,5757.09018454485,3216.99087727595,10.8081618548647
33,6159.2906223284,3421.19439975928,11.2782463176473
34,6543.22818938529,3631.6811075498,11.6374212706831
35,6972.06225804138,3848.4510006475,12.1091959581508
36,7366.03111556844,4071.50407905237,12.4219013053272
37,7740.49573487291,4300.84034276443,12.6374487294977
38,8180.3885764576,4536.45979178366,13.0284093100245
39,8661.22057675319,4778.36242611007,13.5066865837011
40,9108.1237389327,5026.54824574367,13.8442738895005
41,9507.07823005987,5281.01725068444,14.010880645112
42,9968.13167044581,5541.7694409324,14.3289877193319
43,10436.999575923,5808.80481648753,14.6385300568321
44,10947.9507645223,6082.12337734984,15.0325415495625
45,11434.4410575346,6361.72512351933,15.3298900347008
46,11940.2639694805,6647.610054996,15.6498504874891
47,12456.8874269249,6939.77817177985,15.9694403585483
48,12964.586772284,7238.22947387088,16.2398329691602
49,13517.6005996648,7542.96396126909,16.5956241555582
50,14074.3749391131,7853.98163397448,16.932896881706
51,14557.6422168441,8171.28249198705,17.0723250458509
52,15113.7457312991,8494.8665353068,17.3603249959267
53,15642.8131782138,8824.73376393373,17.5638865309412
54,16240.9576805121,9160.88417786784,17.9003295597423
55,16876.8637167737,9503.31777710913,18.2944238590193
