"dist_m","gamma","np"
616.645281464615,0.00387947333241895,50
1476.94024841222,0.00298605137926193,161
2373.5666056523,0.00366749763139156,274
3570.16643560638,0.00340718023207434,600
4969.89026541719,0.00417448144059138,778
6347.79320963781,0.00471441973587661,1058
9507.53436977348,0.0058274798517832,4710
14169.5535404383,0.00809651884880814,6642
20059.7967914781,0.0109402732447718,12379
27032.0481433505,0.0136103731325975,15040
34010.6599825257,0.0148658926611646,17063
42225.5347515759,0.0162458515249197,24442
