"Variable","Global_q","Global_p","Variable_type"
"x1",0.332115189769319,2.4309376733811e-10,"X"
"x2",0.178732309788774,1.86523352319057e-10,"X"
"x3",0.0509047067798601,0.0120035457589066,"X"
"x4",0.0143234032185496,0.954503544105985,"X"
"x5",0.0463969076604337,0.0996533072407702,"X"
"x6",0.0307385050106371,0.0852287425237067,"X"
"gc_x1",0.0654281168585772,0.0711015389879142,"GC"
"gc_x2",0.094154182815197,0.047367514320051,"GC"
"gc_x3",0.0379568379506375,0.103909624110547,"GC"
"gc_x4",0.0191740177190939,0.826152332457363,"GC"
"gc_x5",0.00324636324304506,0.999999818169905,"GC"
"gc_x6",0.0134445098666494,0.999345660418365,"GC"
"x2 × x6",0.555483786155701,9.84426651307047e-10,"Interaction"
"x1 × x2",0.52743825797478,8.12187317400515e-10,"Interaction"
"x1 × x3",0.541103211678943,6.62618404589921e-10,"Interaction"
"x1 × x6",0.488327923155208,7.04170055598752e-10,"Interaction"
"x1 × gc_x1",0.402213109527047,6.71877220526085e-10,"Interaction"
"x2 × x3",0.396945375708157,6.59145626968893e-10,"Interaction"
"x2 × gc_x1",0.369912491628094,7.32601090902563e-10,"Interaction"
"x3 × x6",0.332905437964035,1.05416497753197e-09,"Interaction"
"x6 × gc_x1",0.187656860605778,0.919314801287236,"Interaction"
"x3 × gc_x1",0.261070838073772,5.51806904038887e-05,"Interaction"
"All variables (GOZH)",0.690761538176745,5.81882320105365e-10,"Total"
