"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.11599,"Bwk","low",0.25598,236.54,12.55,1.44957
0.01783,"Bwk","low",0.27341,213.55,2.69,0.80124
0.13817,"Bsk","low",0.30247,448.88,20.06,11.49432
0.00439,"Bwk","low",0.38302,212.76,0,0.0462
0.00316,"Bwk","low",0.35729,205.01,0,0.07482
0.00838,"Bwk","low",0.3375,200.55,0,0.54941
0.03351,"Bwk","low",0.29606,210.48,11.89,1.62702
0.03872,"Bwk","low",0.22973,235.52,30.18,4.98509
0.0882,"Bsk","low",0.21385,342.06,241,19.98143
0.06903,"Bsk","low",0.2451,379.44,42.03,7.49744
0.09134,"Bsk","low",0.31828,412.16,0,4.04017
0.1165,"Bsk","very low",0.44487,431.93,31.66,12.00065
0.00265,"Bwk","low",0.43045,182.66,3.71,0.07225
0.00129,"Bwk","low",0.43087,174.95,0,0.08851
-0.0065,"Bwk","low",0.42657,175.16,0.75,0.14237
-0.00795,"Bwk","low",0.40153,188.33,9.89,3.68086
0.03597,"Bwk","low",0.32739,224.94,6.66,2.8199
0.02596,"Bsk","low",0.21384,276.59,31.67,3.55686
0.00836,"Bsk","low",0.19018,306.85,42.48,6.05271
0.06265,"Bsk","low",0.20498,343.48,0.07,1.74074
0.08277,"Bsk","low",0.31435,375.76,104.06,4.03285
0.10044,"Bsk","very low",0.47629,415.1,488.71,19.6298
-0.00359,"Bwk","low",0.4471,154.99,0,0.09727
-0.01067,"Bwk","low",0.45509,163.63,0,1.48121
-0.00589,"Bwk","low",0.47263,172.88,0,16.10361
0.05495,"Bwk","low",0.43078,206.81,834.13,20.24583
0.01397,"Bwk","medium",0.29623,228.9,6.53,11.67976
0.00838,"Bsk","medium",0.22325,257.78,24.83,21.33595
0.05336,"Bsk","medium",0.19153,299.44,3.03,5.48624
0.05786,"Bsk","medium",0.30683,346.67,0.4,6.12068
0.07088,"Bsk","very low",0.54013,390.35,125,19.93033
0.09729,"Bsk","very low",0.73526,430.39,76.4,10.16065
0.07558,"Bsk","very low",0.08198,244.89,0,4.71288
0.04885,"Bwk","very low",0.161,196.75,107.57,2.5528
-0.00913,"Bwk","low",0.44703,152.81,0,0.13574
0.00153,"Bwk","low",0.51196,153.81,0,1.36272
0.02965,"Bwk","low",0.53152,170.25,0,10.96481
0.04065,"Bsk","low",0.37781,246.65,138.65,15.54301
0.03121,"Bwk","very low",0.3932,195.72,416.64,34.51762
0.04549,"Bsk","medium",0.2941,225,34.6,21.63214
0.04442,"Bsk","medium",0.21878,270.75,354.74,7.91219
0.06224,"Bsk","medium",0.31703,318.46,24.07,5.17203
