"NDVIchange","Climatezone","Mining","Tempchange","Precipitation","GDP","Popdensity"
0.11599,"Bwk","low","[-0.393,0.311]","(222,312]","(3.42,14.6]","(0.9,2.02]"
0.01783,"Bwk","low","[-0.393,0.311]","(133,222]","(0.25,3.42]","(0.23,0.9]"
0.13817,"Bsk","low","[-0.393,0.311]","(402,492]","(14.6,61]","(5.25,14.8]"
0.00439,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
0.00316,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
0.00838,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(0.23,0.9]"
0.03351,"Bwk","low","[-0.393,0.311]","(133,222]","(3.42,14.6]","(0.9,2.02]"
0.03872,"Bwk","low","[-0.393,0.311]","(222,312]","(14.6,61]","(2.02,5.25]"
0.0882,"Bsk","low","[-0.393,0.311]","(312,402]","(177,588]","(14.8,40.6]"
0.06903,"Bsk","low","[-0.393,0.311]","(312,402]","(14.6,61]","(5.25,14.8]"
0.09134,"Bsk","low","(0.311,0.661]","(402,492]","[0,0.25]","(2.02,5.25]"
0.1165,"Bsk","very low","(0.311,0.661]","(402,492]","(14.6,61]","(5.25,14.8]"
0.00265,"Bwk","low","(0.311,0.661]","(133,222]","(3.42,14.6]","[0,0.23]"
0.00129,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
-0.0065,"Bwk","low","(0.311,0.661]","(133,222]","(0.25,3.42]","[0,0.23]"
-0.00795,"Bwk","low","(0.311,0.661]","(133,222]","(3.42,14.6]","(2.02,5.25]"
0.03597,"Bwk","low","(0.311,0.661]","(222,312]","(3.42,14.6]","(2.02,5.25]"
0.02596,"Bsk","low","[-0.393,0.311]","(222,312]","(14.6,61]","(2.02,5.25]"
0.00836,"Bsk","low","[-0.393,0.311]","(222,312]","(14.6,61]","(5.25,14.8]"
0.06265,"Bsk","low","[-0.393,0.311]","(312,402]","[0,0.25]","(0.9,2.02]"
0.08277,"Bsk","low","(0.311,0.661]","(312,402]","(61,177]","(2.02,5.25]"
0.10044,"Bsk","very low","(0.311,0.661]","(402,492]","(177,588]","(14.8,40.6]"
-0.00359,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
-0.01067,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(0.9,2.02]"
-0.00589,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(14.8,40.6]"
0.05495,"Bwk","low","(0.311,0.661]","(133,222]","(588,1.66e+04]","(14.8,40.6]"
0.01397,"Bwk","medium","[-0.393,0.311]","(222,312]","(3.42,14.6]","(5.25,14.8]"
0.00838,"Bsk","medium","[-0.393,0.311]","(222,312]","(14.6,61]","(14.8,40.6]"
0.05336,"Bsk","medium","[-0.393,0.311]","(222,312]","(0.25,3.42]","(5.25,14.8]"
0.05786,"Bsk","medium","[-0.393,0.311]","(312,402]","(0.25,3.42]","(5.25,14.8]"
0.07088,"Bsk","very low","(0.311,0.661]","(312,402]","(61,177]","(14.8,40.6]"
0.09729,"Bsk","very low","(0.661,1.01]","(402,492]","(61,177]","(5.25,14.8]"
0.07558,"Bsk","very low","[-0.393,0.311]","(222,312]","[0,0.25]","(2.02,5.25]"
0.04885,"Bwk","very low","[-0.393,0.311]","(133,222]","(61,177]","(2.02,5.25]"
-0.00913,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","[0,0.23]"
0.00153,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(0.9,2.02]"
0.02965,"Bwk","low","(0.311,0.661]","(133,222]","[0,0.25]","(5.25,14.8]"
0.04065,"Bsk","low","(0.311,0.661]","(222,312]","(61,177]","(14.8,40.6]"
0.03121,"Bwk","very low","(0.311,0.661]","(133,222]","(177,588]","(14.8,40.6]"
0.04549,"Bsk","medium","[-0.393,0.311]","(222,312]","(14.6,61]","(14.8,40.6]"
0.04442,"Bsk","medium","[-0.393,0.311]","(222,312]","(177,588]","(5.25,14.8]"
0.06224,"Bsk","medium","(0.311,0.661]","(312,402]","(14.6,61]","(2.02,5.25]"
0.0823,"Bsk","very low","(0.311,0.661]","(312,402]","(14.6,61]","(2.02,5.25]"
0.1309,"Bsk","very low","(0.661,1.01]","(312,402]","(61,177]","(5.25,14.8]"
0.167,"Bsk","very high","(0.661,1.01]","(402,492]","(177,588]","(14.8,40.6]"
