"variable","method","n_intervals","qv"
"Tempchange","equal",3,0.2918
"Tempchange","equal",4,0.2361
"Tempchange","equal",5,0.2661
"Tempchange","equal",6,0.3122
"Tempchange","equal",7,0.3163
"Tempchange","natural",3,0.2921
"Tempchange","natural",4,0.295
"Tempchange","natural",5,0.3148
"Tempchange","natural",6,0.2983
"Tempchange","natural",7,0.3216
"Tempchange","quantile",3,0.2881
"Tempchange","quantile",4,0.2867
"Tempchange","quantile",5,0.2992
"Tempchange","quantile",6,0.318
"Tempchange","quantile",7,0.3035
"Tempchange","geometric",3,0.2691
"Tempchange","geometric",4,0.2859
"Tempchange","geometric",5,0.3155
"Tempchange","geometric",6,0.3188
"Tempchange","geometric",7,0.3126
"Tempchange","sd",3,0.2832
"Tempchange","sd",4,0.253
"Tempchange","sd",5,0.3013
"Tempchange","sd",6,0.2572
"Tempchange","sd",7,0.3266
"Precipitation","equal",3,0.8022
"Precipitation","equal",4,0.8084
"Precipitation","equal",5,0.8399
"Precipitation","equal",6,0.8519
"Precipitation","equal",7,0.8694
"Precipitation","natural",3,0.8054
"Precipitation","natural",4,0.8173
"Precipitation","natural",5,0.8342
"Precipitation","natural",6,0.8505
"Precipitation","natural",7,0.8522
"Precipitation","quantile",3,0.7907
"Precipitation","quantile",4,0.8278
"Precipitation","quantile",5,0.8596
"Precipitation","quantile",6,0.8444
"Precipitation","quantile",7,0.8562
"Precipitation","geometric",3,0.3679
"Precipitation","geometric",4,0.636
"Precipitation","geometric",5,0.7135
"Precipitation","geometric",6,0.7534
"Precipitation","geometric",7,0.813
"Precipitation","sd",3,0.8025
"Precipitation","sd",4,0.8068
"Precipitation","sd",5,0.8109
"Precipitation","sd",6,0.8634
"Precipitation","sd",7,0.8634
"GDP","equal",3,NA
"GDP","equal",4,NA
"GDP","equal",5,NA
"GDP","equal",6,NA
"GDP","equal",7,NA
"GDP","natural",3,0.0116
"GDP","natural",4,0.0199
"GDP","natural",5,0.0293
"GDP","natural",6,0.0311
"GDP","natural",7,NA
"GDP","quantile",3,0.0769
"GDP","quantile",4,0.096
"GDP","quantile",5,0.094
"GDP","quantile",6,0.0917
"GDP","quantile",7,0.0993
"GDP","geometric",3,0.0612
"GDP","geometric",4,0.0708
"GDP","geometric",5,0.0942
"GDP","geometric",6,0.0877
"GDP","geometric",7,0.0871
"GDP","sd",3,0.0311
"GDP","sd",4,0.0343
"GDP","sd",5,0.0756
"GDP","sd",6,0.0765
"GDP","sd",7,0.0772
"Popdensity","equal",3,5e-04
"Popdensity","equal",4,4e-04
"Popdensity","equal",5,NA
"Popdensity","equal",6,NA
"Popdensity","equal",7,NA
"Popdensity","natural",3,0.0152
"Popdensity","natural",4,0.0271
"Popdensity","natural",5,0.0254
"Popdensity","natural",6,0.0327
"Popdensity","natural",7,0.0585
"Popdensity","quantile",3,0.1435
"Popdensity","quantile",4,0.1894
"Popdensity","quantile",5,0.1782
"Popdensity","quantile",6,0.1887
"Popdensity","quantile",7,0.1962
"Popdensity","geometric",3,0.0265
"Popdensity","geometric",4,0.0642
"Popdensity","geometric",5,0.1084
"Popdensity","geometric",6,0.1358
"Popdensity","geometric",7,0.153
"Popdensity","sd",3,0.0374
"Popdensity","sd",4,0.0382
"Popdensity","sd",5,0.1
"Popdensity","sd",6,0.1
"Popdensity","sd",7,0.101
