"var1","var2","qv1","qv2","qv12","interaction"
"Tempchange","Precipitation",0.3266,0.8694,0.9158,"Enhance, bi-"
"Precipitation","Popdensity",0.8694,0.1962,0.9035,"Enhance, bi-"
"Climatezone","Precipitation",0.8218,0.8694,0.9016,"Enhance, bi-"
"Precipitation","GDP",0.8694,0.0993,0.9002,"Enhance, bi-"
"Mining","Precipitation",0.1411,0.8694,0.8861,"Enhance, bi-"
"Climatezone","GDP",0.8218,0.0993,0.8603,"Enhance, bi-"
"Climatezone","Popdensity",0.8218,0.1962,0.8599,"Enhance, bi-"
"Climatezone","Tempchange",0.8218,0.3266,0.8538,"Enhance, bi-"
"Climatezone","Mining",0.8218,0.1411,0.8345,"Enhance, bi-"
"Tempchange","Popdensity",0.3266,0.1962,0.4352,"Enhance, bi-"
"Mining","Tempchange",0.1411,0.3266,0.4223,"Enhance, bi-"
"Tempchange","GDP",0.3266,0.0993,0.4056,"Enhance, bi-"
"Mining","Popdensity",0.1411,0.1962,0.3588,"Enhance, nonlinear"
"Mining","GDP",0.1411,0.0993,0.2482,"Enhance, nonlinear"
"GDP","Popdensity",0.0993,0.1962,0.2375,"Enhance, bi-"
