"variable","stratum1","stratum2","t","sig","risk"
"Climatezone","Bsk","Bwk",17.73,2.64e-49,"Y"
"Climatezone","Bsk","Dwa",-11.809,2.36e-16,"Y"
"Climatezone","Bsk","Dwb",-19.658,2.28e-57,"Y"
"Climatezone","Bsk","Dwc",-37.998,1.14e-117,"Y"
"Climatezone","Bwk","Dwa",-22.771,7.38e-24,"Y"
"Climatezone","Bwk","Dwb",-40.615,4.56e-103,"Y"
"Climatezone","Bwk","Dwc",-81.338,8.42e-205,"Y"
"Climatezone","Dwa","Dwb",-1.395,0.168,"N"
"Climatezone","Dwa","Dwc",-8.808,8.59e-11,"Y"
"Climatezone","Dwb","Dwc",-12.08,5.52e-26,"Y"
"Mining","high","low",9.632,4.38e-10,"Y"
"Mining","high","medium",-1.453,0.153,"N"
"Mining","high","very high",2.898,0.00737,"Y"
"Mining","high","very low",2.361,0.0262,"Y"
"Mining","low","medium",-15.055,2.25e-30,"Y"
"Mining","low","very high",-10.401,3.05e-08,"Y"
"Mining","low","very low",-14.936,3.55e-36,"Y"
"Mining","medium","very high",5.674,1.38e-06,"Y"
"Mining","medium","very low",5.417,2.72e-07,"Y"
"Mining","very high","very low",-1.226,0.241,"N"
"Tempchange","(0.311,0.661]","(0.661,1.01]",-6.209,4.76e-09,"Y"
"Tempchange","(0.311,0.661]","(1.01,1.36]",-13.073,9.33e-30,"Y"
"Tempchange","(0.311,0.661]","(1.36,1.71]",-10.377,2.31e-20,"Y"
"Tempchange","(0.311,0.661]","(1.71,2.07]",-8.324,1.32e-14,"Y"
"Tempchange","(0.311,0.661]","(2.07,3.22]",-5.05,1.06e-06,"Y"
"Tempchange","(0.311,0.661]","[-0.393,0.311]",2.178,0.0306,"Y"
"Tempchange","(0.661,1.01]","(1.01,1.36]",-4.424,1.81e-05,"Y"
"Tempchange","(0.661,1.01]","(1.36,1.71]",-2.864,0.00473,"Y"
"Tempchange","(0.661,1.01]","(1.71,2.07]",-0.73,0.466,"N"
"Tempchange","(0.661,1.01]","(2.07,3.22]",1.878,0.0623,"N"
"Tempchange","(0.661,1.01]","[-0.393,0.311]",8.198,1.35e-13,"Y"
"Tempchange","(1.01,1.36]","(1.36,1.71]",1.543,0.124,"N"
"Tempchange","(1.01,1.36]","(1.71,2.07]",4.441,1.39e-05,"Y"
"Tempchange","(1.01,1.36]","(2.07,3.22]",7.536,1.57e-12,"Y"
"Tempchange","(1.01,1.36]","[-0.393,0.311]",16.031,1.57e-39,"Y"
"Tempchange","(1.36,1.71]","(1.71,2.07]",2.543,0.0118,"Y"
"Tempchange","(1.36,1.71]","(2.07,3.22]",5.411,1.95e-07,"Y"
"Tempchange","(1.36,1.71]","[-0.393,0.311]",12.858,2.39e-27,"Y"
"Tempchange","(1.71,2.07]","(2.07,3.22]",3.09,0.00232,"Y"
"Tempchange","(1.71,2.07]","[-0.393,0.311]",10.912,7.97e-22,"Y"
"Tempchange","(2.07,3.22]","[-0.393,0.311]",7.413,5.55e-12,"Y"
"Precipitation","(133,222]","(222,312]",-5.464,1.5e-07,"Y"
"Precipitation","(133,222]","(312,402]",-20.665,2.58e-55,"Y"
"Precipitation","(133,222]","(402,492]",-27.463,9.75e-76,"Y"
"Precipitation","(133,222]","(492,582]",-55.729,4.99e-105,"Y"
"Precipitation","(133,222]","(582,672]",-61.441,7.16e-95,"Y"
"Precipitation","(133,222]","[42.5,133]",6.151,1.34e-08,"Y"
"Precipitation","(222,312]","(312,402]",-15.557,8.56e-37,"Y"
"Precipitation","(222,312]","(402,492]",-22.834,2.16e-59,"Y"
"Precipitation","(222,312]","(492,582]",-49.653,6.32e-84,"Y"
"Precipitation","(222,312]","(582,672]",-54.808,2.19e-73,"Y"
"Precipitation","(222,312]","[42.5,133]",13.994,2.37e-23,"Y"
"Precipitation","(312,402]","(402,492]",-8.345,4.01e-15,"Y"
"Precipitation","(312,402]","(492,582]",-27.865,1.15e-68,"Y"
"Precipitation","(312,402]","(582,672]",-30.041,1.02e-66,"Y"
"Precipitation","(312,402]","[42.5,133]",33.761,1.7e-68,"Y"
"Precipitation","(402,492]","(492,582]",-14.618,2.23e-32,"Y"
"Precipitation","(402,492]","(582,672]",-15.197,3.95e-32,"Y"
"Precipitation","(402,492]","[42.5,133]",39.773,7.2e-77,"Y"
"Precipitation","(492,582]","(582,672]",1.007,0.317,"N"
"Precipitation","(492,582]","[42.5,133]",118.605,2.56e-70,"Y"
"Precipitation","(582,672]","[42.5,133]",227.33,8.36e-140,"Y"
"GDP","(0.25,3.42]","(14.6,61]",-2.449,0.0153,"Y"
"GDP","(0.25,3.42]","(177,588]",-5.082,1.06e-06,"Y"
"GDP","(0.25,3.42]","(3.42,14.6]",-0.59,0.556,"N"
"GDP","(0.25,3.42]","(588,1.66e+04]",-4.85,3.4e-06,"Y"
"GDP","(0.25,3.42]","(61,177]",-3.867,0.000157,"Y"
"GDP","(0.25,3.42]","[0,0.25]",0.559,0.577,"N"
"GDP","(14.6,61]","(177,588]",-2.593,0.0104,"Y"
"GDP","(14.6,61]","(3.42,14.6]",1.919,0.0566,"N"
"GDP","(14.6,61]","(588,1.66e+04]",-2.155,0.0328,"Y"
"GDP","(14.6,61]","(61,177]",-1.409,0.161,"N"
"GDP","(14.6,61]","[0,0.25]",3.509,0.000558,"Y"
"GDP","(177,588]","(3.42,14.6]",4.637,7.25e-06,"Y"
"GDP","(177,588]","(588,1.66e+04]",0.793,0.429,"N"
"GDP","(177,588]","(61,177]",1.168,0.244,"N"
"GDP","(177,588]","[0,0.25]",6.997,2.62e-11,"Y"
"GDP","(3.42,14.6]","(588,1.66e+04]",-4.376,2.36e-05,"Y"
"GDP","(3.42,14.6]","(61,177]",-3.38,0.000898,"Y"
"GDP","(3.42,14.6]","[0,0.25]",1.279,0.202,"N"
"GDP","(588,1.66e+04]","(61,177]",0.568,0.571,"N"
"GDP","(588,1.66e+04]","[0,0.25]",7.055,1.51e-11,"Y"
"GDP","(61,177]","[0,0.25]",5.318,2.64e-07,"Y"
"Popdensity","(0.23,0.9]","(0.9,2.02]",-1.426,0.155,"N"
"Popdensity","(0.23,0.9]","(14.8,40.6]",-5.181,5.61e-07,"Y"
"Popdensity","(0.23,0.9]","(2.02,5.25]",-4.623,6.76e-06,"Y"
"Popdensity","(0.23,0.9]","(40.6,971]",-6.483,1.09e-09,"Y"
"Popdensity","(0.23,0.9]","(5.25,14.8]",-5.414,1.75e-07,"Y"
"Popdensity","(0.23,0.9]","[0,0.23]",3.817,0.000181,"Y"
"Popdensity","(0.9,2.02]","(14.8,40.6]",-3.577,0.000441,"Y"
"Popdensity","(0.9,2.02]","(2.02,5.25]",-3.203,0.00158,"Y"
"Popdensity","(0.9,2.02]","(40.6,971]",-4.708,5.43e-06,"Y"
"Popdensity","(0.9,2.02]","(5.25,14.8]",-3.932,0.000116,"Y"
"Popdensity","(0.9,2.02]","[0,0.23]",5.364,2.29e-07,"Y"
"Popdensity","(14.8,40.6]","(2.02,5.25]",-0.035,0.972,"N"
"Popdensity","(14.8,40.6]","(40.6,971]",-0.912,0.363,"N"
"Popdensity","(14.8,40.6]","(5.25,14.8]",-0.707,0.481,"N"
"Popdensity","(14.8,40.6]","[0,0.23]",10.16,7.74e-20,"Y"
"Popdensity","(2.02,5.25]","(40.6,971]",-0.711,0.478,"N"
"Popdensity","(2.02,5.25]","(5.25,14.8]",-0.588,0.557,"N"
"Popdensity","(2.02,5.25]","[0,0.23]",8.808,7.44e-16,"Y"
"Popdensity","(40.6,971]","(5.25,14.8]",0.011,0.991,"N"
"Popdensity","(40.6,971]","[0,0.23]",12.417,7.14e-26,"Y"
"Popdensity","(5.25,14.8]","[0,0.23]",9.909,4.53e-19,"Y"
