"variable","stratum","mean_response"
"Climatezone","Bsk",0.1436
"Climatezone","Bwk",0.0045
"Climatezone","Dwa",0.3217
"Climatezone","Dwb",0.3432
"Climatezone","Dwc",0.4449
"Mining","high",0.267
"Mining","low",0.0329
"Mining","medium",0.3073
"Mining","very high",0.1918
"Mining","very low",0.2101
"Tempchange","(0.311,0.661]",0.0731
"Tempchange","(0.661,1.01]",0.2209
"Tempchange","(1.01,1.36]",0.3246
"Tempchange","(1.36,1.71]",0.2926
"Tempchange","(1.71,2.07]",0.2384
"Tempchange","(2.07,3.22]",0.1754
"Tempchange","[-0.393,0.311]",0.0324
"Precipitation","(133,222]",0.0246
"Precipitation","(222,312]",0.0752
"Precipitation","(312,402]",0.2251
"Precipitation","(402,492]",0.3166
"Precipitation","(492,582]",0.4513
"Precipitation","(582,672]",0.4469
"Precipitation","[42.5,133]",-0.0161
"GDP","(0.25,3.42]",0.153
"GDP","(14.6,61]",0.2223
"GDP","(177,588]",0.2837
"GDP","(3.42,14.6]",0.1701
"GDP","(588,1.66e+04]",0.2692
"GDP","(61,177]",0.2577
"GDP","[0,0.25]",0.1385
"Popdensity","(0.23,0.9]",0.1387
"Popdensity","(0.9,2.02]",0.1756
"Popdensity","(14.8,40.6]",0.2585
"Popdensity","(2.02,5.25]",0.2593
"Popdensity","(40.6,971]",0.2744
"Popdensity","(5.25,14.8]",0.2741
"Popdensity","[0,0.23]",0.0483
