"unit_size","variable","qv"
20,"Climatezone",0.7922
20,"Mining",0.1373
20,"Tempchange",0.3111
20,"Precipitation",0.8202
20,"GDP",0.0578
20,"Popdensity",0.1564
30,"Climatezone",0.8066
30,"Mining",0.1459
30,"Tempchange",0.3106
30,"Precipitation",0.835
30,"GDP",0.0814
30,"Popdensity",0.1837
40,"Climatezone",0.8218
40,"Mining",0.1411
40,"Tempchange",0.318
40,"Precipitation",0.8444
40,"GDP",0.0917
40,"Popdensity",0.1887
50,"Climatezone",0.8224
50,"Mining",0.1454
50,"Tempchange",0.3465
50,"Precipitation",0.84
50,"GDP",0.1144
50,"Popdensity",0.2217
