"SampleID","Lon","Lat","Cr_ppm","Cu_ppm","y"
1,117.6417298,-24.66430556,223,64,5.40717177146012
2,117.6561997,-24.58847566,91,47,4.51085950651685
3,117.6573999,-24.6264656,201,44,5.30330490805908
4,117.6579496,-24.55609574,417,47,6.0330862217988
5,117.6810095,-24.45020611,305,57,5.72031177660741
6,117.6888895,-24.42474619,81,53,4.39444915467244
7,117.6898296,-24.38760627,102,109,4.62497281328427
8,117.6946599,-24.58839564,239,40,5.47646355193151
9,117.6951797,-24.52097584,114,59,4.7361984483945
10,117.6966399,-24.55042576,153,86,5.03043792139244
11,117.6974703,-24.66667554,249,50,5.51745289646471
12,117.7019704,-24.62311565,44,25,3.78418963391826
13,117.7183093,-24.47669605,119,97,4.77912349311153
14,117.7252206,-24.79747564,8,7,2.07944154167984
15,117.7328793,-24.42864615,316,55,5.75574221358691
16,117.7337994,-24.38089628,206,47,5.32787616878958
17,117.7339512,-24.62375579,101,31,4.61512051684126
18,117.7349411,-24.55176596,133,34,4.89034912822175
19,117.7359109,-24.52409603,229,67,5.43372200355424
20,117.7366309,-24.78517567,6,8,1.79175946922805
21,117.7367512,-24.59032587,127,42,4.84418708645859
22,117.7383006,-24.84147576,108,51,4.68213122712422
23,117.7383511,-24.68684562,57,24,4.04305126783455
24,117.7406711,-24.65290565,186,42,5.2257466737132
25,117.7631293,-24.45494612,181,75,5.19849703126583
26,117.7679417,-24.62804586,27,19,3.29583686600433
27,117.7704011,-24.84274589,35,56,3.55534806148941
28,117.7725994,-24.39289627,100,68,4.60517018598809
29,117.7742993,-24.4223562,268,37,5.59098698051086
30,117.7768614,-24.81030588,36,95,3.58351893845611
31,117.7779012,-24.65593579,72,35,4.27666611901606
32,117.7779217,-24.58954597,46,21,3.8286413964891
33,117.7806498,-24.55157594,100,32,4.60517018598809
34,117.7816093,-24.51871599,151,21,5.01727983681492
35,117.7955008,-25.00624592,80,25,4.38202663467388
36,117.7983893,-24.47647613,70,19,4.24849524204936
37,117.8104893,-24.51419605,43,13,3.76120011569356
38,117.8139784,-24.58758581,48,28,3.87120101090789
39,117.8140094,-24.38104633,114,20,4.7361984483945
40,117.8144196,-24.62506581,29,16,3.36729582998647
41,117.8151005,-24.65523582,22,19,3.09104245335832
42,117.8153625,-24.69556586,42,13,3.73766961828337
43,117.8165513,-24.87409605,196,85,5.27811465923052
44,117.8170709,-24.91417617,42,37,3.73766961828337
45,117.8177218,-24.84020617,42,37,3.73766961828337
46,117.818637,-24.5522858,122,28,4.80402104473326
47,117.8201727,-24.80338608,245,44,5.50125821054473
48,117.8202808,-24.9375562,39,16,3.66356164612965
49,117.8215693,-24.42387625,78,24,4.35670882668959
50,117.8229409,-24.98912612,104,30,4.64439089914137
51,117.82633,-24.31113636,142,82,4.95582705760126
52,117.8395956,-24.51384584,33,16,3.49650756146648
53,117.8433213,-24.92272638,82,65,4.40671924726425
54,117.849268,-24.4236562,111,30,4.70953020131233
55,117.8503726,-24.83874638,102,34,4.62497281328427
56,117.8507311,-25.00702632,133,30,4.89034912822175
57,117.8518402,-24.6575859,34,34,3.52636052461616
58,117.8518868,-24.58737587,110,56,4.70048036579242
59,117.8523197,-24.3807163,43,16,3.76120011569356
60,117.8527292,-24.63162588,70,38,4.24849524204936
61,117.8545999,-24.35228631,193,67,5.26269018890489
62,117.8563523,-24.69530597,37,8,3.61091791264422
63,117.8571699,-24.32806635,125,85,4.8283137373023
64,117.8584919,-24.88092646,147,57,4.99043258677874
65,117.8585064,-24.55923584,42,16,3.73766961828337
66,117.8595208,-25.0448365,108,43,4.68213122712422
67,117.8605611,-24.98292658,99,32,4.59511985013459
68,117.8618342,-24.81024631,56,13,4.02535169073515
69,117.8652347,-24.4768159,65,19,4.17438726989564
70,117.8655913,-24.95869662,100,37,4.60517018598809
71,117.8758746,-24.422156,42,15,3.73766961828337
72,117.8802806,-25.07125665,298,43,5.6970934865054
73,117.8846656,-24.55796588,54,25,3.98898404656427
74,117.886001,-25.00450682,191,18,5.25227342804663
75,117.8867043,-24.47564591,60,14,4.0943445622221
76,117.88886,-24.27967643,99,135,4.59511985013459
77,117.8895655,-24.58901593,162,44,5.08759633523238
78,117.8901048,-24.52340589,55,24,4.00733318523247
79,117.8902798,-24.38959628,171,30,5.14166355650266
80,117.8918496,-24.65822597,41,30,3.71357206670431
81,117.892173,-24.73397616,52,20,3.95124371858143
82,117.8937982,-24.62209591,70,21,4.24849524204936
83,117.8948236,-24.77495633,317,53,5.75890177387728
84,117.8959319,-24.69892605,25,11,3.2188758248682
85,117.8971932,-24.83955658,66,26,4.18965474202643
86,117.8973015,-24.98145688,57,24,4.04305126783455
87,117.8975226,-24.87807661,252,53,5.52942908751142
88,117.8993022,-24.91038672,114,82,4.7361984483945
89,117.9013921,-24.94302693,113,31,4.72738781871234
90,117.90337,-24.32317639,151,74,5.01727983681492
91,117.9044999,-24.34785636,98,61,4.58496747867057
92,117.9056738,-24.81533654,82,78,4.40671924726425
93,117.9136113,-25.01503701,121,9.39999962,4.79579054559674
94,117.9219947,-24.43235626,53,62,3.97029191355212
95,117.922621,-25.04177696,130,25,4.86753445045558
96,117.9228555,-24.38796626,154,31,5.03695260241363
97,117.9269382,-24.62374585,82,43,4.40671924726425
98,117.9282871,-24.35024632,90,67,4.49980967033027
99,117.9302747,-24.52793619,29,10,3.36729582998647
100,117.9306243,-24.46945623,67,22,4.20469261939097
101,117.9310865,-24.58697606,64,22,4.15888308335967
102,117.9315752,-24.55515616,78,18,4.35670882668959
103,117.9330792,-24.65801595,51,40,3.93182563272433
104,117.9338224,-24.76541642,102,27,4.62497281328427
105,117.9342017,-24.73302627,77,28,4.34380542185368
106,117.934333,-24.84561672,54,31,3.98898404656427
107,117.9349004,-24.69561609,42,11,3.73766961828337
108,117.93504,-24.31153642,120,78,4.78749174278205
109,117.9364829,-24.80283657,66,80,4.18965474202643
110,117.9370522,-24.94782722,146,61,4.98360662170834
111,117.9377119,-24.97656713,88,27,4.47733681447821
112,117.93884,-24.27925641,56,169,4.02535169073515
113,117.9391027,-24.86995683,120,45,4.78749174278205
114,117.9469604,-25.08584721,304,45,5.71702770140622
115,117.9489122,-24.91250705,118,56,4.77068462446567
116,117.9508216,-25.00411709,140,15,4.9416424226093
117,117.9642899,-24.35685644,105,61,4.65396035015752
118,117.9678999,-24.30737641,49,63,3.89182029811063
119,117.9680822,-24.87595675,80,43,4.38202663467388
120,117.9684149,-24.59087609,173,22,5.15329159449778
121,117.9699955,-24.62235603,78,47,4.35670882668959
122,117.9703971,-24.65753606,125,25,4.8283137373023
123,117.9722323,-24.98134771,97,32,4.57471097850338
124,117.9728699,-24.27919641,57,136,4.04305126783455
125,117.9732415,-24.81039614,37,37,3.61091791264422
126,117.9745338,-24.55179612,140,29,4.9416424226093
127,117.9749822,-24.83630665,300,60,5.7037824746562
128,117.9750321,-24.90928712,106,30,4.66343909411207
129,117.9755388,-24.69602611,46,17,3.8286413964891
130,117.9756299,-24.72702597,146,25,4.98360662170834
131,117.9761932,-24.51355616,33,15,3.49650756146648
132,117.9763394,-24.39600642,122,26,4.80402104473326
133,117.9764805,-24.76397589,173,43,5.15329159449778
134,117.976516,-24.41320631,21,18,3.04452243772342
135,117.9771532,-24.46132621,45,13,3.80666248977032
136,117.9796416,-25.02513759,189,32,5.24174701505964
137,117.9815023,-24.94906751,75,43,4.31748811353631
138,117.9924111,-25.06542764,273,40,5.60947179518496
139,117.9943199,-24.34944644,78,51,4.35670882668959
140,117.9980033,-24.56431609,132,28,4.88280192258637
141,118.0055527,-24.46215619,48,30,3.87120101090789
142,118.010372,-25.01068786,118,26,4.77068462446567
143,118.0191329,-24.57168607,65,60,4.17438726989564
144,118.0208199,-24.27583642,77,62,4.34380542185368
145,118.0208599,-24.34231642,144,55,4.969813299576
146,118.0218916,-24.93085726,98,42,4.58496747867057
147,118.0242899,-24.31464642,182,54,5.2040066870768
148,118.0248664,-24.67909608,88,48,4.47733681447821
149,118.0262536,-24.60659604,43,23,3.76120011569356
150,118.028314,-24.42599623,41,16,3.71357206670431
151,118.0305279,-24.71458612,396,46,5.98141421125448
152,118.0309221,-24.50681613,70,46,4.24849524204936
153,118.0317447,-24.64419605,162,39,5.08759633523238
154,118.0325023,-24.54866609,90,66,4.49980967033027
155,118.0333414,-25.0775376,104,38,4.64439089914137
156,118.0335817,-24.96359766,92,34,4.52178857704904
157,118.0343614,-24.89494687,127,74,4.84418708645859
158,118.0352814,-24.87230679,151,67,5.01727983681492
159,118.0361706,-24.83091615,105,71,4.65396035015752
160,118.0380682,-24.74709605,296,38,5.69035945432406
161,118.0439299,-24.39127637,50,12,3.91202300542815
162,118.0458195,-24.78405563,47,18,3.85014760171006
163,118.0542321,-24.56139607,184,96,5.21493575760899
164,118.063863,-24.61491604,43,21,3.76120011569356
165,118.0647699,-24.31949637,79,76,4.36944785246702
166,118.0661799,-24.41040636,20,9,2.99573227355399
167,118.0709299,-24.39231634,121,33,4.79579054559674
168,118.0710799,-24.27792636,66,120,4.18965474202643
169,118.0714199,-24.83200599,64,84,4.15888308335967
170,118.0722662,-24.70732604,121,49,4.79579054559674
171,118.0724917,-24.96408807,43,28,3.76120011569356
172,118.0727923,-24.45469618,33,11,3.49650756146648
173,118.0731037,-24.64446603,57,26,4.04305126783455
174,118.0739109,-24.89135691,86,54,4.45434729625351
175,118.0742988,-24.75155527,165,44,5.10594547390058
176,118.0746415,-24.92945762,105,36,4.65396035015752
177,118.0755722,-25.01190858,129,45,4.85981240436167
178,118.0759503,-24.85928633,120,64,4.78749174278205
179,118.0760123,-25.04889851,167,44,5.11799381241676
180,118.0764898,-24.52878609,382,66,5.94542060860658
181,118.0767599,-24.34059635,94,51,4.54329478227
182,118.0822846,-24.67763601,266,93,5.5834963087817
183,118.0838491,-24.78460546,69,23,4.23410650459726
184,118.085082,-24.48009615,94,52,4.54329478227
185,118.0931437,-24.65804599,2,9,0.693147180559945
186,118.0959836,-24.65849598,47,21,3.85014760171006
187,118.0967935,-24.65387599,17,37,2.83321334405622
188,118.0968021,-25.07286846,122,46,4.80402104473326
189,118.1097098,-24.56437607,301,73,5.70711026474888
190,118.1097099,-24.27891633,35,190,3.55534806148941
191,118.1104299,-24.32740635,68,64,4.21950770517611
192,118.1105921,-24.60500602,64,26,4.15888308335967
193,118.1109698,-24.52336611,338,82,5.82304589548302
194,118.1117199,-24.38474634,29,9,3.36729582998647
195,118.1126228,-24.63902599,151,83,5.01727983681492
196,118.113372,-24.96594858,111,27,4.70953020131233
197,118.1136398,-24.42328632,129,31,4.85981240436167
198,118.1137039,-24.67756595,35,33,3.55534806148941
199,118.1139224,-24.45642618,33,22,3.49650756146648
200,118.1139715,-25.10114809,155,30,5.04342511691925
201,118.1144494,-24.82421579,244,41,5.4971682252932
202,118.1147688,-24.78627536,196,57,5.27811465923052
203,118.1148811,-24.92794743,110,36,4.70048036579242
204,118.1152806,-24.8918468,183,57,5.20948615284142
205,118.1167599,-24.34171635,85,70,4.44265125649032
206,118.1167999,-24.85618624,176,60,5.17048399503815
207,118.1179861,-24.72460504,109,64,4.69134788222914
208,118.1185384,-24.75259506,190,100,5.24702407216049
209,118.1196725,-25.00833905,127,41,4.84418708645859
210,118.1238011,-24.92846746,24.5,15,3.19867311755068
211,118.1362098,-24.42395632,36,18,3.58351893845611
212,118.1397883,-24.75728502,367,110,5.90536184805457
213,118.1459565,-24.72803491,135,62,4.90527477843843
214,118.1473998,-24.35196634,89,71,4.48863636973214
215,118.1483197,-24.64644618,30,16,3.40119738166216
216,118.1499097,-24.60416619,69,33,4.23410650459726
217,118.1506298,-24.56332609,420,58,6.04025471127741
218,118.1510498,-24.31612632,57,66,4.04305126783455
219,118.1513464,-24.45714622,61,36,4.11087386417331
220,118.152259,-24.81962567,225,67,5.41610040220442
221,118.1525924,-24.48570611,161,47,5.08140436498446
222,118.1534996,-24.8550162,108,59,4.68213122712422
223,118.1542809,-24.9274175,172,55,5.14749447681345
224,118.1548385,-24.78439523,127,71,4.84418708645859
225,118.1554924,-24.52803607,475,67,6.16331480403464
226,118.1556115,-24.96433842,188,60,5.23644196282995
227,118.1557303,-24.89182682,228,56,5.42934562895444
228,118.1562398,-24.37982633,56,14,4.02535169073515
229,118.1638496,-24.68600606,126,41,4.83628190695148
230,118.1647698,-24.33081633,117,107,4.76217393479776
231,118.1653198,-24.33713633,118,119,4.77068462446567
232,118.1658598,-24.34182633,109,128,4.69134788222914
233,118.1681598,-24.34569633,31,100,3.43398720448515
234,118.1798047,-24.71699591,71,76,4.26267987704132
235,118.1840298,-24.32776631,65,40,4.17438726989564
236,118.1846495,-24.67496603,220,41,5.39362754635236
237,118.1865798,-24.38285631,32,11,3.46573590279973
238,118.1866398,-24.45551629,39,21,3.66356164612965
239,118.1874383,-24.75630548,240,123,5.48063892334199
240,118.1900653,-24.51572616,262,62,5.5683445037611
241,118.1902986,-24.78375558,227,72,5.4249500174814
242,118.1911188,-24.82011566,373,69,5.92157841964382
243,118.1917297,-24.60495616,109,53,4.69134788222914
244,118.1925598,-24.4138663,70,21,4.24849524204936
245,118.1928394,-24.85427619,317,51,5.75890177387728
246,118.1929514,-24.96448829,107,55,4.67282883446191
247,118.1973098,-24.34390631,159,23,5.06890420222023
248,118.19739,-24.89061684,217,53,5.37989735354046
249,118.1977597,-24.56785621,106,51,4.66343909411207
250,118.2000997,-24.63710613,68,35,4.21950770517611
251,118.2037306,-24.92686738,108,50,4.68213122712422
252,118.2134997,-24.31382626,54,115,3.98898404656427
253,118.2142997,-24.31616627,113,111,4.72738781871234
254,118.2149798,-24.54560624,297,61,5.6937321388027
255,118.2173897,-24.31920627,43,50.5,3.76120011569356
256,118.2188798,-24.45823627,36,20,3.58351893845611
257,118.2212298,-24.39246629,35,12,3.55534806148941
258,118.2239483,-24.75276441,106,120,4.66343909411207
259,118.2249382,-24.7221443,87,84,4.46590811865458
260,118.2253988,-24.817685,274,51,5.61312810638807
261,118.2257397,-24.31360626,39,24,3.66356164612965
262,118.2259297,-24.61106615,277,63,5.62401750618734
263,118.2260497,-24.34936628,586,98,6.37331978957701
264,118.2278498,-24.56481624,44,39,3.78418963391826
265,118.2279596,-24.67732603,74,26,4.30406509320417
266,118.2288198,-24.49056626,213,138,5.36129216570943
267,118.2319698,-24.42321628,128,29,4.85203026391962
268,118.2328797,-24.88876613,194,57,5.26785815906333
269,118.2341205,-24.92866715,143,51,4.96284463025991
270,118.2347185,-24.78511458,119,62,4.77912349311153
271,118.2354812,-24.97153806,102,39,4.62497281328427
272,118.2359692,-24.85713552,153,57,5.03043792139244
273,118.2433497,-24.64496612,196,56,5.27811465923052
274,118.2501197,-24.35042626,688,67,6.53378883793334
275,118.2576598,-24.46496625,34,14,3.52636052461616
276,118.25912,-24.89502643,304,75,5.71702770140622
277,118.2641588,-24.83019491,267,55,5.58724865840025
278,118.2652781,-24.71247415,262,72,5.5683445037611
279,118.2655508,-24.9570675,109,56,4.69134788222914
280,118.2660096,-24.68734604,98,102,4.58496747867057
281,118.2667198,-24.50838623,170,60,5.13579843705026
282,118.2673196,-24.61171611,172,63,5.14749447681345
283,118.2678696,-24.32056623,84,30,4.43081679884331
284,118.2693996,-24.64381609,68,45,4.21950770517611
285,118.2701082,-24.75117419,87,55,4.46590811865458
286,118.2703597,-24.56791615,153,47,5.03043792139244
287,118.2740003,-24.92619685,359,55,5.88332238848828
288,118.2743597,-24.38266625,55,16,4.00733318523247
289,118.2748094,-24.85804565,111,33,4.70953020131233
290,118.2755197,-24.42234626,65,26,4.17438726989564
291,118.2759383,-24.78485436,197,72,5.28320372873799
292,118.2882796,-24.34207623,89,73,4.48863636973214
293,118.2973497,-24.53642618,108,67,4.68213122712422
294,118.3024796,-24.6012161,253,58,5.53338948872752
295,118.3040997,-24.38596623,50,14,3.91202300542815
296,118.3041381,-24.74702409,60,77,4.0943445622221
297,118.3069596,-24.64288608,63,60,4.14313472639153
298,118.3071796,-24.67891608,102,78,4.62497281328427
299,118.3081796,-24.71258598,344,70,5.8406416573734
300,118.3095182,-24.78400423,291,67,5.67332326717149
301,118.3095309,-25.01866713,235,45,5.45958551414416
302,118.3099397,-24.46596622,74,62,4.30406509320417
303,118.3100898,-24.80991622,75,68,4.31748811353631
304,118.3102396,-24.31455622,177,54,5.17614973257383
305,118.3111297,-24.56852613,553,90,6.31535800152233
306,118.3123197,-24.42777623,121,32,4.79579054559674
307,118.3123797,-24.50148621,84,36,4.43081679884331
308,118.3127101,-24.92548643,317,62,5.75890177387728
309,118.3130497,-24.89022598,335,58,5.81413053182507
310,118.3154294,-24.86577566,108,52,4.68213122712422
311,118.3156704,-24.96276684,152,53,5.02388052084628
312,118.3234008,-25.05225704,254,54,5.53733426701854
313,118.3298706,-25.02214679,237,32,5.46806014113513
314,118.3372693,-24.85465542,101,62,4.61512051684126
315,118.3372897,-24.71611612,247,65,5.50938833662798
316,118.3374206,-25.05347648,77,8,4.34380542185368
317,118.3413397,-24.48672619,204,61,5.31811999384422
318,118.3431497,-24.63362611,61,66,4.11087386417331
319,118.3443899,-24.8320663,75,66,4.31748811353631
320,118.3453196,-24.42133619,121,40,4.79579054559674
321,118.3464598,-24.59916619,144,53,4.969813299576
322,118.3468799,-24.79062624,166,72,5.11198778835654
323,118.3469896,-24.34860619,155,61,5.04342511691925
324,118.3475696,-24.39105619,159,43,5.06890420222023
