"Elevation.Elevation_b1t0","Elevation.Elevation_b1t0.1","Elevation.Elevation_b1t0.2","Elevation.Elevation_b1t0.3","Elevation.Elevation_b1t0.4","Elevation.Elevation_b1t0.5","Elevation.Elevation_b1t0.6","Elevation.Elevation_b1t0.7","Elevation.Elevation_b1t0.8","Elevation.Elevation_b1t0.9","Elevation.Elevation_b1t1","Elevation.Elevation_b3t0","Elevation.Elevation_b3t0.1","Elevation.Elevation_b3t0.2","Elevation.Elevation_b3t0.3","Elevation.Elevation_b3t0.4","Elevation.Elevation_b3t0.5","Elevation.Elevation_b3t0.6","Elevation.Elevation_b3t0.7","Elevation.Elevation_b3t0.8","Elevation.Elevation_b3t0.9","Elevation.Elevation_b3t1","Elevation.Elevation_b5t0","Elevation.Elevation_b5t0.1","Elevation.Elevation_b5t0.2","Elevation.Elevation_b5t0.3","Elevation.Elevation_b5t0.4","Elevation.Elevation_b5t0.5","Elevation.Elevation_b5t0.6","Elevation.Elevation_b5t0.7","Elevation.Elevation_b5t0.8","Elevation.Elevation_b5t0.9","Elevation.Elevation_b5t1","Elevation.Elevation_b7t0","Elevation.Elevation_b7t0.1","Elevation.Elevation_b7t0.2","Elevation.Elevation_b7t0.3","Elevation.Elevation_b7t0.4","Elevation.Elevation_b7t0.5","Elevation.Elevation_b7t0.6","Elevation.Elevation_b7t0.7","Elevation.Elevation_b7t0.8","Elevation.Elevation_b7t0.9","Elevation.Elevation_b7t1","Elevation.Elevation_b9t0","Elevation.Elevation_b9t0.1","Elevation.Elevation_b9t0.2","Elevation.Elevation_b9t0.3","Elevation.Elevation_b9t0.4","Elevation.Elevation_b9t0.5","Elevation.Elevation_b9t0.6","Elevation.Elevation_b9t0.7","Elevation.Elevation_b9t0.8","Elevation.Elevation_b9t0.9","Elevation.Elevation_b9t1"
505.8899293,506.8810917,508.51703978,509.48199673,510.23687868,512.0168105,513.61458814,514.31224098,515.80437082,518.33169395,520.3239279,492.1483093,495.38984856,500.09756206,506.13178824,512.14683352,519.5684196,526.05710658,530.63487956,539.75251606,551.18787564,580.1610569,476.949988,485.13045946,492.48370674,497.37882446,506.08206028,518.70498435,529.2122853,542.44695618,552.0783711,569.37215274,667.4730076,471.5886119,477.76565492,484.6589101,493.26716237,503.32812102,516.85268575,527.9300811,542.7063238,557.7239033,585.86310602,688.5017912,468.1710884,475.36500899,479.2294366,489.63944476,503.0883504,518.99868055,530.51059312,540.11835837,551.87896314,574.53829493,688.5017912
473.7054772,474.01660056,474.219668,474.27281696,474.31410088,474.4902906,474.99898644,477.66127624,484.56010894,490.82943854,497.315308,471.3799259,473.3494732,473.97169626,474.48819376,475.20521484,476.1909438,480.88888246,487.24920066,490.98904866,496.7447157,518.5172102,468.6376769,472.02901198,474.31069688,475.4007723,476.94771018,478.1999181,480.70535912,485.60672506,493.06241132,503.83232898,548.6824891,467.6307898,471.39284734,474.86365718,477.1751107,478.84827924,481.5589869,485.80868522,489.13799916,493.70602608,503.00786642,561.0533502,465.3423688,471.7973986,476.2008568,479.0174434,482.5753278,485.904285,487.5602398,490.6712366,496.4605282,508.5917813,577.6864794
475.4050517,476.4203935,476.949988,477.5420885,478.1999181,479.05776235,480.2099031,481.19252005,481.7769412,483.8873989,485.3853786,473.3989859,474.86848402,475.65086474,476.85823658,477.58310112,478.4069627,480.77603424,484.5084699,489.12436418,493.85616332,507.7742627,470.2958364,473.97169626,475.38626182,477.23472172,478.1708044,479.6781665,484.64587164,491.1659632,497.33159206,510.20171456,577.6864794,468.6374707,473.66424444,476.63434688,478.71183202,480.8031678,486.4114192,492.64356898,499.64242128,514.78560026,531.67004196,577.6864794,466.3578378,473.21846223,477.0458906,479.98984626,484.44435858,490.7278519,497.80722736,509.32125739,526.24687334,547.6818834,667.4730076
478.3683278,479.64421987,480.5765686,481.98890765,482.78978358,484.1895186,484.73564466,487.07353149,488.7808017,495.7209523,498.9626602,474.2265542,476.9803108,480.6817106,483.2650001,487.0288118,488.0060637,490.3861478,493.1717619,496.1598743,498.9626602,519.1852419,469.7695291,474.7735087,479.30124374,484.38071778,485.82308098,487.1163168,488.3666201,491.09796234,497.00163308,503.02524076,548.6824891,468.0219999,473.38160519,476.18374974,481.79514568,485.82884642,487.12711545,488.33766944,490.68277387,495.94972488,503.47831244,561.0533502,465.8388976,472.8393797,476.95605256,480.48412594,485.70749898,487.3811723,489.1197872,492.19083694,497.88127168,509.74992696,561.0533502
485.0170288,485.85676119,486.84043742,487.72037141,488.90026562,490.313495,492.7527559,494.07439225,495.29698376,498.09652473,500.344299,481.6940028,484.31422802,486.19316378,488.73415682,493.38523116,498.2428271,505.7118156,513.34329136,519.98815374,528.12063048,584.5171171,478.0870914,483.80430092,486.83787642,493.600977,498.0390893,503.7652137,509.2154608,516.43736508,525.21313026,558.98800022,799.9967913,474.5249575,482.85328192,487.78505532,494.21461586,497.8590612,502.448908,508.62455728,517.4479954,533.4769988,574.76215028,799.9967913,471.4330047,481.25846718,486.74586626,491.40211212,496.80954094,501.5561806,507.42495336,516.82916548,534.06978096,572.98013,799.9967913
484.0798925,484.80163118,485.3591699,486.29630888,486.42259868,486.5686094,488.3034331,490.97182574,491.76702254,496.85677942,503.8503043,479.4721096,482.60749394,484.0440377,485.13139098,486.4063653,488.0147208,491.60964756,494.42120054,496.55089668,499.87597632,510.4085715,475.6451502,480.5902324,483.2953307,485.6193083,488.3057578,493.6801018,496.8478603,499.8431614,504.6690937,520.5197333,726.2639529,473.2932192,479.41374871,484.0521229,488.66673849,494.22103978,498.65581945,503.3345309,508.62188944,519.96310292,547.7630963,799.9967913,470.2925945,478.99023356,484.29655306,489.839617,496.3934362,500.980041,506.94892998,514.43790116,525.57175386,559.39113207,799.9967913
482.505342,483.27344403,483.94343008,484.35062955,484.58704376,485.6110206,486.34170392,487.47908415,488.73899312,491.91368203,496.3911146,478.9203744,480.99714548,482.87394426,485.19047588,487.5163047,489.2006014,490.88642842,492.94698418,496.14751756,498.25327302,507.5778402,474.6841221,478.77617561,481.29926098,483.32394278,485.38391072,488.08237635,490.92213694,494.24742129,497.16364588,500.27400479,507.5778402,472.7002166,477.19042535,480.81979928,483.24707795,485.19299606,487.7732577,491.0721228,495.75796086,499.98075428,504.40613957,529.3373238,469.9089789,476.33235248,481.03091824,484.41898896,487.68110922,491.37820625,495.81203562,500.82066391,507.61606376,519.83647538,799.9967913
478.7664122,482.63261355,490.3607092,492.31965595,498.84832066,515.4103835,517.61482066,519.26925144,522.5986455,524.23534421,525.4011216,475.2199945,476.98685738,478.54810974,479.80456588,488.05586982,495.2423477,502.496782,508.66828006,513.88920952,522.65371258,561.0533502,473.7054772,475.82360248,477.88205332,479.66417512,481.75925066,486.6290556,488.80133942,493.86008912,503.11341866,516.78457944,561.0533502,470.8107448,475.73986512,478.16564954,480.38508312,483.32828262,485.73994265,487.18949784,489.85844225,493.62257426,505.35410241,561.0533502,468.6376769,475.64599552,478.98257818,482.75292802,485.8964333,487.4832646,489.82320526,492.86582606,497.74918478,509.36930614,577.6864794
485.5521827,485.64981565,485.66120278,486.02241748,486.29590036,487.08759315,487.17092274,487.57748,489.17441192,489.34354387,489.7789406,484.6261873,485.56422542,485.80082976,486.15556902,487.08891518,487.760002,490.36735192,495.08842724,499.36953466,506.02266986,518.8201102,484.6261873,485.82308098,486.66201252,487.41887614,489.33261386,493.3958391,499.09192676,507.3744506,517.60770326,535.92966956,675.0003609,475.7323182,485.95382271,487.1724034,488.86790742,492.13184704,497.0930282,504.03808044,513.47590996,529.7539567,600.53779282,776.3578453,472.9245305,485.6451268,487.38555344,489.75869654,493.25284496,497.67326495,504.8968542,515.67902258,531.72362144,576.2555044,799.9967913
485.4164199,485.579348,485.78428852,486.12233998,486.66219278,486.8831422,487.2839136,488.001788,488.91197912,489.79455384,495.1491412,484.6261873,485.56121474,485.78132644,486.1143348,486.66919626,487.26093795,488.05962778,491.88621779,498.96948554,510.78355625,548.6824891,478.3683278,485.64203002,486.28045634,487.149557,487.80065258,489.3748107,491.7981983,496.15993486,502.18570804,511.50327068,561.0533502,473.466635,479.1205962,485.64124826,486.82247264,488.27136142,490.8249899,494.06704046,498.61591036,507.47155464,522.41179406,628.7376766,469.1149566,476.96211712,481.76592118,486.19545502,487.88165226,491.2837566,495.60534732,502.03681704,513.08789286,537.2228326,763.5057034
