"b1t0","b1t0.1","b1t0.2","b1t0.3","b1t0.4","b1t0.5","b1t0.6","b1t0.7","b1t0.8","b1t0.9","b1t1","b3t0","b3t0.1","b3t0.2","b3t0.3","b3t0.4","b3t0.5","b3t0.6","b3t0.7","b3t0.8","b3t0.9","b3t1","b5t0","b5t0.1","b5t0.2","b5t0.3","b5t0.4","b5t0.5","b5t0.6","b5t0.7","b5t0.8","b5t0.9","b5t1","b7t0","b7t0.1","b7t0.2","b7t0.3","b7t0.4","b7t0.5","b7t0.6","b7t0.7","b7t0.8","b7t0.9","b7t1","b9t0","b9t0.1","b9t0.2","b9t0.3","b9t0.4","b9t0.5","b9t0.6","b9t0.7","b9t0.8","b9t0.9","b9t1"
8.445149257,18.36350562,62.449228968,128.06436069,147.3178455,219.21824675,275.84354944,277.42475269,279.6777569,297.86461167,314.4652304,2.109912437,37.992685504,95.414834242,135.58657734,180.59804088,225.8373468,242.10911066,274.81426054,308.49637108,339.13365336,355.9286452,2.109912437,27.197290008,58.680832306,104.06642245,143.572473,194.8661159,228.01754804,260.98932576,302.92963708,325.15536712,356.5099452,2.109912437,30.076880704,68.554552706,112.63685046,157.23660832,204.66039455,232.25802246,262.79370417,296.5789187,324.0049575,356.5099452,2.109912437,41.231594246,88.291553316,130.24820484,162.45283934,202.74581145,229.75029478,262.67513619,296.79493034,322.22838951,356.5099452
103.7780701,114.8841331,144.74291558,170.3093981,187.71848938,192.6809173,206.3840127,208.17924014,211.11660284,224.04840128,238.1233592,8.299866126,112.8519842,189.70829718,204.66482912,212.21349352,233.9487754,255.31297682,268.45661686,290.65372622,311.38957748,337.7275508,6.125092529,45.112694288,142.96774536,192.36074178,209.99163042,225.9196051,251.01034006,271.17320712,292.00613454,319.30498682,347.9962212,2.109912437,35.409259466,85.129995504,143.89260744,184.26622114,206.1425225,224.81972814,254.2269177,279.46808834,314.00670968,355.9286452,2.109912437,35.90105936,95.71691944,157.8121966,185.5811084,206.4951533,228.1709987,260.2367995,286.3900626,318.3915667,355.9286452
18.35781886,23.54149232,29.66431739,32.2283404,34.46507063,36.403675,39.54289968,54.34596042,95.71691944,117.3281261,130.8806577,5.873283676,16.286287542,25.949866372,34.37944959,66.075445044,125.2287164,193.88883976,225.5530207,263.21062102,295.13805286,355.9286452,2.109912437,24.18262296,61.643117838,132.64605902,191.2387694,217.4104858,244.23177136,272.439863,291.99179742,327.2918933,355.9286452,2.109912437,30.845853292,102.97674956,161.47593404,201.23627436,225.8373468,255.56979098,282.06518998,304.18060776,327.72891072,355.9286452,2.109912437,38.641590272,96.666360714,148.96660274,190.73003502,219.40414415,246.42783198,275.51569845,302.07721422,325.21350429,356.5099452
185.3176179,203.16300823,211.37181324,216.96978226,219.59157218,222.74886545,227.61030104,239.25885113,253.76201902,256.57272528,260.4036496,11.67358208,53.93049996,94.45616124,142.6085688,193.1103502,206.9966557,224.5365499,253.9738714,274.0854153,302.3660792,332.7657593,11.67358208,50.11454833,94.626864246,140.25250386,176.65646612,198.2201109,210.0890458,223.91350784,253.90325394,286.21412074,337.7275508,6.125092529,51.638430225,110.12242084,163.74172857,181.19392418,197.7585818,210.39145794,227.19825289,257.10865556,290.13312066,341.4776244,6.125092529,46.407149748,117.00677326,168.68294342,186.96816896,203.1245089,217.80920326,234.46980352,265.43581336,294.70616632,348.6714019
132.4835989,141.99424563,241.0528486,302.11792748,302.21349758,303.8158094,306.9053209,307.77470975,310.5273681,314.29015667,324.4130834,21.95962829,30.694549038,49.098074214,148.87388158,240.21512732,281.511712,297.4235709,304.81243268,312.89216004,320.65599768,336.4683632,6.072280105,46.440022284,108.44388132,179.6968404,218.14432784,242.503255,265.99096138,292.88288944,307.7190187,322.34457014,349.074461,2.622946951,41.610545262,121.44781118,176.9471452,203.65461208,224.7224862,253.0857146,277.99178618,298.94730492,317.19616722,349.074461,2.622946951,42.281380746,121.7695092,170.48433822,194.45161168,212.412355,229.995507,257.89725204,284.44277748,309.2214472,349.074461
218.1261108,227.26477744,248.65301752,254.40713212,263.54831796,265.2099001,269.65148874,284.1768723,287.9232735,296.36264562,300.5510681,29.32419562,161.7085182,225.96865998,255.32248932,263.9290669,273.7370615,285.74492344,297.88312586,307.58322046,319.73430898,336.9727315,11.51141203,46.68589705,160.3049817,233.7363962,263.8206885,277.3144426,292.796589,304.1218546,314.3179908,328.2712498,349.074461,2.622946951,38.184028996,102.95064118,183.52238784,220.92680218,245.197952,267.55064844,283.82113449,303.57264916,318.24864928,349.074461,2.622946951,39.221771598,118.7771237,180.197433,211.80298616,230.4038776,255.66529572,277.23364618,299.2092002,315.41979827,350.7680514
206.126708,212.6267397,218.8312942,223.9581704,231.91210504,248.18574225,264.99697146,287.93395743,300.65731116,310.02745584,321.2655161,8.14181398,103.1818047,183.2280259,214.27460648,229.37898944,258.4285647,269.51437922,286.11315978,300.20342864,317.87331556,344.9673861,8.14181398,149.60130505,198.50402374,224.49771785,248.07447274,261.77321415,271.01886174,282.8557737,296.53747608,313.64378134,350.7680514,8.14181398,101.20423328,183.03065912,214.34139912,234.54868306,260.33498325,271.28933106,288.53892834,304.07575542,319.75023569,350.7680514,2.622946951,50.044783396,159.07561346,194.57588285,218.15063444,238.60205735,265.8297075,284.52009947,303.96422818,317.87492252,350.7680514
49.12730432,78.664788325,157.06251234,170.58939108,182.19301478,184.8928419,187.4768807,189.03355383,193.65352512,200.3032388,314.2358027,14.98494148,96.814002176,175.55941382,190.1514768,203.79281002,218.9685489,238.11625984,265.91829698,289.25394342,318.21953312,337.7275508,6.867186959,49.826574172,121.6734163,174.09239218,198.63241284,217.5675992,238.33967104,264.88393274,284.97768456,306.3632535,337.7275508,6.125092529,37.161221175,99.379250296,166.39109361,198.44628746,217.2144822,241.7813829,262.15518052,283.5357101,311.5485762,349.819534,4.135212612,41.532980788,108.93614094,166.81970956,195.58398904,211.61372,227.12940294,253.5406082,277.35349432,311.6000862,355.9286452
155.59705,161.85559362,167.79323548,171.77350889,173.84157678,177.17240425,179.89951068,187.85531084,197.53253954,204.03661737,217.7828848,18.50380725,134.88590842,166.9645095,175.47570934,184.3404462,194.738754,200.58331324,210.99833262,221.99391846,234.06774982,285.7869484,11.67358208,64.242662234,135.5275362,174.22460374,192.16090874,201.9995359,211.5403816,220.4363557,227.61718134,239.04206062,313.1486144,7.567645692,68.772622169,135.94283428,177.6412851,198.00413634,207.26862175,218.86777518,229.00711722,249.94271926,278.24067904,337.7275508,6.072280105,53.979203259,105.9991928,156.38140747,178.96832122,200.1278779,211.9390837,225.60752962,246.27196152,283.84487731,349.074461
19.11858434,20.236131196,22.989184828,26.138332648,28.433411512,61.36917108,127.4809987,147.06076666,189.70268482,208.94589774,243.7842814,11.67358208,27.297212942,56.882118392,73.469684775,126.52191868,160.1815323,181.578539,210.29291594,234.4708427,261.15667007,285.7869484,6.867186959,49.826574172,99.848758024,158.3145304,180.63899472,200.1642463,213.46691342,226.99177696,248.64269514,273.74288106,337.7275508,6.867186959,65.697708204,136.5296017,177.92663252,195.83219696,205.4475945,217.38625252,228.71244646,251.17281816,274.52195344,337.7275508,6.867186959,68.992592814,135.51117476,177.74453892,198.55937574,209.9812613,221.40757374,233.4550126,257.62353964,284.66071018,340.6177123
