"b1t0","b1t0.1","b1t0.2","b1t0.3","b1t0.4","b1t0.5","b1t0.6","b1t0.7","b1t0.8","b1t0.9","b1t1","b3t0","b3t0.1","b3t0.2","b3t0.3","b3t0.4","b3t0.5","b3t0.6","b3t0.7","b3t0.8","b3t0.9","b3t1","b5t0","b5t0.1","b5t0.2","b5t0.3","b5t0.4","b5t0.5","b5t0.6","b5t0.7","b5t0.8","b5t0.9","b5t1","b7t0","b7t0.1","b7t0.2","b7t0.3","b7t0.4","b7t0.5","b7t0.6","b7t0.7","b7t0.8","b7t0.9","b7t1","b9t0","b9t0.1","b9t0.2","b9t0.3","b9t0.4","b9t0.5","b9t0.6","b9t0.7","b9t0.8","b9t0.9","b9t1"
1.586862205,1.6200054603,1.6810428842,1.7230479562,1.7444164926,1.7689419185,1.790536015,1.8440925532,1.861876249,1.9049879965,1.918785166,1.415239216,1.5218576772,1.554187309,1.6031317398,1.6395762554,1.674382609,1.70416815,1.7620139934,1.8043407056,1.9022538448,2.174381586,1.405900085,1.5222531259,1.5616398234,1.6100226599,1.6471065642,1.6888581415,1.7267632394,1.7966918476,1.875400718,2.0069971356,2.802635124,1.405900085,1.5248655929,1.5917709804,1.6380461482,1.6917150026,1.7327890875,1.7962875582,1.871391066,1.9649109248,2.1821336335,3.088108524,1.405900085,1.5458940696,1.615039727,1.666670384,1.718814344,1.7775791295,1.8387965216,1.9263981301,2.0430929584,2.4292981928,3.409911674
1.620935891,1.8766513894,2.2196542882,2.4371880988,2.8706135716,2.985764194,3.1151803702,3.2190726358,3.2859689686,3.3367072462,3.409911674,1.341638363,1.5096578228,1.5690295432,1.6538662204,1.7832796928,2.060362889,2.3951552262,2.7447603968,2.973251662,3.2203141398,3.409911674,1.341638363,1.4988689174,1.5619117678,1.6209720032,1.7256565386,1.802198391,2.0451783922,2.3914813196,2.697158363,2.9182846064,3.409911674,0.90795917,1.4945358934,1.5727446548,1.6390432738,1.7185687642,1.803116283,2.0009816878,2.2974822036,2.5776391306,2.8898873998,3.409911674,0.823327233,1.491575448,1.570854561,1.642695832,1.715163643,1.787203581,1.918785166,2.132676726,2.43145763,2.758483376,3.409911674
1.46609038,1.558910997,1.632107076,1.6642567635,1.693876556,1.7205645355,1.766520375,1.9146679455,1.989495482,2.121471947,2.263131291,1.461201705,1.5668243136,1.6282874554,1.6734029324,1.7586176654,1.885697187,2.0187350726,2.4577104868,2.6697079966,2.7919585544,3.372231177,1.407236488,1.5478634072,1.6118113486,1.6744674512,1.7586176654,1.885697187,2.0723462914,2.4047291584,2.6746115474,2.8921546466,3.409911674,1.341638363,1.5166284398,1.5727953282,1.6334481588,1.693391128,1.781448764,1.897991202,2.095871927,2.4681248468,2.8189329832,3.409911674,1.341638363,1.5289260013,1.5922808866,1.6562496234,1.7149361524,1.782039632,1.8854123786,2.0322294459,2.3261355354,2.7528001201,3.409911674
1.414099915,1.4284183799,1.4386407604,1.4620209177,1.4943452346,1.522376556,1.5530408526,1.5768333845,1.5885901606,1.7194633686,1.786465473,1.345421824,1.434595567,1.484608014,1.526392839,1.556130776,1.614222506,1.675338107,1.772325402,1.935400171,2.069701814,2.326842796,1.131224706,1.4246248524,1.4896979152,1.5523699724,1.61690786,1.689021995,1.7799018828,1.8869701204,2.1324309972,2.4421277742,3.409911674,0.823327233,1.4603177697,1.5442692582,1.5994847754,1.6669214662,1.7324147485,1.8028955836,2.0007558482,2.2911962834,2.7268450081,3.409911674,0.823327233,1.481649548,1.558686002,1.6235246716,1.6828859662,1.749449275,1.8225474168,1.994022472,2.3128144226,2.7447603968,3.409911674
1.456926343,1.4874231332,1.4997147876,1.5203558462,1.5521829158,1.55798295,1.606985709,1.6383705252,1.7070991272,1.7845028643,1.828036488,1.292640068,1.356245305,1.401754169,1.4458897526,1.4869046562,1.519075192,1.553128491,1.6091913722,1.6546015748,1.7327824692,2.170226769,1.2871734,1.3848187892,1.4455264596,1.4891330608,1.5388595398,1.599899863,1.648984496,1.727723717,1.8417760334,2.0237201024,2.405991986,1.2871734,1.4239810398,1.4890458726,1.5439167264,1.6007101942,1.647628133,1.7225452814,1.8230778156,1.934775933,2.0769115378,2.447158507,1.225370935,1.4395810744,1.5127338962,1.5664813362,1.618313622,1.673801876,1.7463881824,1.8301625976,1.9467796058,2.1479118666,2.931928278
1.362717905,1.4337430522,1.5703220118,1.60520682,1.6208264656,1.659575659,1.677629395,1.7332471954,1.7467395736,1.7630111832,1.819842349,1.2871734,1.3708323272,1.4403499748,1.4880223938,1.5817283992,1.613489344,1.6478130946,1.6714925008,1.7365638876,1.8084227452,2.023985621,1.2871734,1.400503836,1.468122762,1.525476044,1.590847911,1.624031543,1.675177337,1.744402387,1.854595109,1.984313384,2.931928278,1.276932386,1.4253283816,1.4847553918,1.5481562493,1.6096997424,1.6683507225,1.7427952496,1.8225030555,1.945814627,2.1091431178,2.931928278,1.276932386,1.4358538938,1.501533037,1.5553220121,1.6154780478,1.6777126175,1.7627464912,1.8560223427,1.9711065046,2.1697897016,2.931928278
1.585221467,1.6247237619,1.681224128,1.7109242211,1.7742095516,1.835604756,1.8704207884,1.9752896608,2.07939062,2.1595032867,2.447158507,1.33876266,1.5065326406,1.6095667888,1.660208681,1.6954840804,1.74118716,1.7781028534,1.861903354,1.9502291852,2.1690634372,2.931928278,1.276932386,1.4321743923,1.4962723728,1.6080963481,1.6656620248,1.7274093535,1.7803646738,1.8643090551,1.9474723468,2.1090802312,2.931928278,1.276932386,1.4342545966,1.5095100328,1.5938034823,1.656355426,1.7175334185,1.7923872892,1.9044481908,2.069422424,2.3123607713,2.931928278,1.276932386,1.4494033159,1.5255700598,1.5857886425,1.6495630672,1.7243773425,1.8082738652,1.9047037145,2.0361401232,2.2747497625,2.931928278
1.532654561,1.5447876048,1.571925763,1.5868144929,1.5894144546,1.5927948745,1.605537532,1.6793702135,1.722125989,2.3988936662,2.709618414,1.341638363,1.4963541166,1.562336759,1.5972934862,1.675634906,1.787446765,2.3503822674,2.7117816876,2.8859181586,3.1596072568,3.378167263,0.90795917,1.5392790986,1.6204315184,1.7359855382,1.982023427,2.257568457,2.4646973296,2.6822932496,2.781772992,3.0869902468,3.409911674,0.823327233,1.49916948,1.6125658292,1.7277428302,1.8528275532,2.022165241,2.240190343,2.4419003578,2.693555597,2.8866759589,3.409911674,0.823327233,1.4982640754,1.5841029156,1.6616708456,1.7510780554,1.880747826,2.055370768,2.2661375278,2.5198667658,2.7911605336,3.929232797
1.326207048,1.5451239419,1.6105840224,1.6197115939,1.7051118158,1.71896769,1.7603731242,1.7826237694,1.7934980484,1.8197988792,1.83675584,0.823327233,1.215506585,1.4557713556,1.6006391198,1.6483139222,1.681200616,1.7228703156,1.7978702792,1.8639190448,1.942238949,2.568702813,0.823327233,1.4240593646,1.5304187212,1.5998520782,1.6466508438,1.707760614,1.7904569252,1.8656930164,1.9923850984,2.1876255068,2.71454578,0.823327233,1.438321942,1.5295446202,1.5924787553,1.6511769376,1.718346402,1.8013715372,1.9232834538,2.0689588116,2.2487331627,2.766793009,0.823327233,1.459447961,1.5331179878,1.5922188213,1.6520787276,1.723014121,1.8066924254,1.9324572892,2.0841278432,2.2575267564,3.378167263
1.131224706,1.482134468,1.5355683748,1.6054699984,1.6353029132,1.740799983,1.8486600354,2.1273949186,2.2820648932,2.3214107072,2.355486275,0.823327233,1.2020270472,1.427586014,1.4936604263,1.6052087588,1.7150428355,1.8318464236,2.0209359672,2.2519325146,2.3295978688,2.758869224,0.823327233,1.418381586,1.4979728038,1.565665473,1.624131458,1.675735022,1.7252122422,1.8017035506,1.9422677582,2.267765462,2.828915431,0.823327233,1.4770670006,1.5547985422,1.6172075364,1.6774211886,1.755587724,1.8392471614,2.0015993858,2.2455977154,2.6990506054,3.409911674,0.823327233,1.4936127056,1.5915665308,1.6686079794,1.7507432388,1.848010912,2.0099683546,2.1797683888,2.3969930438,2.7234433076,3.409911674
1.465095993,1.4777076465,1.486147144,1.5241272245,1.562361296,1.634517647,1.667278261,1.763998802,1.828780733,1.84485081,1.89510179,1.407236488,1.4933775915,1.539691901,1.588572208,1.620866998,1.6608761445,1.707485108,1.7539083545,1.832263598,1.9364754475,2.629013865,1.407236488,1.5388780122,1.6095346972,1.6735933232,1.7325313214,1.796768201,1.8593680522,1.9264230406,2.0236708952,2.1974889001,3.072892583,1.407236488,1.5625016536,1.6537101794,1.7337492582,1.8258405458,1.90023717,1.9809806988,2.0764625984,2.1990565726,2.4887230012,3.199020199,1.407236488,1.5864409205,1.673662234,1.7653075025,1.854953623,1.9381259845,2.035374872,2.1325880895,2.280212788,2.6503343565,3.471641091
1.987406479,2.1643813812,2.2918029624,2.3527740114,2.411829497,2.455133333,2.4842207278,2.5680137078,2.6237585672,2.7008190964,2.758351748,1.725219778,1.9047580282,1.9850371694,2.1496593352,2.4144204138,2.552648934,2.7017326516,2.7744562706,2.890485081,3.151587455,3.266253197,1.407236488,1.5395217508,1.6575979544,1.8271806308,1.9727208864,2.132534406,2.4144204138,2.6123354816,2.7525145842,3.0350491052,3.378167263,1.341638363,1.5455079428,1.6211797764,1.704882421,1.8275077236,1.985994203,2.2005976164,2.4406502302,2.700177221,2.9231769486,3.929232797,0.90795917,1.5479569162,1.630530918,1.7196562147,1.8156316114,1.943897982,2.1024729754,2.2928454564,2.5295813474,2.7916724067,3.929232797
