"b1t0","b1t0.1","b1t0.2","b1t0.3","b1t0.4","b1t0.5","b1t0.6","b1t0.7","b1t0.8","b1t0.9","b1t1","b3t0","b3t0.1","b3t0.2","b3t0.3","b3t0.4","b3t0.5","b3t0.6","b3t0.7","b3t0.8","b3t0.9","b3t1","b5t0","b5t0.1","b5t0.2","b5t0.3","b5t0.4","b5t0.5","b5t0.6","b5t0.7","b5t0.8","b5t0.9","b5t1","b7t0","b7t0.1","b7t0.2","b7t0.3","b7t0.4","b7t0.5","b7t0.6","b7t0.7","b7t0.8","b7t0.9","b7t1","b9t0","b9t0.1","b9t0.2","b9t0.3","b9t0.4","b9t0.5","b9t0.6","b9t0.7","b9t0.8","b9t0.9","b9t1"
5.261306015,5.3042720131,5.3060911136,5.3090929635,5.315047691,5.323183627,5.3399508822,5.3495882208,5.3638527006,5.390072886,5.430136386,5.19776664,5.245850021,5.2624775482,5.288387377,5.306416016,5.321215364,5.3531738598,5.3918729726,5.458258042,5.5755399012,5.689188888,5.19776664,5.2406905289,5.2657283734,5.2904163986,5.3201146106,5.344439492,5.3819219618,5.4258991449,5.4719274884,5.5659797944,5.689188888,5.150631338,5.2321760644,5.2597313276,5.2815973219,5.3124154838,5.341358229,5.382361897,5.4248987544,5.4876021148,5.5764119941,5.689188888,5.140605031,5.2266440713,5.2567257302,5.2819042214,5.3102641556,5.3420311285,5.3848950448,5.4321658496,5.498857932,5.5765483327,5.689188888
5.261405537,5.3015435536,5.3253672008,5.3498370344,5.358977892,5.364911582,5.394598083,5.4062510238,5.4127968108,5.4201492608,5.440211019,5.182465338,5.2399103282,5.290691076,5.3155017308,5.3397449132,5.367907459,5.4048970582,5.4506435882,5.5691802502,5.583481898,5.645776984,5.179108753,5.2392622566,5.2758937394,5.3047320878,5.3445754256,5.385831042,5.421442318,5.4935918134,5.5553965748,5.58331679,5.645776984,5.125599044,5.2380337238,5.2758937394,5.313297931,5.3554466282,5.394284355,5.4419141742,5.5076141154,5.5642640556,5.5899466022,5.81366453,5.125599044,5.249469839,5.287372814,5.325912939,5.368783693,5.408949591,5.470356003,5.529646806,5.580703664,5.622076314,5.873244622
5.325288915,5.3693228385,5.391403798,5.3988086115,5.423658085,5.448115487,5.454446063,5.4590042415,5.479657303,5.5176434725,5.532342776,5.219626705,5.2751851,5.3744497728,5.4432781406,5.4844028496,5.526569602,5.558455181,5.5766039038,5.592206387,5.616147258,5.645776984,5.219626705,5.273826912,5.329534728,5.3787660466,5.4183119484,5.47010048,5.512278852,5.5565635392,5.5807251512,5.606827342,5.689188888,5.182465338,5.2529586482,5.2806953474,5.3123935482,5.3444854034,5.391403798,5.4434187366,5.5026357978,5.5684422098,5.5958201648,5.689188888,5.125599044,5.2419254164,5.2711960768,5.2969605431,5.3259272278,5.3606513655,5.40503928,5.4716684438,5.5408427668,5.5834668087,5.689188888
5.322113966,5.3329067567,5.3412584026,5.3542932158,5.3724544236,5.3879010385,5.398343103,5.4022919615,5.4039128954,5.4097541136,5.427874584,5.197133115,5.242437585,5.273593342,5.296362924,5.311245694,5.333339687,5.360467972,5.376538243,5.387958457,5.40226938,5.48800694,5.128095324,5.2272279926,5.254275084,5.284002106,5.3082096146,5.344455396,5.3793936588,5.4048186556,5.4465083354,5.6003717916,5.841409979,5.125599044,5.2369526521,5.2760334438,5.3136870144,5.3684331994,5.4059115245,5.4559885492,5.5484427277,5.5896648142,5.6560266405,5.873244622,5.125599044,5.2546060966,5.2981664956,5.3373005416,5.3816881604,5.427320788,5.4848836056,5.5499383948,5.5892812146,5.6459137728,5.873244622
5.307366296,5.3192976461,5.3336368098,5.3580425287,5.3758647364,5.4018875995,5.4341399018,5.4872390517,5.5115337214,5.5695474532,5.59240283,5.264318188,5.309768595,5.3339653508,5.366230955,5.3934511112,5.420147722,5.4955192944,5.5690867928,5.6339326826,5.7224472498,5.815024299,5.264318188,5.3281725628,5.360864804,5.3880141994,5.437338019,5.485047301,5.5285740482,5.582703697,5.6525402452,5.704147346,5.873443701,5.264318188,5.3399054552,5.3809716134,5.426920105,5.4746557122,5.524833608,5.571241081,5.6270250444,5.672015812,5.7192920142,5.873443701,5.264318188,5.3495658416,5.4035426902,5.4656265092,5.5235035314,5.563278176,5.6095046724,5.6461657784,5.6741983416,5.7100974014,5.873443701
5.517724888,5.5240975388,5.5286682032,5.5408057136,5.553973202,5.562006404,5.5793345492,5.5923117468,5.600066259,5.6049405258,5.639540635,5.264318188,5.4427254352,5.5086591112,5.5292451984,5.553490998,5.58006684,5.607467432,5.6482556764,5.6718059082,5.7342484926,5.815024299,5.264318188,5.349156275,5.401130584,5.496022905,5.536987905,5.576456832,5.614619967,5.65698793,5.679080218,5.710078549,5.815024299,5.264318188,5.3564812735,5.4207718738,5.4809423484,5.5259402706,5.5617539555,5.6051646028,5.6398399218,5.6700803084,5.69913109,5.873443701,5.264318188,5.3570293767,5.4197106756,5.4793300684,5.5273588964,5.560285543,5.5942208464,5.6296762598,5.6584912724,5.6921935925,5.873443701
5.513116743,5.5438533255,5.5469820222,5.5513152065,5.5567079274,5.5809261565,5.5931108896,5.6058066569,5.6101547338,5.6146722303,5.634313005,5.470593857,5.5140750946,5.5306210758,5.5458382614,5.5617884952,5.577706631,5.6076711656,5.6259605412,5.6606830642,5.6879838254,5.726214443,5.470593857,5.5267978518,5.547143961,5.5713233902,5.5911693478,5.6152718995,5.6394858002,5.6578149145,5.6738978922,5.6919870218,5.786927917,5.264318188,5.4702498608,5.523104243,5.5502132576,5.576764106,5.6051395015,5.6296674084,5.6529222394,5.6709293662,5.6923311296,5.815024299,5.264318188,5.3974403098,5.459179802,5.515625608,5.5471948828,5.5794992415,5.6144616678,5.6427305821,5.6673187596,5.6924919189,5.815024299
5.233106161,5.2352447764,5.2379842944,5.242346979,5.245304021,5.254416781,5.2560013106,5.2613931276,5.2702256642,5.3190297481,5.349063939,5.125599044,5.2095402774,5.2353848862,5.2540349634,5.2819327356,5.307115688,5.3715401738,5.4107003136,5.4753290144,5.54418058,5.627979783,5.125599044,5.2288655784,5.2591245118,5.2939561686,5.3264118902,5.382059221,5.4289413802,5.5084720098,5.5746614536,5.6091980444,5.666622364,5.125599044,5.2427392544,5.28748564,5.3260421447,5.3696839066,5.4081197155,5.4810770334,5.5518746691,5.5870609702,5.6299150961,5.873244622,5.125599044,5.2581592764,5.2979131172,5.3415006438,5.3837524544,5.436995607,5.5070994834,5.5589165498,5.5931443918,5.6328882116,5.873244622
5.652804449,5.6582258355,5.659438611,5.6617105018,5.6749287998,5.677478947,5.6815745974,5.6840541099,5.7022602512,5.7094827146,5.719257991,5.267558014,5.3560168386,5.4211675454,5.4746935994,5.5739422058,5.611155534,5.639348759,5.674368683,5.7031997854,5.759236778,5.873244622,5.128095324,5.294057346,5.3318326206,5.3680426372,5.4018966244,5.452966331,5.527664233,5.5973490774,5.636698146,5.6871015348,5.873244622,5.125599044,5.2845710453,5.3354669942,5.3787569982,5.4062227766,5.4577645235,5.5301965118,5.598183117,5.6411705456,5.6958662348,5.873443701,5.125599044,5.2698499815,5.317443797,5.3568156682,5.390711788,5.4359557025,5.4911832814,5.5713599942,5.6318533354,5.6922590903,5.873443701
5.227311583,5.2310239296,5.2368838816,5.2471284088,5.2880201088,5.316170769,5.3775696966,5.4432403418,5.532170711,5.6127278802,5.71927456,5.125599044,5.2168722352,5.2408195312,5.2688086927,5.3028787926,5.3696108565,5.5370459056,5.6417814622,5.6955353658,5.7601147205,5.873244622,5.125599044,5.2288655784,5.2617340158,5.2981036614,5.3621514052,5.401764215,5.4847123906,5.5867587856,5.6335663776,5.6810941502,5.873244622,5.125599044,5.2518848094,5.2969705242,5.3320907758,5.3696854402,5.399279239,5.446466455,5.5116136688,5.5979081962,5.648162918,5.873244622,5.125599044,5.264938052,5.3161602014,5.3622035968,5.3997172132,5.44726851,5.509354059,5.5761210232,5.6150523094,5.6542464682,5.873443701
5.239987946,5.251468733,5.267056577,5.2697175925,5.272733807,5.2762559615,5.281411848,5.292037683,5.304428781,5.3697794285,5.376219198,5.19504095,5.2409320115,5.254930064,5.267550822,5.273703482,5.2849128775,5.304428781,5.3240527315,5.346689724,5.373512914,5.411893656,5.189234216,5.2374428275,5.2534205648,5.2676896901,5.282742566,5.303246869,5.3253175562,5.3486426823,5.39107193,5.5018425066,5.626607424,5.162752759,5.2421460582,5.2633909746,5.2862854806,5.315064482,5.341562969,5.3903983544,5.451774491,5.5289696556,5.5868181288,5.706656325,5.160530505,5.246952602,5.276002617,5.3077459375,5.333697667,5.372774236,5.419812958,5.476867423,5.53175094,5.5820034505,5.706656325
5.543603057,5.5476054312,5.5503706808,5.5521941594,5.5616061006,5.568876638,5.5718179632,5.5867701212,5.5933004654,5.5960992254,5.616712716,5.221717878,5.3260715698,5.408005161,5.4810753482,5.5108928506,5.55018192,5.5688849062,5.5834396372,5.6071765024,5.6238791686,5.646302365,5.208560685,5.2564304468,5.2863154526,5.3281217716,5.3728419722,5.425867679,5.4949715434,5.5488753514,5.581623961,5.6103043736,5.650450905,5.125599044,5.2396525526,5.2706631328,5.299543111,5.3378737416,5.38702456,5.4545157422,5.514523383,5.560696256,5.5907514238,5.650450905,5.125599044,5.2458508047,5.2773592606,5.308697544,5.340076766,5.387147104,5.4545925878,5.5152452587,5.5628856444,5.6028042997,5.862585143
5.598212216,5.6512325551,5.6708278124,5.6718864754,5.676575311,5.6920785165,5.6984633412,5.7127835972,5.7195096378,5.7395884875,5.759269049,5.273386314,5.3336051175,5.3861223916,5.4973336096,5.5422154248,5.585221771,5.6318313478,5.6668738961,5.6992514098,5.7295185184,5.873443701,5.264318188,5.3117636118,5.3342259378,5.3570934684,5.3926679442,5.44251764,5.4950743792,5.5573865156,5.6299555008,5.6938985344,5.873443701,5.23519812,5.3189050356,5.350846929,5.3853146499,5.4249806246,5.4702358025,5.5251944822,5.5899100446,5.6374192718,5.6974074226,5.873443701,5.227311583,5.3307095436,5.3709116484,5.4096084872,5.4576268318,5.517268623,5.5717970138,5.6204817187,5.6564185224,5.7094211233,5.873443701
5.127084053,5.1403847978,5.182436688,5.2229239506,5.244487881,5.263626074,5.299673239,5.324441217,5.3418114088,5.353233354,5.365778328,5.099874898,5.1509192905,5.172945389,5.185568369,5.208186662,5.234470428,5.252294578,5.2824700065,5.320165801,5.3598624275,5.799825038,5.04036308,5.1594748601,5.1827306614,5.2047939713,5.2305069224,5.2588192225,5.2824258748,5.3205158923,5.3643925546,5.566071703,5.994917135,5.04036308,5.1786743536,5.2066231352,5.2364890124,5.2627584758,5.287973916,5.31776389,5.3523076182,5.413052367,5.5337585988,5.994917135,5.04036308,5.1933163033,5.2363861482,5.2715781507,5.2982055738,5.32367293,5.3511119722,5.3860117543,5.4471285818,5.5225008461,5.994917135
5.355594409,5.389002805,5.4252441806,5.4514133618,5.4538897702,5.497718057,5.6101106596,5.6230112496,5.6365228086,5.6954569206,5.716443276,5.299622725,5.3502185038,5.3866467088,5.4477834697,5.5037067824,5.5661684665,5.6177415882,5.6350465028,5.666652359,5.7078236344,5.759960724,5.264318188,5.3518832352,5.4383648746,5.4992488769,5.5358711072,5.570411424,5.6092863744,5.6381715764,5.6709186206,5.7012213409,5.788538221,5.23519812,5.3493913575,5.40961861,5.473972744,5.523288854,5.5517858265,5.584439242,5.622021694,5.656642899,5.69666352,5.873443701,5.233670443,5.328891891,5.371341973,5.423543743,5.485047301,5.5261871485,5.561775394,5.6051395015,5.645947922,5.689322412,5.975953063
