"b1t0","b1t0.1","b1t0.2","b1t0.3","b1t0.4","b1t0.5","b1t0.6","b1t0.7","b1t0.8","b1t0.9","b1t1","b3t0","b3t0.1","b3t0.2","b3t0.3","b3t0.4","b3t0.5","b3t0.6","b3t0.7","b3t0.8","b3t0.9","b3t1","b5t0","b5t0.1","b5t0.2","b5t0.3","b5t0.4","b5t0.5","b5t0.6","b5t0.7","b5t0.8","b5t0.9","b5t1","b7t0","b7t0.1","b7t0.2","b7t0.3","b7t0.4","b7t0.5","b7t0.6","b7t0.7","b7t0.8","b7t0.9","b7t1","b9t0","b9t0.1","b9t0.2","b9t0.3","b9t0.4","b9t0.5","b9t0.6","b9t0.7","b9t0.8","b9t0.9","b9t1"
5.59258594,5.6665746461,5.6913534466,5.828192262,6.1071020626,6.1734915475,6.2057899372,6.4504861397,6.6410234958,6.6804105097,6.71807931,3.393388757,4.1695155358,4.7043287796,5.1922314394,5.6792971748,6.1644286,6.6424516742,7.139885928,7.6341250078,8.1706711546,8.849086531,1.332457157,2.7468986296,3.7362429958,4.6430622526,5.4397435896,6.207424314,7.0079210074,7.7386094168,8.6195471738,9.5720241849,10.90869963,0.033772989,1.4707959623,2.8188312456,4.0442262915,5.1805383086,6.296526626,7.39039834,8.5228454346,9.6853571802,11.028944498,12.96892913,0.017590108,1.0213358488,2.1162652284,3.5302327639,4.9616689114,6.346658053,7.7674523154,9.1874574575,10.722772154,12.403175508,14.93004254
1.366888724,1.4776966494,1.8556865482,1.8774338164,1.9425039988,2.348108917,2.3698561856,2.407519898,2.696449139,2.8804012782,2.932517403,0.083565616,0.3705126348,0.8563436312,1.3673321702,1.866317486,2.363065604,2.850381201,3.325458975,3.8316803636,4.362722221,5.117744215,0.017590108,0.4265469948,0.876081335,1.3422424628,1.8292055988,2.366231641,3.0749951456,3.9105218238,4.8294612346,5.8465476242,7.176844594,0.009457746,0.5685129248,1.1551741482,1.7424713224,2.3395063086,2.967956304,3.6726484278,4.4662515692,5.7117735356,7.0804343282,9.113014635,0.001038914,0.712859948,1.419358112,2.163446543,2.904028667,3.692447768,4.525872144,5.435982022,6.548800663,8.383398758,11.17420369
0.849177276,1.080581564,1.269210002,1.414048639,1.631140027,1.707555607,1.824769054,2.046198584,2.148934209,2.375340612,2.608900296,0.083565616,0.2958598578,0.630087249,0.8527852738,1.2100544324,1.693996175,2.1763971526,2.6657486624,3.1704395402,3.7320310162,4.647291501,0.017590108,0.4122122088,0.8491607292,1.3146952734,1.7186912146,2.208675792,2.7486453088,3.3681857732,4.2024797276,5.171797298,6.664100059,0.017590108,0.6036856416,1.1682894328,1.7590066324,2.3494431238,2.9687233,3.66866492,4.3704307206,5.27584662,6.6383478544,8.680908616,0.001038914,0.7207260328,1.4717364648,2.2140823142,2.9609008296,3.78545513,4.6134276526,5.5002190072,6.5332004168,8.0374969179,10.67075385
5.364260391,5.3908478415,5.4533361812,5.8080945907,5.8675563946,5.8952431085,5.9606682808,6.3654155804,6.3916764084,6.448789391,6.88139749,3.296127193,3.920411592,4.416402542,4.913206262,5.39708535,5.882054573,6.364034409,6.863274767,7.362946225,7.880740407,8.522687155,1.234830545,2.5365497984,3.4585825092,4.362722221,5.1012127648,5.894804251,6.6288393172,7.4387775332,8.352323845,9.3166588922,10.58073668,0.033772989,1.1151753768,2.4066618286,3.5552726817,4.652328512,5.7588498525,6.8559947894,7.9603339494,9.1768969516,10.566663407,12.63992805,0.007141372,0.8688322454,1.7728619276,2.8389082984,4.215442811,5.587910699,7.0279492628,8.481086536,10.058918644,11.902512004,14.69978141
17.00608083,17.097193209,17.363158842,17.561026741,17.664860012,17.86913786,18.049842124,18.148149201,18.336034776,18.539256848,18.63232268,14.96298743,15.897361914,16.44811642,16.960578284,17.437180136,17.91438092,18.38037139,18.899291964,19.413634068,19.930635922,20.68765914,12.97501659,14.50470283,15.43606669,16.266184786,17.065379238,17.8322674,18.625676384,19.429816956,20.282401842,21.349687472,22.74412085,10.93321833,13.020816634,14.308381032,15.448212106,16.570369282,17.64634465,18.776675088,19.924233418,21.172435396,22.602326056,24.80142789,8.944010602,11.555110908,13.20826738,14.689057154,16.149494928,17.54166121,18.95823906,20.4444466,22.054107764,23.87893559,26.77033363
20.11388578,20.213808042,20.389403706,20.581349604,20.671793896,20.77871737,20.925691656,21.13403112,21.233884224,21.349687472,21.67369856,17.99935426,18.83904903,19.415158596,19.909379078,20.372506666,20.77871737,21.199901824,21.708471564,22.218190128,22.921383706,23.72899074,15.95810019,17.38438527,18.29164809,19.1556742,19.94344093,20.72689459,21.4811962,22.29951714,23.21546302,24.1943354,25.70223607,13.92282906,15.907519008,17.240018742,18.393014088,19.493663048,20.595690585,21.67056576,22.841046217,24.061448538,25.504574886,27.75645387,11.92917565,14.473913352,16.142457614,17.635110509,19.06150178,20.482369895,21.90195986,23.360012029,24.966028478,26.766418948,29.73147606
24.07588578,24.167242452,24.431957186,24.631912858,24.732346194,24.93484978,25.120474662,25.21699615,25.401793,25.609480031,25.70223607,22.0302629,22.789133912,23.427611486,23.925854052,24.377460412,24.80142789,25.26911023,25.771420686,26.368302826,26.984993574,27.75645387,19.98791363,21.441220687,22.287107656,23.154621799,23.956888712,24.727418205,25.528417282,26.330879182,27.20629045,28.242491547,29.81168435,17.99935426,19.978135535,21.262134184,22.438626437,23.529670254,24.607830365,25.713023054,26.869444491,28.114543748,29.522101918,31.64213568,15.95810019,18.475492594,20.155652904,21.656307696,23.107694184,24.497521355,25.908303714,27.391869424,29.01467401,30.447005363,31.79902813
2.008465714,2.1768639198,2.4871020808,2.5491203193,2.6725172688,2.9800503485,3.0420685874,3.1347761809,3.4729986162,3.5350168549,3.597035093,0.017590108,0.8794501666,1.4344166728,1.9416768418,2.4012306736,2.860784505,3.3203383364,3.8275985058,4.3348586742,4.9375315184,5.635617037,0.017590108,0.4726131204,0.9288768378,1.4767440276,2.0847958542,2.884025823,3.6638239658,4.4427636156,5.3328545904,6.2573724152,7.67419898,0.001038914,0.611974297,1.2012242586,1.8197789717,2.4487522306,3.166661311,3.9588702906,5.0865325345,6.3146200204,7.6136383838,9.712780923,0.001038914,0.7410343908,1.4832710828,2.2516405412,3.0139244138,3.858398394,4.723972157,5.7577136792,7.2787893018,9.0091876644,11.75136287
9.474249236,9.6426474418,9.9528856028,10.0149038458,10.138300788,10.44583387,10.507852112,10.600559699,10.938782136,11.000800378,11.06281862,7.435667293,8.2150184086,8.8563267578,9.3883778286,9.8206248128,10.25820616,10.775007596,11.244102702,11.757135012,12.343821534,13.10140056,5.444791687,6.896159952,7.8776342866,8.7253071258,9.4784590838,10.33773256,11.04584105,11.896429154,12.758309578,13.71145711,15.1399825,3.453916081,5.4914309938,6.879360293,8.0456024875,9.1959794868,10.28577605,11.397810758,12.529125697,13.726640038,15.068156403,17.17856445,1.463040475,4.1466321179,5.8468854648,7.3604764558,8.7795245822,10.210916665,11.571813644,13.035705003,14.635149226,16.42149267,19.21714639
6.487935827,6.5451834324,6.7251884576,6.9665721938,7.0238197986,7.081067404,7.4452085604,7.5024561652,7.5597037702,7.9006312866,8.028798869,4.401647547,5.1522100364,5.7119471762,6.2196285718,6.7042255732,7.176662336,7.651548027,8.1258976739,8.623655075,9.2007501206,10.06738081,2.363065604,3.7592366408,4.6788841724,5.4973885882,6.3560887108,7.06616265,7.8924078042,8.7078018526,9.5314968414,10.546017178,12.10596276,0.372189998,2.3570829292,3.6930542406,4.8870491834,5.9992664528,7.128773741,8.2217487542,9.3650729594,10.55987643,11.920752706,14.09683836,0.001038914,1.1769352552,2.6408412394,4.1770907156,5.624459126,7.052038236,8.4433426036,9.921445483,11.467934688,13.246543142,16.08771397
4.864186231,4.9357457375,5.314198795,5.3857583015,5.457317808,5.658470921,5.859624034,5.9311835405,6.002743047,6.3811961045,6.452755611,2.825604288,3.5857080455,4.164852673,4.680401858,5.155931374,5.649806941,6.145862059,6.643065193,7.141299862,7.727677028,8.491337554,0.787022345,2.1914318449,3.1680838432,4.0084182676,4.8631154302,5.649806941,6.4484923642,7.2885849403,8.1321955522,9.1095130636,10.5299195,0.001038914,0.9916680286,2.2253712156,3.4421933928,4.5960022506,5.682932183,6.784021286,7.898926239,9.1250178936,10.460955008,12.56850144,0.001038914,0.8838875045,1.826289047,2.8739949795,4.20269279,5.6242899885,7.031361002,8.4982063085,10.05049307,11.82331551,14.55937705
0.113002783,0.3465510484,0.4037986532,0.4610462582,0.7256436346,0.834728682,0.8919762874,0.9492238922,1.1906076284,1.3706126536,1.427860259,0.017590108,0.2445020438,0.4942008798,0.7260433484,1.0059918678,1.237034909,1.5609583742,1.8492490202,2.2125617356,2.8160630206,3.514148539,0.001038914,0.3887453872,0.8139403508,1.2088637094,1.6226415702,2.041435571,2.4844146826,2.9710583968,3.506632867,4.2068238956,5.552730482,0.001038914,0.5628425014,1.1134510344,1.6669880628,2.256327417,2.820373246,3.4564213052,4.1445242164,4.8636508306,5.7281247732,7.591312426,0.001038914,0.7131907772,1.3830293696,2.1465928905,2.8629023196,3.645076029,4.4048871606,5.2828505196,6.2151752784,7.2948843643,9.582188032
14.68996994,14.858368146,15.168606304,15.230624546,15.354021488,15.66155457,15.723572812,15.816280408,16.154502836,16.216521078,16.27853932,12.65138799,13.508477423,14.058673288,14.561162829,15.063652362,15.551652255,16.020925094,16.488650789,17.025904164,17.623806376,18.31712126,10.61280605,12.071309744,13.051609516,13.94372443,14.695856822,15.49458239,16.2471326,17.081093954,17.966012388,18.952237136,20.3557032,8.621930445,10.68501966,12.05024561,13.246880404,14.370081258,15.456874955,16.562668682,17.728469214,18.916777262,20.263551212,22.39428515,6.583348502,9.3355573497,11.05074715,12.584599244,14.012010148,15.42481699,16.869117816,18.3174195,19.869913286,21.63163461,24.38516075
18.73397168,18.957322814,19.039123912,19.231757982,19.425404416,19.54859904,19.729544284,20.006658386,20.101187284,20.227330586,20.51009112,16.70243211,17.441968325,18.00316666,18.50527571,18.9893918,19.420059585,19.85072737,20.351373065,20.87240787,21.618431615,22.54163069,14.67089254,15.97291696,16.887753168,17.676990193,18.490982768,19.27120049,20.060744716,20.926701571,21.585420302,22.226261947,23.4229046,12.69280128,14.467929458,15.77745879,16.930758762,18.046222038,19.10586303,19.91638592,20.644359526,21.337024104,22.268320118,24.11144885,10.66126171,12.971570861,14.641212344,16.148551995,17.46664585,18.472762625,19.39811447,20.231649423,21.11955737,22.233749283,24.149445
20.30799687,20.365244468,20.545249496,20.786633234,20.843880834,20.90112844,21.265269598,21.322517206,21.379764808,21.720692324,21.84885991,18.22170859,18.984079868,19.583880242,20.085704528,20.589416684,21.07174529,21.551613464,22.009101566,22.465321646,23.0412037,23.88744185,16.18312664,17.615441608,18.559485838,19.373810616,20.19741974,20.93591468,21.759194302,22.60837388,23.433226952,24.425414535,25.92602379,14.19225104,16.206635715,17.54317319,18.743578975,19.90569064,20.989204235,22.08528257,23.193815885,24.43286709,25.784093645,27.9168994,12.15366909,14.80205608,16.50974866,18.058447135,19.52786982,20.978489865,22.37414265,23.844215025,25.39412692,27.16728146,29.95548134
25.33289222,25.787675414,25.840152388,25.984697427,26.251999882,26.30447685,26.356953824,26.409430798,26.707422612,26.821278287,26.87375526,23.34201661,24.294518714,24.844714586,25.347204122,25.801987316,26.256770515,26.711553714,27.173955489,27.673469586,28.266728656,28.96007288,21.30343467,22.872921514,23.799294368,24.689615534,25.448492338,26.27766691,27.08075399,27.847720516,28.739128914,29.682615376,31.00058012,19.31255906,21.50494144,22.852547814,24.044974884,25.138650286,26.21073716,27.325456384,28.440218991,29.661433464,30.863402377,31.79902813,17.32168346,20.064524856,21.78494457,23.312054302,24.746727552,26.16725904,27.574886678,28.873182104,29.767211442,30.722768064,31.79902813
0.001038914,0.053267174,0.06725994,0.389468837,0.443774925,0.498081013,0.56279929,0.629438255,0.940817024,0.995123112,1.058338641,0.001038914,0.2385877996,0.4375767194,0.7173735912,0.8939725018,1.210269635,1.4121970968,1.7279230348,2.0100986144,2.4428045394,3.173773972,0.001038914,0.3914929949,0.7737527062,1.1805772366,1.5665024318,1.9780644485,2.4038768972,2.865213839,3.3686744748,3.9732711436,5.218786121,0.001038914,0.5543310124,1.0765520334,1.6516707308,2.201144428,2.766067158,3.37144467,4.0196324462,4.732686971,5.5616528304,7.257368064,0.001038914,0.7076272238,1.381513567,2.128926372,2.84324247,3.5967357685,4.3659379708,5.2167205682,6.0835262046,7.1472571972,9.295950007
6.441390581,6.8843551904,6.9635855176,7.0411251484,7.3076386332,7.432469282,7.5119275474,7.6840067714,7.9028891018,7.9813198042,8.060246848,4.459233179,5.4436479835,5.999162403,6.5507932495,6.9769133104,7.4002384555,7.8364747172,8.3293495088,8.8222970624,9.4212905805,10.10272133,2.744716303,4.1034464246,5.029841081,5.8922086338,6.6785554868,7.48337363,8.2319982,9.0354881084,9.8686857772,10.814316504,12.14519582,0.706134359,2.7009573362,4.0578952124,5.2768883835,6.3880980454,7.4895198985,8.5884832448,9.7069342542,10.87749055,12.199689253,14.1876703,0.001038914,1.3586826086,3.1417587126,4.7372476106,6.1809016164,7.563204749,8.9785585562,10.418792486,11.921582458,13.6170261,16.23014479
9.855899935,9.9301676502,10.0167883756,10.322601352,10.419300574,10.50566383,10.788866854,10.908837913,10.994539288,11.289547412,11.46342305,7.817317992,8.5732566496,9.1412207868,9.6545547123,10.123475204,10.60628474,11.021194876,11.470086947,11.985617988,12.567787992,13.44558045,5.778736049,7.1749453503,8.1164846576,8.9792891239,9.7844359374,10.55204151,11.335045936,12.133425902,12.998435926,13.905603043,15.42983281,3.740154106,5.7420327593,7.1221297386,8.3200590119,9.4770558012,10.56752113,11.653423106,12.801961429,14.006492154,15.375130047,17.47655249,1.701572162,4.3962155478,6.1809719462,7.77608368,9.2199744236,10.59976343,12.033725642,13.45391645,14.997258286,16.708650344,19.46087979
16.95785223,17.175858543,17.334455446,17.597018808,17.700369,17.845911955,18.034213566,18.14290859,18.297959064,18.471408324,18.73397168,14.92631266,15.798337892,16.319867804,16.787949406,17.207048632,17.67769307,18.174886846,18.650846846,19.18059584,19.831712332,20.76551125,12.94822141,14.282983403,15.192690902,16.04026135,16.818981136,17.6160472,18.377009734,19.192545763,20.053192928,21.088135908,22.79705082,10.91668184,12.808095125,14.081046702,15.231662621,16.36861886,17.45948513,18.552462532,19.704632426,20.724560254,21.669943501,23.4229046,8.885142266,11.37595508,13.027053002,14.523721668,15.948946974,17.33947994,18.638874178,19.637775425,20.580182468,21.733439945,24.149445
2.477075777,2.5547694964,2.780699201,2.9659512315,3.0463809866,3.2456706855,3.4548266852,3.5379924768,3.7375983052,4.0098309256,4.083910055,0.361640446,1.1776859828,1.740885147,2.249329905,2.7513077338,3.242435204,3.713349721,4.192051118,4.6987698458,5.2649752946,6.126384539,0.001038914,0.53758048,1.0597760058,1.6523381889,2.4621977778,3.2335713545,4.0244995994,4.8058760088,5.6546995718,6.6637293602,8.114552936,0.001038914,0.6584773647,1.303189111,1.9479983371,2.6857447592,3.4138616395,4.442546746,5.544640584,6.730924554,8.0279784002,10.15702742,0.001038914,0.7842852698,1.6003651478,2.378308947,3.239163775,4.110616736,5.0838132978,6.3416641298,7.79781104,9.4763541599,12.14519582
19.91943848,20.06835946,20.32736922,20.458105845,20.60932205,20.773402095,20.90403602,21.0461042,21.21082308,21.44112042,21.58572086,17.86277697,18.741685178,19.35363334,19.876188542,20.385854676,20.7497863,21.115594836,21.344615312,21.726343138,22.106955832,22.99902263,15.89597451,17.481055122,18.468245894,19.096112553,19.635550266,20.1129986,20.562276748,21.009853288,21.503572682,22.171069357,23.38084995,13.83757063,16.216880249,17.349958972,18.094245091,18.806812424,19.42938696,20.033673008,20.611166966,21.281116696,22.19244046,24.11144885,11.87770945,14.838253836,16.05667078,17.04069825,17.917945104,18.67349167,19.44835796,20.159502562,20.984934318,22.088365156,24.149445
6.851016127,6.9107528228,7.0264530692,7.3100439644,7.3697806608,7.429517357,7.4892540538,7.7448631742,7.8885451954,7.9482818913,8.396448512,4.754235555,5.4132870408,5.9438216688,6.4300025502,6.8618773444,7.293752138,7.7470572246,8.230006097,8.7512224144,9.3470878396,10.05049307,2.71176107,3.9151744335,4.816479894,5.623493365,6.396210757,7.1681817885,7.916369289,8.775249995,9.615785528,10.607338815,12.09417611,0.669286586,2.4284852176,3.7098020984,4.8209464796,5.9088934296,6.998180849,8.0843207998,9.198496469,10.45521652,11.881939922,14.14227865,0.001038914,1.0550424603,2.5547217456,4.0186197858,5.434679181,6.849505846,8.2580900582,9.7438970183,11.31947196,13.150495239,16.19107501
2.820373246,2.8855405506,3.0843573906,3.3499989972,3.4151663024,3.480333608,3.8253186616,3.8904859668,3.9556532718,4.2881196462,4.420111718,0.777898761,1.567205784,2.1693258382,2.6983504908,3.160446179,3.602674358,4.0451961528,4.5002756914,5.0638818426,5.640279781,6.462586203,0.001038914,0.5540562781,1.1621826302,1.9210807575,2.737366722,3.4581647555,4.2905675334,5.0786641668,5.9222703368,6.9795080731,8.505060687,0.001038914,0.6105388436,1.2180147338,1.83199263,2.53265941,3.3390676535,4.4535263476,5.5890427514,6.8541863524,8.2967094436,10.54753517,0.001038914,0.7330266744,1.4723423196,2.2317714382,3.0091619346,3.831275097,4.7757711692,6.0522968396,7.6664528574,9.5132796086,12.53570357
