"b1t0","b1t0.1","b1t0.2","b1t0.3","b1t0.4","b1t0.5","b1t0.6","b1t0.7","b1t0.8","b1t0.9","b1t1","b3t0","b3t0.1","b3t0.2","b3t0.3","b3t0.4","b3t0.5","b3t0.6","b3t0.7","b3t0.8","b3t0.9","b3t1","b5t0","b5t0.1","b5t0.2","b5t0.3","b5t0.4","b5t0.5","b5t0.6","b5t0.7","b5t0.8","b5t0.9","b5t1","b7t0","b7t0.1","b7t0.2","b7t0.3","b7t0.4","b7t0.5","b7t0.6","b7t0.7","b7t0.8","b7t0.9","b7t1","b9t0","b9t0.1","b9t0.2","b9t0.3","b9t0.4","b9t0.5","b9t0.6","b9t0.7","b9t0.8","b9t0.9","b9t1"
0.436785197,0.4724765238,0.4756628896,0.4902735305,0.5627689426,0.6345654465,0.7649099876,0.8901261632,1.0504292408,1.3813225721,1.659921592,0.372884083,0.4037157048,0.4444553694,0.5720458318,0.736122079,0.948450338,1.2297921062,1.6204548918,2.120035353,2.7160187144,3.581472557,0.07053917,0.3039862979,0.4032894462,0.5540937973,0.780184451,1.019181486,1.3392476462,1.7214089973,2.3399659078,2.9915271492,5.672764591,0.032828381,0.1908145663,0.3190914446,0.5007961179,0.7521612106,1.0196967545,1.3415615192,1.7483582872,2.3054219162,3.04611721,5.672764591,0.030404479,0.100448576,0.2649403414,0.4511883909,0.7185164758,0.963542745,1.2856685406,1.680736292,2.150145513,2.9436723837,8.322933528
0.037208681,0.0501957238,0.0640763694,0.0967597176,0.3220695772,0.534347526,0.8596083024,1.106919828,1.1916819654,1.266647861,1.575499897,0.037208681,0.0649415102,0.0798866362,0.1182453052,0.162880495,0.3750251,0.539922913,0.7601714956,0.975052453400001,1.280244549,2.392549198,0.037208681,0.0722799136,0.0962753768,0.1386606276,0.2272316858,0.319422258,0.5550244538,0.7954085954,1.03225794,1.5083218668,3.975597389,0.021740275,0.065592943,0.090739779,0.1377392616,0.2307002608,0.362476459,0.5395141482,0.7933663234,1.0380721908,1.6294979798,4.419033915,0.018215723,0.069747171,0.098423443,0.146861871,0.241452714,0.350901484,0.499134285,0.743481378,1.069351729,1.836607747,4.505727361
0.125386667,0.1615306555,0.207796165,0.25022355,0.271930842,0.2823385965,0.308243086,0.3604941125,0.450635349,0.6829982405,0.91948588,0.043611532,0.0646550096,0.0767856282,0.0973657144,0.1761770344,0.233502243,0.2939456714,0.373603207,0.4498985482,0.826191597400001,1.924408816,0.030489103,0.0653233466,0.0829866492,0.116433664,0.20964749,0.286625064,0.3954598512,0.5610903314,0.948555931999999,1.8145903194,3.55135658,0.030404479,0.0725243072,0.1071841008,0.2037154482,0.3080704916,0.442850563,0.6846876038,0.9067788002,1.3289873648,1.977554473,4.505727361,0.021740275,0.077503554,0.1455661036,0.2667627408,0.4105131608,0.6310974055,0.8963117676,1.2385065411,1.745651187,2.5334510273,5.672764591
0.198285236,0.2423772804,0.2952718612,0.3777857776,0.43296382,0.5198625375,0.894345071,0.9774395807,1.010373639,1.0623596022,1.14195726,0.137877984,0.221461214,0.298176803,0.41423241,0.496634774,0.667575639,0.724033002,0.855647385,1.029626543,1.321501771,2.64771653,0.018215723,0.0938531908,0.147410427,0.237680139,0.4007353786,0.556347983,0.7229177392,0.869546299,1.090066113,1.5716106496,3.975597389,0.018215723,0.0675586938,0.0990349584,0.1420331212,0.228400891,0.393985014,0.5621422472,0.7839981354,1.0333385944,1.5939605418,4.419033915,0.018215723,0.0696861866,0.1004115098,0.1615299566,0.2296819592,0.349181334,0.513947633,0.7491923706,0.9957531362,1.5087027456,4.419033915
0.124225344,0.216136139,0.3273802656,0.4300044237,0.4812169124,0.6194167785,0.7905350206,0.865164537,0.9361827228,1.0192083488,1.033416999,0.110322958,0.1571422766,0.2462045164,0.437948747,0.5715062962,0.817739028,0.9755477452,1.1833741258,1.4477373488,1.8729853806,7.987881317,0.106227377,0.1630629844,0.2799789562,0.4369253664,0.5958464704,0.8151823,0.99531099,1.2827993936,1.7058642484,4.2284247774,13.8908291,0.07337234,0.1630629844,0.2180051694,0.3654780208,0.5077997784,0.725175907,0.9630284768,1.2757149926,1.854986853,4.1596975358,13.8908291,0.029336851,0.134690986,0.196755644,0.2875584742,0.416474199,0.565583218,0.8095368442,1.0845207358,1.6667744918,3.8779682214,13.8908291
0.124401857,0.1550591572,0.186217308,0.2790093282,0.3955407818,0.448323699,0.4816191464,0.6100972928,0.866417726,1.0142324948,1.123895755,0.106227377,0.1326356644,0.1563210022,0.1689142708,0.1973490264,0.24567693,0.3749462494,0.4955302302,0.6463644274,0.868793246,1.257077703,0.060696632,0.134691824,0.162133696,0.196435288,0.246336413,0.381849156,0.54858345,0.757683611,1.024651571,1.486006591,13.59972065,0.059283665,0.1372697343,0.180420321,0.2458322871,0.3699857918,0.505785404,0.7001322882,0.9432662567,1.3747992632,2.8556128685,13.8908291,0.041744051,0.130383743,0.1937730204,0.276061759,0.3882754518,0.5269731725,0.729779017800001,0.9774327979,1.3981854562,3.2046232503,13.8908291
0.177596487,0.1941277848,0.1980640618,0.2071319867,0.2438220482,0.360091263,0.4633516322,0.8209266397,0.9805693056,1.2191705757,1.559858898,0.075433916,0.1460312774,0.1772161356,0.1995695786,0.2499373726,0.369056,0.4667578002,0.5649541202,0.6818540322,0.8289922422,1.559858898,0.060696632,0.1115142793,0.1390819108,0.1629335143,0.1882289762,0.222858258,0.2938615222,0.4096166188,0.4957519362,0.6966603113,1.559858898,0.038224044,0.0967009837,0.1242529928,0.1565000258,0.1928164938,0.2329704865,0.3159429302,0.4548354421,0.5748441866,0.8139394618,1.559858898,0.034626735,0.0954644686,0.1260301982,0.1685484845,0.2182444868,0.298205787,0.4659537726,0.6666091405,0.899206128,1.5312958055,13.8908291
0.757672098,0.9712186952,1.2318632876,1.437079749,1.515190236,1.606364711,1.7557948924,1.8507438289,2.4842472444,2.6334250915,2.706958716,0.044076184,0.0759224132,0.1124683698,0.4900000916,0.7881663848,1.034010288,1.315921955,1.7273198402,2.0746271586,2.7000157976,4.419033915,0.030489103,0.0621776284,0.0759027752,0.096932469,0.1392510042,0.432924343,0.729945864,1.152909622,1.6609316852,2.5402809182,4.419033915,0.018215723,0.0665443551,0.0901667258,0.117086342,0.1643535246,0.2269329685,0.4266053374,0.7572567432,1.0997715576,1.8050382628,4.419033915,0.018215723,0.0734024558,0.104706767,0.1470103686,0.2011328698,0.278668933,0.4466745488,0.7605216328,1.0853946962,1.7663778926,4.505727361
0.029336851,0.0628295372,0.0951031278,0.099146751,0.11650524,0.185568966,0.208287624,0.2454636021,0.267678912,0.2849279225,0.434654598,0.018215723,0.053587659,0.0929972016,0.1328029228,0.1685807672,0.265272509,0.4042496372,0.5243972854,0.7431591262,0.9690274214,1.292814378,0.018215723,0.0874168476,0.1293044842,0.2101789856,0.3992408736,0.620752869,0.867457287000001,1.0648039232,1.3749449524,2.7785334426,8.277214844,0.018215723,0.1044310714,0.1914897244,0.2940590455,0.4530592564,0.7271111365,0.97374452,1.3048796265,2.2884012578,4.250609981,11.92087586,0.018215723,0.1307029032,0.2124309646,0.3408015852,0.5386668866,0.7836552315,1.0286315486,1.3406057267,2.033856033,3.9007824249,13.8908291
0.044119588,0.069759975,0.082404333,0.117620118,0.1617831956,0.229109477,0.2490814252,0.3944285496,0.7230334764,1.0085682144,2.240683331,0.018215723,0.053545288,0.0822005286,0.0970559898,0.116990426,0.168133018,0.411972619200001,0.8706203451,1.3617912694,2.3020822357,3.975597389,0.018215723,0.0886723504,0.1265709466,0.1782474242,0.2798029282,0.443444026,0.7166609028,0.9104329736,1.2447068702,2.0561895582,4.419033915,0.018215723,0.0853959434,0.1376005392,0.2121501976,0.3426870918,0.553224452,0.7959145456,1.0422186048,1.4063742834,2.344954397,6.932448604,0.018215723,0.0784016124,0.117688708,0.1824666578,0.2786932006,0.473074017,0.7424665062,1.0228490448,1.4640054612,2.7849604656,9.877427497
