"b1t0","b1t0.1","b1t0.2","b1t0.3","b1t0.4","b1t0.5","b1t0.6","b1t0.7","b1t0.8","b1t0.9","b1t1","b3t0","b3t0.1","b3t0.2","b3t0.3","b3t0.4","b3t0.5","b3t0.6","b3t0.7","b3t0.8","b3t0.9","b3t1","b5t0","b5t0.1","b5t0.2","b5t0.3","b5t0.4","b5t0.5","b5t0.6","b5t0.7","b5t0.8","b5t0.9","b5t1","b7t0","b7t0.1","b7t0.2","b7t0.3","b7t0.4","b7t0.5","b7t0.6","b7t0.7","b7t0.8","b7t0.9","b7t1","b9t0","b9t0.1","b9t0.2","b9t0.3","b9t0.4","b9t0.5","b9t0.6","b9t0.7","b9t0.8","b9t0.9","b9t1"
0.776160314,0.7787463461,0.7804109536,0.7847780649,0.7873695458,0.7918023865,0.7938947106,0.794815833,0.795959369,0.8020583002,0.804195743,0.685646947,0.7255128068,0.7384953834,0.7554779348,0.7609587562,0.768851323,0.7737407178,0.7787373644,0.7862935768,0.796730029,0.824555153,0.679564578,0.7181768878,0.7340695564,0.7463408267,0.7589096512,0.7689097615,0.7760159274,0.7854172212,0.7970210266,0.8151790512,0.899225249,0.679564578,0.7214458733,0.7367342112,0.7494121069,0.7587380712,0.767368187,0.774823118,0.7851997999,0.7968075198,0.8155984216,0.908465229,0.668651877,0.7217413036,0.7356219266,0.7456297806,0.7537425306,0.7619607945,0.769822296,0.7795348411,0.792415747,0.8097744169,0.908465229
0.751261249,0.753659483,0.7580457454,0.7604303686,0.7618102958,0.763287922,0.7635678652,0.7639284872,0.7666149344,0.7733731172,0.776897961,0.709099964,0.7444043844,0.7523912576,0.757541992,0.7612661006,0.764089444,0.7739863304,0.7806070112,0.792657324,0.801618626,0.815258883,0.69903365,0.7410197098,0.752197758,0.758491001,0.7633237404,0.76926023,0.7787949078,0.7836304406,0.7915125686,0.8004239676,0.830330454,0.676028131,0.7372103672,0.7491637426,0.7585886982,0.766040134,0.774767863,0.7813834188,0.7902570352,0.7995844048,0.814316686,0.920245399,0.66569676,0.733228091,0.74583896,0.7554638,0.763268949,0.771254058,0.779593475,0.789306378,0.79827196,0.814958327,0.920245399
0.760828028,0.766027353,0.768086254,0.7721396965,0.778449375,0.7803914525,0.784103178,0.7882147395,0.795330279,0.8002650875,0.814840987,0.739523458,0.7509301492,0.7567077752,0.7608425718,0.7658074774,0.770429226,0.7753620682,0.7809015886,0.7910086664,0.8000068068,0.836600324,0.692203858,0.7462457072,0.7528350146,0.7598409708,0.76414459,0.771396147,0.7789437956,0.785718071,0.7968075198,0.8151850172,0.850716948,0.680762509,0.7350487844,0.7470180676,0.7561624674,0.7632727436,0.770823201,0.779212982,0.788034365,0.797757272,0.8136285458,0.872273622,0.679564578,0.7305446797,0.7407049384,0.751816805,0.7610229044,0.7688511805,0.7778966858,0.786363706,0.7962924098,0.8119048722,0.899225249
0.759466501,0.7706099643,0.774061728,0.7789620606,0.7815115358,0.78325353,0.7842554682,0.785470987,0.7869743976,0.7894196547,0.790849442,0.69903365,0.739966414,0.760596622,0.773760084,0.781152481,0.786582247,0.789891495,0.795642312,0.805310236,0.814958327,0.871170119,0.696677,0.7371725454,0.7520997448,0.7620969222,0.7706088772,0.779593475,0.7879908868,0.7940532058,0.802550992,0.8171615188,0.920245399,0.66569676,0.7288330824,0.7444215486,0.755640358,0.7633547066,0.7718914285,0.77976886,0.7888965591,0.7975891268,0.8100085482,0.920245399,0.66569676,0.73017701,0.746081451,0.755494228,0.7631460264,0.770610268,0.7794032668,0.7870768906,0.7963353842,0.8094360326,0.920245399
0.715487367,0.7173042288,0.7233569694,0.7296452754,0.7368590088,0.752480154,0.7575901144,0.7804024835,0.7850793862,0.7930970443,0.800912468,0.675776288,0.7179366726,0.7269280158,0.7345270556,0.7411617338,0.745647289,0.7516334558,0.7588179756,0.7694854714,0.7822077094,0.819381623,0.610415838,0.6937635628,0.7197069514,0.732048182,0.7399711102,0.746846267,0.756070358,0.7658044182,0.7795343182,0.7977625286,0.92614988,0.610415838,0.6889973918,0.7172331182,0.7306260752,0.7409616466,0.751182689,0.7608226252,0.7736183016,0.7868356446,0.8080156628,1.035506161,0.610415838,0.689907925,0.7190517178,0.7342325762,0.7458509724,0.756238958,0.7674622758,0.7795087158,0.7912566774,0.8064312534,1.035506161
0.629458702,0.6598930378,0.6776761254,0.6857725536,0.7032770744,0.717865695,0.7237993898,0.7246404874,0.7348123042,0.7409694762,0.7465749,0.610415838,0.6865090056,0.7158393698,0.7292650682,0.7352694568,0.741477769,0.7468656624,0.7547556856,0.7654690006,0.7797232486,0.802153379,0.610415838,0.701607823,0.722474784,0.731777832,0.737870166,0.74520445,0.754209292,0.764644105,0.778044577,0.789055942,0.889942378,0.610415838,0.6960645323,0.7188022946,0.7324384965,0.7412202014,0.752398393,0.762862758,0.7781749733,0.7900534978,0.8079743839,0.92614988,0.610415838,0.6930017779,0.7176432718,0.7332181005,0.7456286128,0.7565854645,0.770049267,0.7835394101,0.7948341152,0.8120097778,1.035506161
0.710661136,0.7248564121,0.7484608794,0.756466292,0.760891403,0.7741973165,0.7827483604,0.7960148981,0.8011413882,0.8030537576,0.811523881,0.632840193,0.707586592,0.7280288862,0.7390947032,0.7521012922,0.759090764,0.7788385682,0.788987016,0.8027266036,0.8174611388,0.843861814,0.610415838,0.7175711987,0.734774074,0.7452795428,0.7562757188,0.76665713,0.7796513008,0.7890898534,0.8016692456,0.8150462719,0.843861814,0.610415838,0.7160095042,0.7325820004,0.7431633925,0.7535575628,0.7622756385,0.773905633,0.7843266171,0.7939055932,0.8065738304,0.843861814,0.610415838,0.7029968106,0.722489226,0.7344212572,0.7454854524,0.7544044255,0.763877326,0.7756035757,0.7875160038,0.8023312726,0.889942378
0.741549089,0.7524147531,0.7555145716,0.7565311503,0.7619134904,0.766463101,0.7697761404,0.7727596851,0.779376698,0.7863925071,0.806431822,0.722276646,0.7378758636,0.7517667662,0.759388936,0.7651801786,0.77225528,0.779645122,0.7870442048,0.7953561474,0.8029883342,0.82965265,0.699803702,0.7380181178,0.7476179134,0.754585229,0.7620076222,0.769030295,0.7785074108,0.7870383146,0.796545302,0.8068148134,0.920245399,0.69903365,0.7392849211,0.7498393014,0.7591066486,0.7645127112,0.7734359495,0.7809309956,0.7904663185,0.7997659008,0.8145855313,0.920245399,0.692203858,0.739664297,0.7505695766,0.759115748,0.7657406278,0.773760084,0.7807430774,0.7898312836,0.7988735824,0.813803148,0.920245399
0.711646652,0.7275969298,0.7491988022,0.754873468,0.769260838,0.7761244045,0.7821770438,0.7921746991,0.7940169414,0.7983579899,0.806865273,0.699487506,0.7297028588,0.7461253662,0.755471407,0.7630056004,0.771079695,0.780800126,0.7916550554,0.7962926042,0.8034504946,0.827589122,0.669177823,0.7343867474,0.7485215606,0.7596863724,0.7697269834,0.779010715,0.788328121,0.7970372774,0.80618321,0.8381492902,1.035506161,0.669177823,0.7371696648,0.7517679554,0.7607732395,0.7705590176,0.779145921,0.7867217376,0.7962641325,0.8082831598,0.8311729377,1.035506161,0.644502315,0.7177177048,0.740965953,0.7539921108,0.7617194766,0.7713982205,0.7802199168,0.7895476545,0.800840794,0.8207612577,1.035506161
0.742713982,0.7603968718,0.7735514662,0.7882374142,0.7924773038,0.795873081,0.8016461216,0.8140723736,0.8342650622,0.8530498682,0.894753779,0.699487506,0.7248963714,0.7391263224,0.7446810067,0.7523709318,0.764353027,0.7794991094,0.7942145664,0.8037838768,0.8226474808,0.920245399,0.699487506,0.7389687032,0.7492084836,0.757311217,0.7641549814,0.775799789,0.782848797,0.790805061,0.7994375376,0.8095230208,0.920245399,0.669177823,0.7406560648,0.7535357618,0.7612410904,0.7691941002,0.776558421,0.7840402788,0.7917897444,0.8008327844,0.8144719078,0.942621531,0.649077795,0.7363009522,0.7486382154,0.7569204584,0.763578558,0.772614051,0.7802055828,0.7897209012,0.800589188,0.8185245722,1.035506161
0.717498554,0.7291314605,0.737358392,0.742419937,0.748186103,0.759069898,0.777517519,0.7783836155,0.779398444,0.787828022,0.798599166,0.692203858,0.721024979,0.727293686,0.7367385695,0.74583896,0.7664393625,0.77965322,0.7881853385,0.803940389,0.8236898285,0.872273622,0.692203858,0.7242629322,0.7342554776,0.7423963524,0.7524368146,0.7656790645,0.777973986,0.7873046134,0.800508793,0.8208391214,0.872273622,0.652427531,0.7244690892,0.7361951482,0.7471162964,0.7583873206,0.767704102,0.7772696428,0.785817373,0.7974119252,0.8161260822,0.91376975,0.652427531,0.715647496,0.731635797,0.744783567,0.756334536,0.765601228,0.774802115,0.784467936,0.797568068,0.819142811,0.91376975
