"b1t0","b1t0.1","b1t0.2","b1t0.3","b1t0.4","b1t0.5","b1t0.6","b1t0.7","b1t0.8","b1t0.9","b1t1","b3t0","b3t0.1","b3t0.2","b3t0.3","b3t0.4","b3t0.5","b3t0.6","b3t0.7","b3t0.8","b3t0.9","b3t1","b5t0","b5t0.1","b5t0.2","b5t0.3","b5t0.4","b5t0.5","b5t0.6","b5t0.7","b5t0.8","b5t0.9","b5t1","b7t0","b7t0.1","b7t0.2","b7t0.3","b7t0.4","b7t0.5","b7t0.6","b7t0.7","b7t0.8","b7t0.9","b7t1","b9t0","b9t0.1","b9t0.2","b9t0.3","b9t0.4","b9t0.5","b9t0.6","b9t0.7","b9t0.8","b9t0.9","b9t1"
16.52353419,16.759330437,16.965678862,17.030008859,17.163157292,17.297249325,17.425994974,17.568514213,17.637525392,17.833393182,18.08000483,14.28920167,15.26710685,15.817976712,16.285408576,16.751540328,17.23438094,17.669706728,18.009370546,18.309687336,18.638889484,18.96259267,12.26493408,13.842830518,14.837150634,15.668508874,16.277697606,16.761883435,17.232010166,17.661084363,18.086676754,18.512748718,19.42387091,10.25553176,12.538482009,13.838396428,14.704436216,15.425984932,16.084680495,16.712556826,17.316529808,17.908242266,18.508496834,19.98866011,8.247828535,11.379721395,12.675939416,13.701875375,14.621119514,15.492427615,16.275832216,17.031901955,17.780577448,18.514850542,20.70843918
13.62923297,13.738065294,13.983729494,14.042834012,14.26776896,14.33563728,14.442593362,14.690090258,14.746382342,14.988066822,15.08793985,11.48947878,12.292379844,12.93789846,13.55628855,13.99843328,14.46624873,15.024810066,15.416390782,16.038791884,16.492412402,17.20201856,9.368611074,10.9412311,12.015707732,12.94141107,13.790495228,14.66791622,15.397885662,16.22127485,17.119230424,17.967339378,19.31768507,7.247743366,9.7385411366,11.241793396,12.577674766,13.731613316,14.88318312,16.002024138,17.146180268,18.201553542,19.024544656,21.14435866,5.126875658,8.471999673,10.47042917,12.15933882,13.65897169,15.11836315,16.40258457,17.43866135,18.3354209,19.40262059,22.57732096
16.80171783,17.020664835,17.22252707,17.380554995,17.49434842,17.711774325,17.91284297,18.071754675,18.18809312,18.40409935,18.60442011,14.73208092,15.63296822,16.260404924,16.836490538,17.320637364,17.7949097,18.072259762,18.366474814,18.684386916,18.955273506,19.69747884,12.67953842,14.324636346,15.383035158,16.135141106,16.705764822,17.18750324,17.655113706,18.111964728,18.556112658,18.980870542,20.32473869,10.70341258,13.059612528,14.300430934,15.10777048,15.86415919,16.52871056,17.175668816,17.814368408,18.41426639,19.026940126,21.14435866,8.648671979,11.748445565,13.071998564,14.129623135,15.075750884,15.962920635,16.753812092,17.529854154,18.27646874,19.169417044,22.24636885
11.15852028,11.263490095,11.461515384,11.62102041,11.87735824,11.984399305,12.202951522,12.341281174,12.524940086,12.703791679,13.0285776,9.011133621,9.8289164,10.47860605,11.13241856,11.54015568,12.14011921,12.58293755,13.0285776,13.61034649,14.16801802,15.13188845,6.889870481,8.6310023116,9.7205080426,10.636283084,11.495189568,12.27305627,13.060957982,13.93852546,14.734809398,15.739759308,17.16936631,4.768658233,7.2737303673,8.8482536734,10.136389628,11.335797756,12.485301755,13.611551962,14.734902651,15.951139894,17.326053536,19.3932768,2.647619197,6.0891391226,8.0349008126,9.7348444706,11.26073757,12.73432558,14.16601248,15.650116484,17.148054766,18.880864898,21.46693735
8.410197179,8.4347803436,8.5064180624,8.8726445921,8.929465881,8.9943847425,9.333713664,9.4247126315,9.4836087818,9.8008011435,9.955827144,5.910251706,6.9161068842,7.4811183376,8.0774138754,8.617677702,9.121690102,9.6184308622,10.11549899,10.72040264,11.415510012,12.06920212,3.910345526,5.6573138438,6.9161068842,7.8944398926,8.7422529674,9.536311866,10.412125702,11.190848514,12.045546008,13.020121324,14.48318145,1.481168334,4.5405905528,6.2361949644,7.5516217924,8.7855370378,9.956410588,11.032025902,12.191710094,13.404859458,14.63175916,16.59245885,0.051298959,3.5855678314,5.6628996676,7.4211858254,8.9512993556,10.41993887,11.815623506,13.246504068,14.710107444,16.400930546,18.93408891
9.14208616,9.5550589178,9.6774512326,9.9174352876,10.101350958,10.23203008,10.399094096,10.55832712,10.673944876,11.023692636,11.20332879,6.988872515,7.9855832338,8.6608012318,9.3065045878,9.8699433228,10.41017241,10.904627416,11.379831918,11.873899816,12.44867549,13.26466783,4.940394955,6.755998517,7.923054,8.910189945,9.748557394,10.52556729,11.44983401,12.23903419,13.0570202,14.03094045,15.54537316,2.627493969,5.5523845064,7.1927483122,8.5424071574,9.8189408072,10.9452009,12.067829374,13.179759519,14.412966324,15.6354486,17.7676276,0.412703489,4.6669379413,6.733634881,8.4672392369,9.972622689,11.43337206,12.875061212,14.255968005,15.709561556,17.409187402,19.93544559
10.92308349,11.236689871,11.420636078,11.594486694,11.763897452,11.836331865,12.006397326,12.173666679,12.367900848,12.541598009,12.72348557,8.693696146,9.618350628,10.262848374,10.924969046,11.421860818,11.99053786,12.463233222,12.930741104,13.428404822,14.043053682,14.95394548,6.649094449,8.4615607732,9.5507409312,10.521432208,11.359634014,12.216288455,13.057522364,13.840545605,14.742312098,15.6354486,17.01441685,4.572757988,7.3296418015,8.912471672,10.234592822,11.420705292,12.574215155,13.68432539,14.827472721,15.9600556,17.294369786,19.17961583,2.457685884,6.3361453141,8.3649662214,10.014777973,11.562506736,12.996674835,14.416043398,15.740973817,16.792968898,17.773366984,20.33006841
16.53665194,16.876461914,17.079459822,17.233564619,17.374621538,17.594732695,17.7124449,17.890604068,17.977169902,18.192505309,18.3333108,14.35788326,15.368421942,15.982118446,16.476584754,17.072529548,17.51294425,18.019316828,18.556470412,19.010151754,19.629493848,20.52857352,12.19986745,13.964940216,15.039083778,15.9667835,16.81781424,17.63141742,18.556470412,19.276916642,19.97800419,20.696334656,22.30817419,10.08000754,12.617677334,14.184494896,15.480308279,16.686714572,17.639443105,18.492300784,19.135388051,20.007486302,21.204394644,23.78496,7.96092571,11.328040572,13.307437278,15.025899298,16.1758853,17.18725458,18.092480822,18.979073,20.05559386,21.672949334,23.99977714
12.49228463,12.811643498,12.980886198,13.17402597,13.348677952,13.528524745,13.69657073,13.758536644,13.937756628,14.106264214,14.29445811,10.28757257,11.241235778,11.905718102,12.48111203,13.021370918,13.46863097,14.00185359,14.544899872,15.031126908,15.62438756,16.50922646,8.191191336,9.7724560442,10.81837122,11.783643334,12.672318752,13.51119583,14.368955916,15.26113507,16.148886132,17.147412,18.72905721,6.090031899,8.3435872747,9.895182413,11.230345772,12.468272476,13.64246681,14.818299988,15.967321722,17.266680916,18.636088433,20.80903933,3.876367502,6.9775910272,9.0014113518,10.694777408,12.284214102,13.775655995,15.287198544,16.814289521,18.414849752,20.201002494,22.89220282
14.37577137,14.580900002,14.69227057,14.914261324,15.03623176,15.26140805,15.32691661,15.566821806,15.706154598,15.894296386,16.16860518,12.14011921,13.079544611,13.712961336,14.247143509,14.820631448,15.273327225,15.776561594,16.342467378,16.867309752,17.510499857,18.40425734,10.115096,11.64095038,12.627989414,13.585817514,14.42441487,15.2852464,16.119818936,16.929247582,17.907915162,18.938455144,20.6399095,7.879443836,10.140077882,11.678164736,13.007079766,14.265514774,15.40107287,16.57387531,17.765285452,19.029744266,20.437209778,22.66756051,5.669847425,8.936410075,10.835076538,12.570147176,14.139242518,15.68763874,17.138879968,18.610777106,20.009110452,21.35831383,23.99977714
