"Elevation","Slope","Aspect","Water","NDVI","pH","SOC","Road"
510.0324362,0.631559944,314.4652304,17.18750324,1.918785166,5.304095631,0.804195743,6.1644286
475.9025318,1.101854672,190.3378449,14.33563728,2.535136402,5.364911582,0.751261249,2.384354364
480.2099031,0.450635349,34.46507063,17.91284297,1.682824893,5.391403798,0.775311193,1.961585683
482.1208927,0.438992568,217.0184786,11.93054112,1.493331458,5.400009196,0.783559305,5.882054573
487.2594581,0.381849156,312.7989858,8.92159858,1.747336743,5.496022905,0.78007884,18.06246409
486.4150526,0.413608769,284.3061798,10.11918356,1.610476044,5.517724888,0.723860121,20.68765914
484.3931637,0.192898956,286.8448989,11.60906477,2.187492126,5.553025187,0.80325005,24.63856967
524.7912461,1.677451582,171.0882293,17.23961316,1.593812276,5.239156794,0.764075164,3.003903517
487.1901026,0.177379204,172.1157641,13.18976951,1.703123785,5.658160896,0.775483262,10.46968704
486.8831422,0.229109477,129.4615767,15.49359745,1.740799983,5.297301456,0.838653401,7.033361066
518.6912897,0.656169819,114.9528896,15.07847318,1.723631291,5.272733807,0.777976372,5.907330372
479.2341944,0.078400152,234.0739778,20.02192968,2.41926104,5.563702363,0.746372616,0.88243502
640.3962048,4.071115306,207.9487337,13.84760462,2.405991986,5.759269049,0.872980661,15.73311408
530.537403,0.958514459,176.3747881,0.832080468,1.915871603,5.360655598,0.859217984,19.85072737
508.6192216,0.567151397,340.0833665,14.9900632,1.560293735,5.453922994,0.754209292,20.8534221
499.9741546,0.287349611,130.1031734,16.49133696,1.596296987,5.595925763,0.830323121,26.32833002
483.8569719,0.125866211,318.3915667,20.12970233,2.11621431,5.632942491,0.758344601,0.498081013
487.8501604,0.109789523,274.2797885,18.86300653,1.685854673,5.622076314,0.757068394,7.432469282
501.0044623,0.890929776,217.2495982,17.2763483,1.492849709,5.378964,0.749248751,10.40603963
534.5951509,1.03855755,269.7020234,2.952741728,2.163352771,5.180460992,0.759176155,17.87263611
