"MBID","MB_CODE21","x","y","person","areakm2","dwelling","perimeter","aream2","AMaream2","popdenskm2","dwedenskm2","shapefacto","compactrat","neargsdist","neargsarea","u3","u5","u10","u15","u20","u30","v3","v5","v10","v15","v20","v30","df3","df5","df10","df15","df20","df30","X1","X2","X3","X4","X5","X6","SA3","lisav1","lisav2","lisav3","lisav4","lisav5","lisav6"
1,"50018380000",-1502011.99201,-3570771.27114,94,0.0324,54,747.991174,32372.597151,61691.040401,2901.234568,1666.666667,0.524754,0.727101,0,0.0359,0.792189,-0.159679,-0.866787,-0.817884,-0.821664,-1.066169,0.530616,0.184763,-0.302564,-0.362016,-0.41446,-0.480095,-0.261573,0.344442,0.564223,0.455868,0.407204,0.586074,3,3,4,4,4,4,"Bayswater-Bassendean",0.083456,0.040266,0.303226,0.144844,0.351492,0.059342
2,"50018390000",-1501614.53608,-3572434.85964,158,0.0538,59,928.375903,53845.421569,105285.814183,2936.802974,1096.654275,0.511421,0.785075,0,0.1004,0.438906,0.532597,-0.133855,0.125236,-0.159369,-0.314497,0.050076,0.501708,0.18288,0.228016,0.38727,0.472897,-0.38883,-0.030889,0.316735,0.10278,0.546639,0.787394,2,3,3,3,4,5,"Bayswater-Bassendean",0.104029,0.101097,-0.173118,-0.076909,0.306627,0.005341
3,"50018400000",-1501824.06725,-3570142.56009,77,0.0334,34,842.400518,33354.535787,103820.474516,2305.389222,1017.964072,0.321271,0.590646,0,0.0162,-0.267661,-0.281845,-0.302993,-0.801142,-0.909269,-1.261486,-0.195552,-0.24827,-0.219177,-0.303906,-0.384113,-0.43255,0.072109,0.033574,0.083816,0.497236,0.525157,0.828935,3,3,3,4,4,5,"Bayswater-Bassendean",0.143338,0.114074,0.143031,0.159153,0.395106,0.06562
4,"50018420000",-1501542.56333,-3570674.94839,75,0.0316,33,789.355198,31601.782974,64862.969669,2373.417722,1044.303797,0.487208,0.637348,172.357391,0.0068,-0.738706,-0.811232,-0.945718,-0.834626,-0.737563,-0.969497,-0.413832,-0.410384,-0.428605,-0.481969,-0.462744,-0.352132,0.324873,0.400848,0.517113,0.352657,0.274819,0.617365,3,4,4,3,3,4,"Bayswater-Bassendean",0.12429,0.085167,-0.017866,-0.024811,0.024493,0.082962
5,"50018430000",-1501575.11768,-3570217.2983,138,0.052,57,1173.457127,52010.130141,137253.7522,2653.846154,1096.153846,0.378934,0.474639,103.090713,0.0096,-0.738706,-0.607621,-0.404476,-0.784401,-0.835681,-1.156922,-0.413832,-0.380729,-0.313747,-0.341203,-0.387281,-0.376964,0.324873,0.226893,0.090729,0.443197,0.4484,0.779958,3,3,3,4,4,5,"Bayswater-Bassendean",0.124592,0.108018,0.087865,0.856002,0.02412,0.075505
6,"50018440000",-1501357.77849,-3570191.46088,137,0.0526,57,1177.752854,52614.889887,138920.902624,2604.562738,1083.65019,0.37874,0.476662,145.66927,0.0096,-0.738706,-0.811232,-0.494683,-0.59466,-0.839185,-1.129302,-0.413832,-0.425212,-0.390904,-0.345919,-0.344326,-0.312867,0.324873,0.38602,0.103779,0.248741,0.494859,0.816435,3,4,3,3,4,5,"Bayswater-Bassendean",0.128393,0.103391,-0.052618,0.52483,-0.019898,0.07488
7,"50018450000",-1501388.47404,-3569832.77494,73,0.0304,33,779.717841,30437.552568,64822.76926,2401.315789,1085.526316,0.46955,0.629136,0,0.0942,0.438906,0.614041,-0.302993,-0.829045,-0.947816,-1.316727,-0.02139,0.181279,-0.045892,-0.228381,-0.330301,-0.318792,-0.460296,-0.432762,0.257101,0.600664,0.617515,0.997934,2,2,3,4,4,5,"Bayswater-Bassendean",0.142352,0.101675,0.050883,-0.000952,0.180317,0.016953
8,"50018460000",-1501126.04781,-3571703.12513,86,0.0286,44,723.656079,28575.97912,54712.928087,3006.993007,1538.461538,0.522289,0.68572,359.515614,0.1004,-0.738706,-0.933398,-0.596166,-0.337953,-0.236462,-0.722886,-0.413832,-0.433823,-0.355127,-0.164887,-0.018636,0.277537,0.324873,0.499575,0.241039,0.173066,0.217826,1.000423,3,4,3,3,3,5,"Bayswater-Bassendean",0.083124,0.052877,-0.046137,-0.089763,0.685758,0.009706
9,"50018470000",-1501055.34263,-3570755.13648,105,0.0492,52,1048.138495,49159.07978,107365.811518,2134.146341,1056.910569,0.457865,0.562311,115.750565,0.0121,-0.738706,-0.566899,-0.787855,-0.834626,-0.730555,-0.880717,-0.413832,-0.397357,-0.418689,-0.465604,-0.423392,-0.169734,0.324873,0.169542,0.369167,0.369022,0.307163,0.710983,3,3,3,3,3,4,"Bayswater-Bassendean",0.157667,0.090403,-0.00337,0.193414,-0.000285,0.079576
10,"50018480000",-1501159.18131,-3570204.30505,89,0.041,40,977.628973,41012.404201,107456.428098,2170.731707,975.609756,0.381665,0.539234,107.232546,0.008,-0.738706,-0.851954,-0.596166,-0.443984,-0.930294,-1.139166,-0.413832,-0.418628,-0.502151,-0.343121,-0.282606,-0.250908,0.324873,0.433326,0.094014,0.100864,0.647688,0.888258,3,4,3,3,4,5,"Bayswater-Bassendean",0.139592,0.087849,-0.190613,0.178002,-0.000161,0.078097
