"MB_CODE21","access_demo","accessibility_demo"
"50018380000",0.0427,0.01026473
"50018390000",0,0.01725348
"50018400000",0.0162,0.00840834
"50018420000",0,0.00818994
"50018430000",0,0.0150695
"50018440000",0,0.0149603
"50018450000",0,0.00797154
"50018460000",0,0.00939113
"50018470000",0,0.01146592
"50018480000",0,0.00971873
"50018490000",0,0.01124752
"50018500000",0,0.01223032
"50018510000",0,0.01102912
"50018520000",0.0583,0.00862674
"50018530000",0,0.01266711
"50018540000",0,0.00775315
"50018550000",0.0441,0.00655195
"50018560000",0,0.01539709
"50018570000",0,0.01528789
"50018580000",0,0.00655195
"50018590000",0,0.00644276
"50018600000",0,0.01026473
"50018610000",0.0131,0.01135672
"50018620000",0.0326,0.01539709
"50018630000",0.0162,0.01168432
"50018640000",0.007,0.01637989
"50018650000",0,0.01157512
"50018660000",0.007,0.00731635
"50018670000",0.007,0.00851754
"50018680000",0,0.01015553
"50018700000",0,0.01266711
"50018710000",0.007,0.00928194
"50018720000",0,0.01233951
"50018730000",0,0.01026473
"50018740000",0,0.00666115
"50018750000",0,0.01201192
"50018760000",0.0514,0.0138683
"50018770000",0.0514,0.01244871
"50018790000",0.0096,0.00960953
"50018800000",0.1038,0.01332231
"50018810000",0,0.01364991
"50018820000",0,0.01070153
"50018830000",0,0.01266711
"50018840000",0,0.01310391
"50018850000",0,0.01004633
"50018860000",0,0.00709795
"50018870000",0,0.01550629
"50018890000",0,0.01266711
"50018900000",0,0.01026473
"50018910000",0.0394,0.01059233
"50018920000",0,0.00677035
"50018930000",0,0.0138683
"50018940000",0.0166,0.01670748
"50018960000",0.08,0.02391463
"50018971000",0.0166,0.00622436
"50018972000",0.0166,0.00305758
"50019010000",0.065,0.01244871
"50019020000",0,0.01168432
"50019030000",0,0.01790868
"50019040000",0,0.00906354
"50019050000",0,0.01102912
"50019060000",0,0.01004633
"50019070000",0,0.00939113
"50019080000",0,0.01146592
"50019090000",0.008,0.00862674
"50019100000",0.008,0.01070153
"50019120000",0,0.01124752
"50019130000",0.008,0.01321311
"50019140000",0.008,0.00884514
"50019150000",0,0.00742555
"50019160000",0.0162,0.01135672
"50019190000",0.0162,0.01146592
"50019200000",0,0.01212112
"50019220000",0.0427,0.00589676
"50019230000",0.0068,0.00884514
"50019240000",0,0.01102912
"50019250000",0.0068,0.01102912
"50019260000",0,0.00535076
"50019270000",0.0068,0.01026473
"50019280000",0.0068,0.0143051
"50019290000",0,0.01288551
"50019300000",0,0.0145235
"50019310000",0,0.0140867
"50019320000",0,0.01124752
"50019330000",0,0.00720715
"50019340000",0.008,0.01244871
"50019350000",0,0.01910987
"50019360000",0.0188,0.01190272
"50019370000",0.0188,0.00808074
"50019380000",0.0205,0.01321311
"50019390000",0.0084,0.01310391
"50019400000",0,0.01354071
"50019421000",0.0021,0.00917274
"50019422000",0.038,0.00939113
"50019430000",0,0.00840834
"50019440000",0.0174,0.01070153
"50019452000",0,0.00611516
"50019453000",0,0.01801788
"50019500000",0,0.01594309
"50019510000",0.1004,0.01070153
"50019520000",0,0.0140867
"50019540000",0,0.00797154
"50019550000",0,0.01692588
"50019560000",0,0.00808074
"50019571000",0,0.00742555
"50019572000",0,0.00360358
"50019590000",0.0583,0.01637989
"50019600000",0,0.01070153
"50019611000",0,0.00720715
"50019612000",0,0.00698875
"50019640000",0,0.01758108
"50019650000",0,0.01321311
"50019660000",0,0.01561549
"50019680000",0,0.00829914
"50019690000",0,0.01102912
"50019700000",0,0.01102912
"50019710000",0,0.00698875
"50019720000",0,0.01528789
"50019740000",0,0.01354071
"50019750000",0,0.01616149
"50019760000",0,0.01539709
"50019770000",0,0.00797154
"50019800000",0,0.0141959
"50019810000",0,0.01048313
"50019820000",0,0.00655195
"50019830000",0,0.01244871
"50019840000",0,0.01015553
"50019850000",0.0759,0.01081073
"50019861000",0,0.00393117
"50019862000",0,0.00447717
"50019870000",0,0.00786235
"50019880000",0.0869,0.00709795
"50019890000",0,0.00840834
"50019910000",0.0759,0.00524156
"50019920000",0,0.01692588
"50019930000",0,0.01102912
"50019940000",0,0.01081073
"50019950000",0.0437,0.01288551
"50019970000",0,0.01026473
"50019980000",0,0.01037393
"50019990000",0,0.01605229
"50020010000",0,0.0149603
"50020020000",0,0.01233951
"50020030000",0,0.00742555
"50020040000",0,0.00939113
"50020050000",0.0525,0.00556916
"50020070000",0,0.01332231
"50020080000",0,0.01867307
"50020090000",0,0.01059233
"50020120000",0,0.01223032
"50020130000",0.0231,0.00578756
"50020180000",0,0.01124752
"50020190000",0.0261,0.0139775
"50020200000",0,0.0145235
"50020210000",0,0.01725348
"50020220000",0,0.0139775
"50020230000",0,0.01736268
"50020240000",0,0.01015553
"50020260000",0,0.00491397
"50020270000",0,0.00633356
"50020280000",0,0.01048313
"50020290000",0.031,0.00655195
"50020300000",0,0.01736268
"50020310000",0,0.01266711
"50020320000",0.022,0.01332231
"50020330000",0,0.01015553
"50020340000",0.0057,0.00808074
"50020350000",0,0.00840834
"50020360000",0.0415,0.01037393
"50020370000",0.0057,0.00775315
"50020380000",0,0.01354071
"50020390000",0.0081,0.00873594
"50020400000",0.0155,0.01081073
"50020410000",0,0.01517869
"50020420000",0,0.0145235
"50020430000",0.0303,0.01212112
"50020440000",0.0081,0.01517869
"50020450000",0,0.01113832
"50020460000",0.0081,0.01190272
"50020470000",0,0.01299471
"50020480000",0,0.01102912
"50020490000",0,0.00939113
"50020500000",0,0.01561549
"50020510000",0,0.01004633
"50020520000",0,0.01201192
"50020530000",0.0093,0.0144143
"50020540000",0.0634,0.01157512
"50020550000",0.0165,0.00982793
"50020560000",0,0.01004633
"50020580000",0,0.01572469
"50020590000",0,0.01277631
"50020600000",0,0.01113832
"50020610000",0,0.00982793
"50020650000",0.0173,0.00829914
"50020670000",0,0.01201192
"50020680000",0.0173,0.00884514
"50020690000",0.0208,0.00971873
"50020700000",0.0052,0.01037393
"50020710000",0,0.01703508
"50020720000",0,0.01725348
"50020730000",0.0275,0.00851754
"50020740000",0.0394,0.01244871
"50020760000",0.0293,0.00895434
"50020770000",0,0.0149603
"50020800000",0,0.01637989
"50020810000",0.0052,0.00960953
"50020820000",0.0242,0.01157512
"50020830000",0,0.01081073
"50020840000",0,0.01081073
"50020850000",0,0.01779948
"50020860000",0,0.01627069
"50020870000",0,0.0148511
"50020900000",0.0327,0.01026473
"50020920000",0.0262,0.01299471
"50020970000",0.0062,0.01201192
"50020990000",0.0101,0.01026473
"50021000000",0.0101,0.01124752
"50021010000",0.006,0.01310391
"50021020000",0,0.01212112
"50021030000",0.0101,0.01889147
"50021050000",0.0101,0.01026473
"50021060000",0,0.00687955
"50021070000",0,0.01223032
"50021080000",0.0261,0.00764395
"50021090000",0.0175,0.00873594
"50021110000",0.0175,0.00687955
"50021120000",0.0175,0.00939113
"50021130000",0.0175,0.00447717
"50021140000",0,0.01070153
"50021150000",0,0.00327598
"50021160000",0,0.01201192
"50021170000",0,0.01081073
"50021180000",0,0.00502317
"50021190000",0,0.00829914
"50021200000",0,0.00327598
"50021210000",0,0.00305758
"50021220000",0,0.00436797
"50021230000",0,0.00524156
"50021240000",0,0.00502317
"50021250000",0,0.00360358
"50021260000",0,0.00873594
"50021270000",0,0.00185639
"50021280000",0,0.0148511
"50021290000",0,0.00141959
"50021320000",0,0.00283918
"50021330000",0.0278,0.00262078
"50021340000",0.0278,0.00251158
"50021350000",0,0.0141959
"50021360000",0.0634,0.00338518
"50021370000",0.0081,0.00218398
"50021380000",0,0.00556916
"50021390000",0,0.00677035
"50021400000",0,0.00655195
"50021410000",0,0.00786235
"50021420000",0,0.01201192
"50021440000",0,0.01157512
"50021450000",0,0.01310391
"50021460000",0,0.03232298
"50021470000",0,0.00425877
"50021481000",0.0124,0.00666115
"50021482000",0,0.00742555
"50021490000",0,0.01113832
"50021510000",0,0.01681668
"50021520000",0,0.00196559
"50021530000",0,0.00611516
"50021540000",0,0.00524156
"50021550000",0,0.01091992
"50021560000",0,0.01233951
"50021570000",0.0231,0.0147419
"50021580000",0,0.00917274
"50021590000",0.0405,0.00950033
"50021640000",0,0.01779948
"50021650000",0.0521,0.01026473
"50021670000",0.0405,0.0145235
"50021680000",0,0.01135672
"50021690000",0.0228,0.0146327
"50021700000",0.0228,0.01004633
"50021720000",0.0112,0.01637989
"50021730000",0.0112,0.01015553
"50021740000",0.0112,0.01015553
"50021750000",0,0.00960953
"50021760000",0.0116,0.01561549
"50021770000",0.0303,0.0138683
"50021790000",0.0303,0.0141959
"50021800000",0.0303,0.01943747
"50021810000",0,0.0139775
"50021820000",0.0303,0.00960953
"50021830000",0.0303,0.01179352
"50021840000",0,0.01190272
"50021850000",0,0.01605229
"50021860000",0,0.01059233
"50021870000",0,0.01255791
"50021880000",0,0.01517869
"50021890000",0,0.01244871
"50021900000",0,0.01004633
"50021910000",0,0.01146592
"50021920000",0,0.00535076
"50021930000",0,0.01091992
"50021960000",0.0254,0.01517869
"50021970000",0,0.01736268
"50021980000",0.0242,0.01659828
"50021990000",0,0.01113832
