"walk_minutes","variable1","variable2","PD1","PD2","PID","interaction"
5,"Area of near greenspace","Contextualised population density",0.0391,0.0721,0.2823,"Enhance, nonlinear"
5,"Region","Contextualised distance to near greenspace",0.0129,0.1157,0.2483,"Enhance, nonlinear"
5,"Contextualised dwelling density","Contextualised distance to near greenspace",0.083,0.1157,0.2079,"Enhance, nonlinear"
5,"Contextualised population density","Contextualised distance to near greenspace",0.0721,0.1157,0.204,"Enhance, nonlinear"
5,"Area of near greenspace","Contextualised distance to near greenspace",0.0391,0.1157,0.202,"Enhance, nonlinear"
5,"Distance to near greenspace","Contextualised dwelling density",0.0957,0.083,0.196,"Enhance, nonlinear"
5,"Area of near greenspace","Contextualised dwelling density",0.0391,0.083,0.1892,"Enhance, nonlinear"
5,"Contextualised distance to near greenspace","Contextualised area of near greenspace",0.1157,0.0664,0.186,"Enhance, nonlinear"
5,"Distance to near greenspace","Contextualised area of near greenspace",0.0957,0.0664,0.1797,"Enhance, nonlinear"
5,"Distance to near greenspace","Contextualised population density",0.0957,0.0721,0.1762,"Enhance, nonlinear"
5,"Distance to near greenspace","Contextualised distance to near greenspace",0.0957,0.1157,0.1735,"Enhance, bi-"
5,"Population density","Contextualised distance to near greenspace",0.0265,0.1157,0.1503,"Enhance, nonlinear"
5,"Distance to near greenspace","Contextualised shape factor",0.0957,0.0524,0.1498,"Enhance, nonlinear"
5,"Dwelling density","Contextualised distance to near greenspace",0.0238,0.1157,0.1467,"Enhance, nonlinear"
5,"Distance to near greenspace","Area of near greenspace",0.0957,0.0391,0.1435,"Enhance, nonlinear"
5,"Contextualised dwelling density","Contextualised area of near greenspace",0.083,0.0664,0.1368,"Enhance, bi-"
5,"Region","Contextualised population density",0.0129,0.0721,0.1353,"Enhance, nonlinear"
5,"Contextualised shape factor","Contextualised distance to near greenspace",0.0524,0.1157,0.1353,"Enhance, bi-"
5,"Contextualised population density","Contextualised area of near greenspace",0.0721,0.0664,0.1311,"Enhance, bi-"
5,"Population density","Distance to near greenspace",0.0265,0.0957,0.1304,"Enhance, nonlinear"
5,"Dwelling density","Distance to near greenspace",0.0238,0.0957,0.1252,"Enhance, nonlinear"
5,"Region","Distance to near greenspace",0.0129,0.0957,0.1169,"Enhance, nonlinear"
5,"Population density","Contextualised area of near greenspace",0.0265,0.0664,0.1073,"Enhance, nonlinear"
5,"Region","Contextualised area of near greenspace",0.0129,0.0664,0.0987,"Enhance, nonlinear"
5,"Region","Contextualised dwelling density",0.0129,0.083,0.0977,"Enhance, nonlinear"
5,"Dwelling density","Contextualised area of near greenspace",0.0238,0.0664,0.0975,"Enhance, nonlinear"
5,"Population density","Contextualised dwelling density",0.0265,0.083,0.0848,"Enhance, bi-"
5,"Area of near greenspace","Contextualised area of near greenspace",0.0391,0.0664,0.0842,"Enhance, bi-"
5,"Dwelling density","Contextualised dwelling density",0.0238,0.083,0.0833,"Enhance, bi-"
5,"Population density","Contextualised shape factor",0.0265,0.0524,0.0792,"Enhance, nonlinear"
5,"Dwelling density","Contextualised shape factor",0.0238,0.0524,0.0768,"Enhance, nonlinear"
5,"Area of near greenspace","Contextualised shape factor",0.0391,0.0524,0.076,"Enhance, bi-"
5,"Contextualised population density","Contextualised shape factor",0.0721,0.0524,0.0758,"Enhance, bi-"
5,"Contextualised population density","Contextualised dwelling density",0.0721,0.083,0.0747,"Weaken, uni-"
5,"Population density","Contextualised population density",0.0265,0.0721,0.0736,"Enhance, bi-"
5,"Contextualised dwelling density","Contextualised shape factor",0.083,0.0524,0.0732,"Weaken, uni-"
5,"Dwelling density","Contextualised population density",0.0238,0.0721,0.0726,"Enhance, bi-"
5,"Population density","Area of near greenspace",0.0265,0.0391,0.0681,"Enhance, nonlinear"
5,"Dwelling density","Area of near greenspace",0.0238,0.0391,0.0663,"Enhance, nonlinear"
5,"Contextualised shape factor","Contextualised area of near greenspace",0.0524,0.0664,0.0652,"Weaken, uni-"
5,"Region","Area of near greenspace",0.0129,0.0391,0.0596,"Enhance, nonlinear"
5,"Region","Population density",0.0129,0.0265,0.0418,"Enhance, nonlinear"
5,"Region","Contextualised shape factor",0.0129,0.0524,0.0388,"Weaken, uni-"
5,"Region","Dwelling density",0.0129,0.0238,0.0362,"Enhance, bi-"
5,"Population density","Dwelling density",0.0265,0.0238,0.0287,"Enhance, bi-"
