"label","qv","sig","n_strata","n_predictors","type","variable","category"
"SOP.V2",0.613736226872948,3.08739478427356e-10,19,20,"SOP","V2","C1"
"SOP.V6",0.556578315860182,3.85662168866929e-10,19,20,"SOP","V6","C3"
"SOP.V1",0.555766180376435,7.84169618128772e-10,16,20,"SOP","V1","C1"
"SOP.V3",0.543492309709362,3.26066507128076e-10,17,20,"SOP","V3","C2"
"SOP.V5",0.523592009229031,2.82441292576152e-10,15,20,"SOP","V5","C3"
"SOP.V4",0.396764564754428,5.50395617970878e-10,11,20,"SOP","V4","C2"
"V1",0.262705248323149,9.49798351079778e-10,10,1,"variable","V1","C1"
"V6",0.232766661109688,1.98107530380298e-10,8,1,"variable","V6","C3"
"V2",0.222102216918619,9.10600403969397e-08,12,1,"variable","V2","C1"
"V3",0.2201282585899,1.69430439678209e-08,10,1,"variable","V3","C2"
"V5",0.173615237253601,1.05096342739586e-09,4,1,"variable","V5","C3"
"V4",0.147842733643737,1.5901487571135e-07,4,1,"variable","V4","C2"
