"label","qv","sig","n_strata","n_predictors","factor1","factor2","q1","q2","interaction","mode"
"SOP.V1 & SOP.V2",0.695499241958602,3.43727490914603e-10,17,40,"SOP.V1","SOP.V2",0.555766180376435,0.613736226872948,"enhance, bivariate","sop_sop"
"SOP.V4 & SOP.V5",0.650234437490048,2.7228896914977e-10,19,40,"SOP.V4","SOP.V5",0.396764564754428,0.523592009229031,"enhance, bivariate","sop_sop"
"SOP.V2 & SOP.V3",0.649205872929579,2.53647325365591e-10,17,40,"SOP.V2","SOP.V3",0.613736226872948,0.543492309709362,"enhance, bivariate","sop_sop"
"SOP.V2 & SOP.V6",0.641327242548931,6.81619538589473e-10,18,40,"SOP.V2","SOP.V6",0.613736226872948,0.556578315860182,"enhance, bivariate","sop_sop"
"SOP.V4 & SOP.V6",0.637154855336971,5.08850073188682e-10,20,40,"SOP.V4","SOP.V6",0.396764564754428,0.556578315860182,"enhance, bivariate","sop_sop"
"SOP.V2 & SOP.V4",0.636660896988364,9.34196386914721e-10,16,40,"SOP.V2","SOP.V4",0.613736226872948,0.396764564754428,"enhance, bivariate","sop_sop"
"SOP.V2 & SOP.V5",0.635708123660568,3.395299597031e-10,16,40,"SOP.V2","SOP.V5",0.613736226872948,0.523592009229031,"enhance, bivariate","sop_sop"
"SOP.V1 & SOP.V3",0.635485519865662,5.04358443897956e-10,19,40,"SOP.V1","SOP.V3",0.555766180376435,0.543492309709362,"enhance, bivariate","sop_sop"
"SOP.V1 & SOP.V5",0.62920880632201,8.62503068965736e-10,18,40,"SOP.V1","SOP.V5",0.555766180376435,0.523592009229031,"enhance, bivariate","sop_sop"
"SOP.V3 & SOP.V5",0.613994443376077,5.65342661573709e-10,17,40,"SOP.V3","SOP.V5",0.543492309709362,0.523592009229031,"enhance, bivariate","sop_sop"
"SOP.V3 & SOP.V4",0.605563980579756,3.65393271195558e-10,19,40,"SOP.V3","SOP.V4",0.543492309709362,0.396764564754428,"enhance, bivariate","sop_sop"
"SOP.V1 & SOP.V4",0.599398165871253,9.45298728183275e-10,18,40,"SOP.V1","SOP.V4",0.555766180376435,0.396764564754428,"enhance, bivariate","sop_sop"
"SOP.V5 & SOP.V6",0.589988703989921,6.23905038743544e-10,18,40,"SOP.V5","SOP.V6",0.523592009229031,0.556578315860182,"enhance, bivariate","sop_sop"
"SOP.V3 & SOP.V6",0.587847140787317,2.6353752513586e-10,19,40,"SOP.V3","SOP.V6",0.543492309709362,0.556578315860182,"enhance, bivariate","sop_sop"
"SOP.V1 & SOP.V6",0.55841793214836,6.11235506653429e-10,15,40,"SOP.V1","SOP.V6",0.555766180376435,0.556578315860182,"enhance, bivariate","sop_sop"
