"label","qv","sig","n_strata","n_predictors","factor1","factor2","q1","q2","interaction","mode"
"V1 & SOP.V2",0.664133381588321,5.87978554733581e-10,14,21,"V1","SOP.V2",0.262705248323149,0.613736226872948,"enhance, bivariate","var_sop"
"V4 & SOP.V2",0.647198361989809,3.56415563729229e-10,15,21,"V4","SOP.V2",0.147842733643737,0.613736226872948,"enhance, bivariate","var_sop"
"V6 & SOP.V2",0.632903383957745,2.50385934208452e-10,16,21,"V6","SOP.V2",0.232766661109688,0.613736226872948,"enhance, bivariate","var_sop"
"V5 & SOP.V3",0.623133672920515,3.34527072709534e-10,20,21,"V5","SOP.V3",0.173615237253601,0.543492309709362,"enhance, bivariate","var_sop"
"V2 & SOP.V2",0.619070058645155,4.79916995033136e-10,16,21,"V2","SOP.V2",0.222102216918619,0.613736226872948,"enhance, bivariate","var_sop"
"V1 & SOP.V1",0.618819335656491,2.73750355717084e-10,16,21,"V1","SOP.V1",0.262705248323149,0.555766180376435,"enhance, bivariate","var_sop"
"V1 & SOP.V6",0.614129292387244,5.64060576024872e-10,19,21,"V1","SOP.V6",0.262705248323149,0.556578315860182,"enhance, bivariate","var_sop"
"V5 & SOP.V2",0.612037091893491,2.39426922732378e-10,16,21,"V5","SOP.V2",0.173615237253601,0.613736226872948,"weaken, univariate","var_sop"
"V6 & SOP.V1",0.607523863078578,4.78650341584341e-10,17,21,"V6","SOP.V1",0.232766661109688,0.555766180376435,"enhance, bivariate","var_sop"
"V6 & SOP.V3",0.5983352015256,5.1835158387803e-10,19,21,"V6","SOP.V3",0.232766661109688,0.543492309709362,"enhance, bivariate","var_sop"
"V4 & SOP.V5",0.596738737522108,2.41682673873811e-10,18,21,"V4","SOP.V5",0.147842733643737,0.523592009229031,"enhance, bivariate","var_sop"
"V6 & SOP.V5",0.588568362862862,5.33682209535868e-10,16,21,"V6","SOP.V5",0.232766661109688,0.523592009229031,"enhance, bivariate","var_sop"
"V2 & SOP.V3",0.588554906149527,2.90182877726863e-10,19,21,"V2","SOP.V3",0.222102216918619,0.543492309709362,"enhance, bivariate","var_sop"
"V3 & SOP.V2",0.587263312588035,2.76094813678185e-10,16,21,"V3","SOP.V2",0.2201282585899,0.613736226872948,"weaken, univariate","var_sop"
"V3 & SOP.V1",0.584293021497592,3.65611874109106e-10,16,21,"V3","SOP.V1",0.2201282585899,0.555766180376435,"enhance, bivariate","var_sop"
"V3 & SOP.V3",0.580151195905619,9.05490127323105e-10,17,21,"V3","SOP.V3",0.2201282585899,0.543492309709362,"enhance, bivariate","var_sop"
"V3 & SOP.V4",0.576263486879685,8.67544813765164e-10,19,21,"V3","SOP.V4",0.2201282585899,0.396764564754428,"enhance, bivariate","var_sop"
"V2 & SOP.V5",0.568119903528995,6.84848955323503e-10,16,21,"V2","SOP.V5",0.222102216918619,0.523592009229031,"enhance, bivariate","var_sop"
"V6 & SOP.V6",0.565116058703399,6.94806878698273e-10,21,21,"V6","SOP.V6",0.232766661109688,0.556578315860182,"enhance, bivariate","var_sop"
"V5 & SOP.V1",0.564446380590895,4.16282786019906e-10,18,21,"V5","SOP.V1",0.173615237253601,0.555766180376435,"enhance, bivariate","var_sop"
"V1 & SOP.V3",0.563770185748248,3.15298565034539e-10,15,21,"V1","SOP.V3",0.262705248323149,0.543492309709362,"enhance, bivariate","var_sop"
"V5 & SOP.V4",0.561620520862224,3.65001362467865e-10,18,21,"V5","SOP.V4",0.173615237253601,0.396764564754428,"enhance, bivariate","var_sop"
"V3 & SOP.V5",0.554972261046088,6.15761996947128e-10,14,21,"V3","SOP.V5",0.2201282585899,0.523592009229031,"enhance, bivariate","var_sop"
"V5 & SOP.V6",0.544728624464293,7.31137927978409e-10,15,21,"V5","SOP.V6",0.173615237253601,0.556578315860182,"weaken, univariate","var_sop"
"V3 & SOP.V6",0.543966340615718,6.10643091647489e-10,16,21,"V3","SOP.V6",0.2201282585899,0.556578315860182,"weaken, univariate","var_sop"
"V1 & SOP.V4",0.527175198209396,2.18483009462034e-10,15,21,"V1","SOP.V4",0.262705248323149,0.396764564754428,"enhance, bivariate","var_sop"
"V2 & SOP.V4",0.516645206318133,4.17090695314926e-10,17,21,"V2","SOP.V4",0.222102216918619,0.396764564754428,"enhance, bivariate","var_sop"
"V1 & SOP.V5",0.51559646472034,4.03422295569555e-10,9,21,"V1","SOP.V5",0.262705248323149,0.523592009229031,"weaken, univariate","var_sop"
"V5 & SOP.V5",0.515175807589296,5.89400972472731e-10,13,21,"V5","SOP.V5",0.173615237253601,0.523592009229031,"weaken, univariate","var_sop"
"V4 & SOP.V1",0.508942693980542,2.95895641322375e-10,15,21,"V4","SOP.V1",0.147842733643737,0.555766180376435,"weaken, univariate","var_sop"
"V2 & SOP.V6",0.508536053121047,3.84796527974629e-10,18,21,"V2","SOP.V6",0.222102216918619,0.556578315860182,"weaken, univariate","var_sop"
"V4 & SOP.V6",0.50240237705872,8.13619949191491e-10,16,21,"V4","SOP.V6",0.147842733643737,0.556578315860182,"weaken, univariate","var_sop"
"V6 & SOP.V4",0.501736779644699,3.82235243456819e-10,14,21,"V6","SOP.V4",0.232766661109688,0.396764564754428,"enhance, bivariate","var_sop"
"V4 & SOP.V3",0.488615490130229,2.51342169299562e-10,15,21,"V4","SOP.V3",0.147842733643737,0.543492309709362,"weaken, univariate","var_sop"
"V2 & SOP.V1",0.483742783196481,3.99553057306434e-10,14,21,"V2","SOP.V1",0.222102216918619,0.555766180376435,"weaken, univariate","var_sop"
"V4 & SOP.V4",0.442738234663936,4.39778324867746e-10,16,21,"V4","SOP.V4",0.147842733643737,0.396764564754428,"enhance, bivariate","var_sop"
