"label","qv","sig","n_strata","n_predictors","type","factor1","factor2","q1","q2","interaction"
"C1",0.357479070612737,1.68532632294216e-10,11,2,"variable category","C1",NA,NA,NA,NA
"SOP.C1",0.695499241958602,3.43727490914603e-10,17,40,"SOP category","SOP.C1",NA,NA,NA,NA
"C2",0.325104492835785,6.91233070782005e-10,14,2,"variable category","C2",NA,NA,NA,NA
"SOP.C2",0.605563980579756,3.65393271195558e-10,19,40,"SOP category","SOP.C2",NA,NA,NA,NA
"C3",0.524413580551167,8.05709166051827e-10,15,2,"variable category","C3",NA,NA,NA,NA
"SOP.C3",0.589988703989921,6.23905038743544e-10,18,40,"SOP category","SOP.C3",NA,NA,NA,NA
"SOP.C1 & SOP.C2",0.678679588131674,6.51639409099403e-10,16,80,"SOP category x SOP category","SOP.C1","SOP.C2",0.695499241958602,0.605563980579756,"weaken, univariate"
"SOP.C1 & SOP.C3",0.699992778609922,8.12780953651782e-10,17,80,"SOP category x SOP category","SOP.C1","SOP.C3",0.695499241958602,0.589988703989921,"enhance, bivariate"
"SOP.C2 & SOP.C3",0.695756329992612,2.70752309461386e-10,20,80,"SOP category x SOP category","SOP.C2","SOP.C3",0.605563980579756,0.589988703989921,"enhance, bivariate"
"C1 & SOP.C1",0.70607317457801,8.31257285227593e-10,16,42,"variable category x SOP category","C1","SOP.C1",0.357479070612737,0.695499241958602,"enhance, bivariate"
"C2 & SOP.C1",0.694334666980319,2.63488675322776e-10,16,42,"variable category x SOP category","C2","SOP.C1",0.325104492835785,0.695499241958602,"weaken, univariate"
"C3 & SOP.C1",0.690707684268928,3.75918740580516e-10,17,42,"variable category x SOP category","C3","SOP.C1",0.524413580551167,0.695499241958602,"weaken, univariate"
"C1 & SOP.C2",0.571505143132572,3.03470026885577e-10,12,42,"variable category x SOP category","C1","SOP.C2",0.357479070612737,0.605563980579756,"weaken, univariate"
"C2 & SOP.C2",0.612767904064463,3.09032244238949e-10,18,42,"variable category x SOP category","C2","SOP.C2",0.325104492835785,0.605563980579756,"enhance, bivariate"
"C3 & SOP.C2",0.653261212625448,3.87494258902166e-10,20,42,"variable category x SOP category","C3","SOP.C2",0.524413580551167,0.605563980579756,"enhance, bivariate"
"C1 & SOP.C3",0.579101661184673,5.40394173853542e-10,11,42,"variable category x SOP category","C1","SOP.C3",0.357479070612737,0.589988703989921,"weaken, univariate"
"C2 & SOP.C3",0.611603687190253,6.02335181731917e-10,15,42,"variable category x SOP category","C2","SOP.C3",0.325104492835785,0.589988703989921,"enhance, bivariate"
"C3 & SOP.C3",0.644515961411444,6.47638165318654e-10,19,42,"variable category x SOP category","C3","SOP.C3",0.524413580551167,0.589988703989921,"enhance, bivariate"
