"radius","scenario","qv"
20,"A1 SOP only",0
20,"A2 variables + SOP",0.586383518911541
20,"A3 variables only",0.586383518911541
40,"A1 SOP only",0.469456194661896
40,"A2 variables + SOP",0.670815985836585
40,"A3 variables only",0.586383518911541
60,"A1 SOP only",0.535905476430937
60,"A2 variables + SOP",0.654335338440706
60,"A3 variables only",0.586383518911541
80,"A1 SOP only",0.592741917745948
80,"A2 variables + SOP",0.666556611202018
80,"A3 variables only",0.586383518911541
100,"A1 SOP only",0.636369914931493
100,"A2 variables + SOP",0.668992854315387
100,"A3 variables only",0.586383518911541
120,"A1 SOP only",0.628984000540227
120,"A2 variables + SOP",0.675273659057917
120,"A3 variables only",0.586383518911541
140,"A1 SOP only",0.666520396824829
140,"A2 variables + SOP",0.69342150778138
140,"A3 variables only",0.586383518911541
160,"A1 SOP only",0.697565887821284
160,"A2 variables + SOP",0.69342150778138
160,"A3 variables only",0.586383518911541
180,"A1 SOP only",0.67756000753116
180,"A2 variables + SOP",0.67592608431837
180,"A3 variables only",0.586383518911541
200,"A1 SOP only",0.699422364741941
200,"A2 variables + SOP",0.700081544971088
200,"A3 variables only",0.586383518911541
