"element","model","fold","n_test","R2","RMSE","MAE"
"Co","OK",1,191,0.158461192643855,14.1016449355378,8.23265033861736
"Co","IDW",1,191,0.266076764590436,13.1691583560567,7.62214277091456
"Co","LM",1,191,0.344592639282865,12.4448125258231,7.19588241149242
"Co","RF",1,191,0.406144290599667,11.8460393085106,6.67697497884987
"Co","RFK",1,191,0.408750239793083,11.82001942134,6.62955451184275
"Co","SRK",1,191,0.39445028148709,11.9621048460526,6.81745326366412
"Co","OK",2,190,0.246546734482638,9.25529414478683,6.41812873559273
"Co","IDW",2,190,0.276239291331049,9.07109190880743,6.59348775033031
"Co","LM",2,190,0.279870515570065,9.04830772912731,6.43614667822833
"Co","RF",2,190,0.329847321662743,8.72868748839549,5.60825173110266
"Co","RFK",2,190,0.329311553662693,8.7321759599564,5.58501662699305
"Co","SRK",2,190,0.42625192614203,8.07649049448528,5.27013329714217
"Co","OK",3,229,0.18915023910439,11.6602738706458,7.92736616390437
"Co","IDW",3,229,0.241274639008178,11.2792664214694,7.638472512537
"Co","LM",3,229,0.176340741364542,11.75201526395,7.98884527630626
"Co","RF",3,229,0.281760302748642,10.974209760968,6.62769225014707
"Co","RFK",3,229,0.285875009777476,10.9427296597326,6.52454199245993
"Co","SRK",3,229,0.298600724800815,10.8447916038898,6.56594748601683
"Co","OK",4,191,0.0275653088703044,12.206331740519,8.40806624737674
"Co","IDW",4,191,0.193585795840417,11.1156287015904,7.26439974602073
"Co","LM",4,191,0.0698201625039333,11.9381878368921,7.54807902604436
"Co","RF",4,191,0.201201837783182,11.0630143466806,6.48816950602483
"Co","RFK",4,191,0.20574677350779,11.0314967390876,6.43303172986071
"Co","SRK",4,191,0.202380176037621,11.0548515937802,6.53030250843358
"Co","OK",5,197,0.137348088718741,12.8719254785674,8.96834253983461
"Co","IDW",5,197,0.355016653008317,11.1301232395853,7.96352940886262
"Co","LM",5,197,0.316527248196373,11.4574065814626,8.21480766423822
"Co","RF",5,197,0.465900592837781,10.1283049822277,7.12868423050217
"Co","RFK",5,197,0.468840330508034,10.1003929091297,7.09391496705164
"Co","SRK",5,197,0.475666151981302,10.0352840425777,6.89483538036682
