"element","seed","dR2_SRK_RFK","dRMSE_SRK_RFK","dR2_SRK_RF","dRMSE_SRK_RF"
"Co",1,0.0182530301257182,-0.123133999220869,0.0211806210309922,-0.146799951454
"Co",2,0.0187666257679793,-0.129254411397236,0.0222137239119553,-0.156810735422908
"Co",3,0.014159278108703,-0.0951107311162325,0.0183325301371914,-0.127511340961536
"Co",4,0.0174275823551817,-0.119254924642599,0.0208867215920786,-0.146873368783293
"Co",5,0.0216369902739332,-0.146298042564286,0.0246479566111272,-0.17058994919307
"Co",6,0.0217832497366106,-0.145977892920849,0.0250047720159737,-0.171955318547077
"Co",7,0.0141532767458342,-0.0874471945136683,0.0171126228353106,-0.111126226677214
"Co",8,0.0130080982306605,-0.0745856188923213,0.016294062048213,-0.101151433751767
"Co",9,0.0143925069498482,-0.0907198018204927,0.0172393156498772,-0.113984741155269
"Co",10,0.0244384498032727,-0.159199422761098,0.0277273541888423,-0.185737762556318
"Co",11,0.0215623271499845,-0.135127444578917,0.0243620540953252,-0.158049482557093
"Co",12,0.0152435954967859,-0.0961627462426513,0.0183484463321326,-0.121334348637621
"Co",13,0.020388061043584,-0.132701490474897,0.0234979792544898,-0.157923286472068
"Co",14,0.0166863076956173,-0.103798522568953,0.0195746950553727,-0.127108746834955
"Co",15,0.0214266091068428,-0.145988783384526,0.024137803705478,-0.168110822771295
"Co",16,0.0124771648962623,-0.0749938018421688,0.0156759692796494,-0.101026119324281
"Co",17,0.0102970562505829,-0.056243410178622,0.013925011931763,-0.0847234373555121
"Co",18,0.0203885794881891,-0.13616611916288,0.0233350450420193,-0.160368456811161
"Co",19,0.0212505219347459,-0.138998578832956,0.0254848420039657,-0.172033122167736
"Co",20,0.0205123492072976,-0.133789506190894,0.0237579276601413,-0.159668068163519
