"element","seed","model","R2","RMSE","MAE"
"Co",1,"RF",0.33748693595336,10.5464445185151,6.47639527578768
"Co",1,"RFK",0.340414526858634,10.522778566282,6.42796241529815
"Co",1,"SRK",0.358667556984352,10.3996445670611,6.43221448583322
"Co",2,"RF",0.336247050903195,10.5546517029913,6.490421455928
"Co",2,"RFK",0.339694149047171,10.5270953789656,6.43882086666389
"Co",2,"SRK",0.358460774815151,10.3978409675684,6.43700023009286
"Co",3,"RF",0.341902108773897,10.5144737538953,6.46928558984567
"Co",3,"RFK",0.346075360802385,10.48207314405,6.4084044566184
"Co",3,"SRK",0.360234638911088,10.3869624129337,6.39858661336555
"Co",4,"RF",0.338682123648013,10.5395522179932,6.48677127902529
"Co",4,"RFK",0.34214126288491,10.5119337738525,6.43324404426901
"Co",4,"SRK",0.359568845240092,10.3926788492099,6.4463015974915
"Co",5,"RF",0.335860398320509,10.561069659725,6.5063953641593
"Co",5,"RFK",0.338871364657703,10.5367777530962,6.45225975500776
"Co",5,"SRK",0.360508354931636,10.3904797105319,6.43992426487181
"Co",6,"RF",0.335957248852117,10.5544782719925,6.49014813410302
"Co",6,"RFK",0.339178771131481,10.5285008463663,6.44099877279853
"Co",6,"SRK",0.360962020868091,10.3825229534454,6.40844316266453
"Co",7,"RF",0.337335903155929,10.5455870073863,6.4879154866536
"Co",7,"RFK",0.340295249245405,10.5219079752228,6.43836121192418
"Co",7,"SRK",0.354448525991239,10.4344607807091,6.45383041923146
"Co",8,"RF",0.33790453622408,10.5383257447534,6.49341594622662
"Co",8,"RFK",0.341190500041633,10.5117599298939,6.44123112674761
"Co",8,"SRK",0.354198598272293,10.4371743110016,6.45276662401113
"Co",9,"RF",0.337942454241338,10.5379996922759,6.48157976225954
"Co",9,"RFK",0.340789262941367,10.5147347529411,6.43199540605681
"Co",9,"SRK",0.355181769891215,10.4240149511206,6.42176272553037
"Co",10,"RF",0.333939077260525,10.5660243475548,6.504557569947
"Co",10,"RFK",0.337227981646095,10.5394860077596,6.45311453127009
"Co",10,"SRK",0.361666431449367,10.3802865849985,6.42048358307564
"Co",11,"RF",0.337460871532978,10.5383156095356,6.50502022629279
"Co",11,"RFK",0.340260598478319,10.5153935715574,6.45234946808087
"Co",11,"SRK",0.361822925628303,10.3802661269785,6.43555680914092
"Co",12,"RF",0.336976770908338,10.5466112689252,6.48792059072594
"Co",12,"RFK",0.340081621743685,10.5214396665303,6.43267848209704
"Co",12,"SRK",0.355325217240471,10.4252769202876,6.43171677665417
"Co",13,"RF",0.337277139725718,10.5456188382829,6.5078406768458
"Co",13,"RFK",0.340387057936623,10.5203970422857,6.45062513081379
"Co",13,"SRK",0.360775118980207,10.3876955518108,6.43509484098482
"Co",14,"RF",0.33815736266602,10.5365412925633,6.50615054097715
"Co",14,"RFK",0.341045750025776,10.5132310682973,6.45262399402425
"Co",14,"SRK",0.357732057721393,10.4094325457284,6.42693962844217
"Co",15,"RF",0.336077039030469,10.5518206834285,6.49554286914024
"Co",15,"RFK",0.338788233629104,10.5296986440417,6.44210610554147
"Co",15,"SRK",0.360214842735947,10.3837098606572,6.42526185778857
"Co",16,"RF",0.337640290685417,10.5430161151422,6.4977775316078
"Co",16,"RFK",0.340839095068804,10.5169837976601,6.44246214218585
"Co",16,"SRK",0.353316259965066,10.4419899958179,6.45298322610968
"Co",17,"RF",0.338321311367749,10.5377569619159,6.49935340356956
"Co",17,"RFK",0.341949267048929,10.509276934739,6.43808218762752
"Co",17,"SRK",0.352246323299512,10.4530335245603,6.44531534100343
"Co",18,"RF",0.336192137568021,10.5489383932497,6.49210664824873
"Co",18,"RFK",0.339138603121851,10.5247360556014,6.44082915143052
"Co",18,"SRK",0.35952718261004,10.3885699364385,6.40643165464328
"Co",19,"RF",0.330678319914495,10.5900496759864,6.52838968207674
"Co",19,"RFK",0.334912639983715,10.5570151326516,6.46478523303144
"Co",19,"SRK",0.356163161918461,10.4180165538187,6.44034369526633
"Co",20,"RF",0.335153482717446,10.5620057187075,6.4953931975093
"Co",20,"RFK",0.33839906117029,10.5361271567348,6.44233800221185
"Co",20,"SRK",0.358911410377587,10.4023376505439,6.42971752835936
