"block_id","col","row","x_km","y_km","road_density","main_road_density","roads_per_person","intersection_density","roughness","rutting","deflection","curvature","crash_rate","craf_schools","craf_hospitals","craf_industry","dist_ports","dist_airports","population","income"
1,1,1,5,5,1.27755634241758,0.135694429923053,0.428271328041556,2.65737156852898,1074.32180967525,682.835365722493,517.731347106531,297.054140991989,4.54855430673324,0.718177748874704,0.706264975901662,0.66760607032134,139.928283104665,80.7026563918251,33,62.4689135709547
2,2,1,15,5,1.01134559640414,0.130947164758967,0.377505446227259,3.64156153585053,1118.97017036057,672.6584740605,533.671637699581,306.621378868965,4.97091849068406,0.698400465199082,0.692766033421316,0.653525188998264,145.523422216877,91.8073482597758,43,63.0633662899419
3,3,1,25,5,0.996139994202432,0.116098523894036,0.309981558348434,3.94295082246866,1064.22572401376,630.667530477237,521.711673208498,290.580104197163,4.44512087804041,0.7400645700834,0.68927981124388,0.6290438163006,139.063501493124,74.4469420883451,33,66.3265204566658
4,4,1,35,5,1.19677601247246,0.142272889030829,0.497352951931744,3.93518492471645,1071.04104148868,678.531223535536,511.597526297338,285.825987966419,4.35994767518417,0.728410857702082,0.719504962824071,0.702387543589411,119.124949420943,85.6102329068537,39,62.7146106097031
5,5,1,45,5,1.47902093694033,0.162715699819417,0.589026945363098,5.82153810283243,999.053682861648,599.295396799002,513.094446119734,292.0568925239,3.78612692019283,0.793209653739986,0.712507356084859,0.706589222762788,113.255181575979,63.5389513200474,136,65.8539728193903
6,6,1,55,5,1.84100542045093,0.201185630525103,0.566515665127039,6.87329469838897,1016.19916261389,624.099752801482,493.661150673866,283.050109040189,4.17240440037559,0.767501727327223,0.727240874385434,0.686821589334382,115.203339856251,69.8373125819053,79,64.6668735607116
7,7,1,65,5,2.19096595027338,0.265285151721027,0.632039012880796,8.94895060821486,1005.22689994951,632.982761345403,485.398872078987,289.640476167533,3.83946043609534,0.784539054421086,0.715063717470327,0.70980427431129,115.82840731375,64.3363451718138,165,61.8015963230365
8,8,1,75,5,2.50168863412731,0.270194311061352,0.888922791121884,9.5211868232873,1030.63378744857,624.559354401716,513.976587437972,276.862934213433,4.05004426491404,0.795077343069809,0.689644126608197,0.703027511961279,123.893191182869,70.6405925274597,406,65.8638367622728
9,9,1,85,5,1.97511559181733,0.219874550335982,0.683923988566346,7.63530031728316,1077.68939091568,633.363990884907,508.616730702101,287.006012267882,4.33670126842952,0.756387771975271,0.69795748213929,0.658722337860894,123.933226046774,73.2250314516367,176,63.5009031017238
10,10,1,95,5,0.947758657803013,0.118513774207169,0.429038194605514,3.77201254111391,1133.66337430007,684.971485665834,519.905642913937,300.381038603965,5.17931057381248,0.691179835411833,0.639562590781612,0.600779661472607,149.707656398937,89.6772023328873,38,58.9357597836908
11,11,1,105,5,0.898268853781514,0.107534312616374,0.341121670522609,1.13832199033787,1189.36406972448,694.501352699592,569.065436244338,321.776950710821,5.04829410317832,0.667088342417703,0.660078842468177,0.626124086427199,167.256339443553,91.1815536617131,25,58.2289278099493
12,12,1,115,5,1.03968913618147,0.171871058854735,0.40772378000923,4.46145688347885,1170.99768562089,690.371163974981,553.943588261625,311.897596985621,5.18069773430698,0.641703035010171,0.602334708138866,0.590145374693629,159.870084291511,92.6562303619126,31,59.142662293965
13,13,1,125,5,0.964978371400852,0.128479341172187,0.372071860105668,3.14720686503908,1188.30701205625,727.84728475203,563.826207132976,325.178470243623,5.42048457545537,0.614608110371573,0.557518041461737,0.545283421351685,176.521949175673,104.931688298589,33,53.0418349138263
