"block_id","col","row","x_km","y_km","gamma_a","gamma_b","gamma","stage"
1,1,1,5,5,0.0997218294447136,0.377468156284011,0.238594992864362,"MR"
2,2,1,15,5,0.101934460714573,0.278842318876636,0.190388389795604,"MR"
3,3,1,25,5,0.0985417414003689,0.412037049037052,0.25528939521871,"MR"
4,4,1,35,5,0.118765331984907,0.432992342639265,0.275878837312086,"MR"
5,5,1,45,5,0.156756073047382,0.589260812973455,0.373008443010419,"MR"
6,6,1,55,5,0.182530408595976,0.531928641152391,0.357229524874183,"MR"
7,7,1,65,5,0.230223996110571,0.579467939334847,0.404845967722709,"MR"
8,8,1,75,5,0.260388250918414,0.527322611491869,0.393855431205141,"MR"
9,9,1,85,5,0.205033101533913,0.459071872984241,0.332052487259077,"MR"
10,10,1,95,5,0.103138121893334,0.231904103818082,0.167521112855708,"MR"
11,11,1,105,5,0.0630128508401581,0.183107264508731,0.123060057674445,"IR"
12,12,1,115,5,0.12137324153241,0.16073855339381,0.14105589746311,"MR"
13,13,1,125,5,0.0942105854632167,0.0360483681486309,0.0651294768059238,"MR"
14,14,1,135,5,0.126050012465404,0.176911025325188,0.151480518895296,"MR"
15,15,1,145,5,0.221323798912806,0.253986696079409,0.237655247496108,"MR"
16,16,1,155,5,0.339413086625758,0.313429717013707,0.326421401819732,"MR"
17,17,1,165,5,0.297349284550399,0.403690764473138,0.350520024511768,"MR"
18,18,1,175,5,0.419149747032403,0.407793898955642,0.413471822994023,"MR"
19,19,1,185,5,0.394514210323374,0.500866906609313,0.447690558466344,"MR"
20,20,1,195,5,0.317202727621161,0.536268283898692,0.426735505759926,"MR"
21,21,1,205,5,0.373560822004396,0.575414913921332,0.474487867962864,"MR"
22,22,1,215,5,0.348323182864698,0.560343840035136,0.454333511449917,"MR"
23,23,1,225,5,0.305414719101395,0.515553634960471,0.410484177030933,"MR"
24,24,1,235,5,0.301844693627188,0.586668205229357,0.444256449428273,"MR"
25,25,1,245,5,0.20761244901977,0.562807765544962,0.385210107282366,"MR"
26,26,1,255,5,0.119785269323362,0.603750715666518,0.36176799249494,"MR"
27,27,1,265,5,0.116739338432278,0.489762207916925,0.303250773174602,"MR"
28,28,1,275,5,0.0876119571045283,0.407126006318982,0.247368981711755,"IR"
29,29,1,285,5,0.180337369576671,0.544837192721271,0.362587281148971,"MR"
30,30,1,295,5,0.261112846681402,0.462505608823339,0.36180922775237,"MR"
31,31,1,305,5,0.276570799672386,0.474118879536856,0.375344839604621,"MR"
32,32,1,315,5,0.27818372422634,0.455164701073606,0.366674212649973,"MR"
33,33,1,325,5,0.218324372239148,0.411727510806074,0.315025941522611,"MR"
34,34,1,335,5,0.158108472270141,0.385818638874563,0.271963555572352,"MR"
35,35,1,345,5,0.100596516072635,0.313167618675376,0.206882067374006,"MR"
36,36,1,355,5,0.168098195685327,0.431739379378226,0.299918787531777,"MR"
37,37,1,365,5,0.234129307024065,0.483668469273495,0.35889888814878,"MR"
38,38,1,375,5,0.322512263949713,0.522769424823922,0.422640844386818,"MR"
39,39,1,385,5,0.463462356500774,0.574664730737738,0.519063543619256,"MR"
40,40,1,395,5,0.467210046442257,0.543634489469314,0.505422267955786,"MR"
41,1,2,5,15,0.0877361778500412,0.320662439613802,0.204199308731922,"IR"
42,2,2,15,15,0.0946788415554171,0.333299542698287,0.213989192126852,"MR"
43,3,2,25,15,0.0975962718944683,0.373313871716504,0.235455071805486,"MR"
44,4,2,35,15,0.0777572551017201,0.456232895493206,0.266995075297463,"IR"
45,5,2,45,15,0.116694540258133,0.464781313970645,0.290737927114389,"MR"
46,6,2,55,15,0.174352332166546,0.543749974879145,0.359051153522846,"MR"
47,7,2,65,15,0.232375545368076,0.557914474335713,0.395145009851894,"MR"
48,8,2,75,15,0.213494990795684,0.491888984040563,0.352691987418123,"MR"
49,9,2,85,15,0.137333712993136,0.417942891290232,0.277638302141684,"MR"
50,10,2,95,15,0.103433601458946,0.279456602633814,0.19144510204638,"MR"
51,11,2,105,15,0.0978099614908126,0.244890562916761,0.171350262203787,"MR"
52,12,2,115,15,0.0755679627962667,0.0492459698491277,0.0624069663226972,"IR"
53,13,2,125,15,0.163750230883802,0.200987664161765,0.182368947522784,"MR"
54,14,2,135,15,0.201529786580467,0.19333145685587,0.197430621718168,"MR"
55,15,2,145,15,0.187865955559528,0.218414385181473,0.2031401703705,"MR"
56,16,2,155,15,0.250289241304227,0.317946416851087,0.284117829077657,"MR"
57,17,2,165,15,0.248912300283419,0.386326185977504,0.317619243130461,"MR"
58,18,2,175,15,0.380616813125449,0.503323800149765,0.441970306637607,"MR"
59,19,2,185,15,0.365141989699481,0.587342699434523,0.476242344567002,"MR"
60,20,2,195,15,0.316381168728057,0.552433015989265,0.434407092358661,"MR"
61,21,2,205,15,0.211934436892112,0.491025762357539,0.351480099624826,"MR"
62,22,2,215,15,0.25047213711979,0.560962123967861,0.405717130543825,"MR"
63,23,2,225,15,0.2634848848104,0.566961549901384,0.415223217355892,"MR"
64,24,2,235,15,0.211713962571993,0.54119711080415,0.376455536688072,"MR"
65,25,2,245,15,0.200465268171793,0.608078759032275,0.404272013602034,"MR"
66,26,2,255,15,0.141817925495756,0.584568495670973,0.363193210583364,"MR"
67,27,2,265,15,0.092371455529825,0.38700569876105,0.239688577145437,"MR"
68,28,2,275,15,0.131343683512429,0.527245693548651,0.32929468853054,"MR"
69,29,2,285,15,0.199876348971633,0.511213528190362,0.355544938580997,"MR"
70,30,2,295,15,0.281665996242444,0.448752256605381,0.365209126423913,"MR"
71,31,2,305,15,0.346300681203051,0.504008704698289,0.42515469295067,"MR"
72,32,2,315,15,0.29742211655238,0.44096863773955,0.369195377145965,"MR"
73,33,2,325,15,0.301201275937907,0.427536755838396,0.364369015888152,"MR"
74,34,2,335,15,0.164022840078247,0.378112974009905,0.271067907044076,"MR"
75,35,2,345,15,0.162252380071412,0.329188714407694,0.245720547239553,"MR"
76,36,2,355,15,0.187150074357153,0.447612377999905,0.317381226178529,"MR"
77,37,2,365,15,0.278687231559603,0.490660364901402,0.384673798230503,"MR"
78,38,2,375,15,0.355995029927927,0.502645194512911,0.429320112220419,"MR"
79,39,2,385,15,0.444792539743445,0.530183475190954,0.487488007467199,"MR"
80,40,2,395,15,0.4226124100151,0.53469760741242,0.47865500871376,"MR"
81,1,3,5,25,0.134982785324784,0.52086929466931,0.327926039997047,"MR"
82,2,3,15,25,0.123775079850493,0.524568856020998,0.324171967935745,"MR"
83,3,3,25,25,0.0977046723221009,0.369941060142963,0.233822866232532,"MR"
84,4,3,35,25,0.0806531617600562,0.37910885631065,0.229881009035353,"IR"
85,5,3,45,25,0.132066599404813,0.575386436018648,0.353726517711731,"MR"
86,6,3,55,25,0.237031757422376,0.66544204303821,0.451236900230293,"MR"
87,7,3,65,25,0.214573037704546,0.5357995516924,0.375186294698473,"MR"
88,8,3,75,25,0.238587247958957,0.511890483725683,0.37523886584232,"MR"
89,9,3,85,25,0.182060079856151,0.466430451894398,0.324245265875275,"MR"
90,10,3,95,25,0.208909561059367,0.444307176702496,0.326608368880932,"MR"
91,11,3,105,25,0.123101141508702,0.275466932008649,0.199284036758676,"MR"
92,12,3,115,25,0.109550608214685,0.243204946556251,0.176377777385468,"MR"
93,13,3,125,25,0.155518851129325,0.174659044391959,0.165088947760642,"MR"
94,14,3,135,25,0.163556076226124,0.24307337248013,0.203314724353127,"MR"
95,15,3,145,25,0.184579609321546,0.219010887231478,0.201795248276512,"MR"
96,16,3,155,25,0.183860707361598,0.33809775368698,0.260979230524289,"MR"
97,17,3,165,25,0.278562805070431,0.45477768855193,0.366670246811181,"MR"
98,18,3,175,25,0.297739180444168,0.566640506311433,0.432189843377801,"MR"
99,19,3,185,25,0.239785409970644,0.520441537296104,0.380113473633374,"MR"
100,20,3,195,25,0.25175481745172,0.514576341831704,0.383165579641712,"MR"
101,21,3,205,25,0.22402348168995,0.54340349052269,0.38371348610632,"MR"
102,22,3,215,25,0.201266719176813,0.561450603206885,0.381358661191849,"MR"
103,23,3,225,25,0.202169270861997,0.531132576091783,0.36665092347689,"MR"
104,24,3,235,25,0.234205750579792,0.524894954073264,0.379550352326528,"MR"
105,25,3,245,25,0.133426909265138,0.621355730092121,0.377391319678629,"MR"
106,26,3,255,25,0.0925062337499515,0.438723632574224,0.265614933162088,"MR"
107,27,3,265,25,0.0836508059614591,0.384455639882747,0.234053222922103,"IR"
108,28,3,275,25,0.147402965021431,0.513936090091469,0.33066952755645,"MR"
109,29,3,285,25,0.208664355181973,0.519290108528281,0.363977231855127,"MR"
110,30,3,295,25,0.321072870387657,0.446108337296496,0.383590603842076,"MR"
111,31,3,305,25,0.411979607433856,0.440935689006221,0.426457648220039,"MR"
112,32,3,315,25,0.396448875203683,0.451271616394252,0.423860245798968,"MR"
113,33,3,325,25,0.353593892651048,0.451234605804088,0.402414249227568,"MR"
114,34,3,335,25,0.259918566898855,0.360012042135178,0.309965304517016,"MR"
115,35,3,345,25,0.240638636103634,0.422895892240781,0.331767264172207,"MR"
116,36,3,355,25,0.163747356598755,0.435916536216687,0.299831946407721,"MR"
117,37,3,365,25,0.279427002124408,0.514134720441886,0.396780861283147,"MR"
118,38,3,375,25,0.375693021809092,0.5060601820205,0.440876601914796,"MR"
119,39,3,385,25,0.346105116216685,0.544696647871616,0.44540088204415,"MR"
120,40,3,395,25,0.430068982101538,0.581370514135656,0.505719748118597,"MR"
121,1,4,5,35,0.112729646660564,0.447987181089474,0.280358413875019,"MR"
122,2,4,15,35,0.124703909754306,0.452211387385926,0.288457648570116,"MR"
123,3,4,25,35,0.0953775578197035,0.416821527027039,0.256099542423371,"MR"
124,4,4,35,35,0.0900415489450594,0.4342933109536,0.26216742994933,"IR"
125,5,4,45,35,0.117235763557594,0.448787629230844,0.283011696394219,"MR"
126,6,4,55,35,0.138474236717948,0.547361554740205,0.342917895729076,"MR"
127,7,4,65,35,0.160317914434788,0.591410081457237,0.375863997946012,"MR"
128,8,4,75,35,0.183033874465525,0.581185361287555,0.38210961787654,"MR"
129,9,4,85,35,0.174801255967806,0.490323541266458,0.332562398617132,"MR"
130,10,4,95,35,0.14122934092185,0.347473241275102,0.244351291098476,"MR"
131,11,4,105,35,0.151041022148942,0.352564839397593,0.251802930773267,"MR"
132,12,4,115,35,0.0998992342179967,0.162840792016924,0.13137001311746,"MR"
133,13,4,125,35,0.124348381201234,0.260975119457837,0.192661750329535,"MR"
134,14,4,135,35,0.114502380622103,0.214445889467416,0.16447413504476,"MR"
135,15,4,145,35,0.112669098441067,0.246431619566665,0.179550359003866,"MR"
136,16,4,155,35,0.175711257512943,0.451800754317243,0.313756005915093,"MR"
137,17,4,165,35,0.184104788192791,0.521895528930512,0.353000158561652,"MR"
138,18,4,175,35,0.187965473944405,0.530082038104237,0.359023756024321,"MR"
139,19,4,185,35,0.232516950764657,0.623530108708789,0.428023529736723,"MR"
140,20,4,195,35,0.181224300538937,0.552261169505206,0.366742735022071,"MR"
141,21,4,205,35,0.138112558837007,0.512786192674453,0.32544937575573,"MR"
142,22,4,215,35,0.169438684881026,0.510513966420552,0.339976325650789,"MR"
143,23,4,225,35,0.120085125602375,0.423273940565794,0.271679533084084,"MR"
144,24,4,235,35,0.213230178860482,0.497710260013937,0.35547021943721,"MR"
145,25,4,245,35,0.150580294799482,0.484910185286563,0.317745240043023,"MR"
146,26,4,255,35,0.224074155703578,0.616424484764411,0.420249320233995,"MR"
147,27,4,265,35,0.148175280673056,0.534113561819135,0.341144421246096,"MR"
148,28,4,275,35,0.170292206746328,0.559032074044333,0.364662140395331,"MR"
149,29,4,285,35,0.256796461343475,0.557782372582599,0.407289416963037,"MR"
150,30,4,295,35,0.378633741822104,0.486363533208208,0.432498637515156,"MR"
151,31,4,305,35,0.47131280268552,0.395943499223391,0.433628150954456,"MR"
152,32,4,315,35,0.432493123529618,0.42640820458531,0.429450664057464,"MR"
153,33,4,325,35,0.402350486256513,0.401859235510436,0.402104860883475,"MR"
154,34,4,335,35,0.364237275967561,0.42795181215693,0.396094544062246,"MR"
155,35,4,345,35,0.269302931071543,0.424777710744986,0.347040320908264,"MR"
