"block_id","col","row","x_km","y_km","gamma_a","gamma_b","Ii_a","p_a","class_a","Ii_b","p_b","class_b","cluster","strategy"
1,1,1,5,5,0.0997218294447136,0.377468156284011,1.18546141495835,0.051,"Not significant",1.52695237405149,0.018,"LL","Others","Increase quality"
2,2,1,15,5,0.101934460714573,0.278842318876636,1.1694640919449,0.013,"LL",1.94264558996208,0.012,"LL","Cold spot","Increase both"
3,3,1,25,5,0.0985417414003689,0.412037049037052,1.17432438964334,0.014,"LL",0.792737060250515,0.017,"LL","Cold spot","Increase both"
4,4,1,35,5,0.118765331984907,0.432992342639265,1.01694376456078,0.019,"LL",0.259238446251222,0.367,"Not significant","Others","Increase quantity"
5,5,1,45,5,0.156756073047382,0.589260812973455,0.736712550965006,0.025,"LL",-0.11937807720681,0.625,"Not significant","Others","Increase quantity"
6,6,1,55,5,0.182530408595976,0.531928641152391,0.468561562275735,0.124,"Not significant",0.0231894637221824,0.6,"Not significant","Others","No cold spot"
7,7,1,65,5,0.230223996110571,0.579467939334847,0.246792184995887,0.228,"Not significant",0.0439199873032054,0.825,"Not significant","Others","No cold spot"
8,8,1,75,5,0.260388250918414,0.527322611491869,0.182614778191163,0.209,"Not significant",-0.00853565126230072,0.787,"Not significant","Others","No cold spot"
9,9,1,85,5,0.205033101533913,0.459071872984241,0.445981832791224,0.101,"Not significant",0.39281273204942,0.031,"LL","Others","Increase quality"
10,10,1,95,5,0.103138121893334,0.231904103818082,1.03372988033727,0.04,"LL",3.02720176463608,0.001,"LL","Cold spot","Increase both"
11,11,1,105,5,0.0630128508401581,0.183107264508731,1.34491252946404,0.017,"LL",5.73276511953286,0.001,"LL","Cold spot","Increase both"
12,12,1,115,5,0.12137324153241,0.16073855339381,1.0532498586918,0.013,"LL",7.06788972926082,0.001,"LL","Cold spot","Increase both"
13,13,1,125,5,0.0942105854632167,0.0360483681486309,0.989434938352432,0.039,"LL",9.19886802061935,0.001,"LL","Cold spot","Increase both"
14,14,1,135,5,0.126050012465404,0.176911025325188,0.690406779582359,0.089,"Not significant",6.06784485357572,0.001,"LL","Others","Increase quality"
15,15,1,145,5,0.221323798912806,0.253986696079409,0.249724749061641,0.274,"Not significant",3.80902679514776,0.001,"LL","Others","Increase quality"
16,16,1,155,5,0.339413086625758,0.313429717013707,-0.0252431891615697,0.382,"Not significant",2.17111935827064,0.001,"LL","Others","Increase quality"
17,17,1,165,5,0.297349284550399,0.403690764473138,-0.000903547807761284,0.987,"Not significant",0.790525159570495,0.033,"LL","Others","Increase quality"
18,18,1,175,5,0.419149747032403,0.407793898955642,0.0231084982808996,0.92,"Not significant",0.237183945998608,0.513,"Not significant","Others","No cold spot"
19,19,1,185,5,0.394514210323374,0.500866906609313,0.0514995813891975,0.719,"Not significant",-0.000171485943755598,1,"Not significant","Others","No cold spot"
20,20,1,195,5,0.317202727621161,0.536268283898692,-0.00123527083221739,0.943,"Not significant",0.0243749968579299,0.702,"Not significant","Others","No cold spot"
21,21,1,205,5,0.373560822004396,0.575414913921332,-0.0399851816697783,0.689,"Not significant",0.0707785911574755,0.74,"Not significant","Others","No cold spot"
22,22,1,215,5,0.348323182864698,0.560343840035136,-0.0225626083929913,0.66,"Not significant",0.0565008583582323,0.664,"Not significant","Others","No cold spot"
23,23,1,225,5,0.305414719101395,0.515553634960471,0.0241265336956695,0.617,"Not significant",-0.00409391955565661,0.449,"Not significant","Others","No cold spot"
24,24,1,235,5,0.301844693627188,0.586668205229357,0.048934159237514,0.351,"Not significant",0.153277066778682,0.5,"Not significant","Others","No cold spot"
25,25,1,245,5,0.20761244901977,0.562807765544962,0.351824272741207,0.153,"Not significant",0.163191585141965,0.267,"Not significant","Others","No cold spot"
26,26,1,255,5,0.119785269323362,0.603750715666518,0.814378045175378,0.06,"Not significant",0.0421973864081676,0.868,"Not significant","Others","No cold spot"
27,27,1,265,5,0.116739338432278,0.489762207916925,1.0026384201752,0.025,"LL",0.0222522301821257,0.814,"Not significant","Others","Increase quantity"
28,28,1,275,5,0.0876119571045283,0.407126006318982,0.98261541289807,0.051,"Not significant",0.147068020917397,0.696,"Not significant","Others","No cold spot"
29,29,1,285,5,0.180337369576671,0.544837192721271,0.441925782429455,0.151,"Not significant",-0.0670448536651776,0.464,"Not significant","Others","No cold spot"
30,30,1,295,5,0.261112846681402,0.462505608823339,0.10215233837538,0.476,"Not significant",0.0598448729883907,0.725,"Not significant","Others","No cold spot"
31,31,1,305,5,0.276570799672386,0.474118879536856,0.0374863390130193,0.737,"Not significant",0.125476452290805,0.388,"Not significant","Others","No cold spot"
32,32,1,315,5,0.27818372422634,0.455164701073606,0.041677807601678,0.693,"Not significant",0.215506014279707,0.283,"Not significant","Others","No cold spot"
33,33,1,325,5,0.218324372239148,0.411727510806074,0.211088374583077,0.361,"Not significant",0.557137345885904,0.117,"Not significant","Others","No cold spot"
34,34,1,335,5,0.158108472270141,0.385818638874563,0.520794943770592,0.147,"Not significant",1.01111628983491,0.024,"LL","Others","Increase quality"
35,35,1,345,5,0.100596516072635,0.313167618675376,0.807799342377145,0.081,"Not significant",1.32642641057347,0.036,"LL","Others","Increase quality"
36,36,1,355,5,0.168098195685327,0.431739379378226,0.478121752279139,0.149,"Not significant",0.472565476168103,0.105,"Not significant","Others","No cold spot"
37,37,1,365,5,0.234129307024065,0.483668469273495,0.132904514622028,0.51,"Not significant",0.0678123884378499,0.514,"Not significant","Others","No cold spot"
38,38,1,375,5,0.322512263949713,0.522769424823922,-0.00248931581333356,0.762,"Not significant",-0.000255023696257282,0.989,"Not significant","Others","No cold spot"
39,39,1,385,5,0.463462356500774,0.574664730737738,0.236618325883088,0.442,"Not significant",0.0290494735243952,0.88,"Not significant","Others","No cold spot"
40,40,1,395,5,0.467210046442257,0.543634489469314,0.373647796597321,0.341,"Not significant",0.0409364885302867,0.702,"Not significant","Others","No cold spot"
41,1,2,5,15,0.0877361778500412,0.320662439613802,1.16064028553724,0.023,"LL",1.14742838553735,0.071,"Not significant","Others","Increase quantity"
42,2,2,15,15,0.0946788415554171,0.333299542698287,1.15706298317791,0.003,"LL",1.16909008367283,0.014,"LL","Cold spot","Increase both"
43,3,2,25,15,0.0975962718944683,0.373313871716504,1.17361789543829,0.003,"LL",0.905880046710966,0.019,"LL","Cold spot","Increase both"
44,4,2,35,15,0.0777572551017201,0.456232895493206,1.20172670280006,0.005,"LL",0.218482314663658,0.154,"Not significant","Others","Increase quantity"
45,5,2,45,15,0.116694540258133,0.464781313970645,0.858835292296019,0.011,"LL",-0.0125784398995916,0.913,"Not significant","Others","Increase quantity"
46,6,2,55,15,0.174352332166546,0.543749974879145,0.475639216059408,0.063,"Not significant",0.0635577490169436,0.349,"Not significant","Others","No cold spot"
47,7,2,65,15,0.232375545368076,0.557914474335713,0.22795785608604,0.161,"Not significant",0.0672178050629758,0.51,"Not significant","Others","No cold spot"
48,8,2,75,15,0.213494990795684,0.491888984040563,0.289910377247607,0.121,"Not significant",0.0137637961256255,0.83,"Not significant","Others","No cold spot"
49,9,2,85,15,0.137333712993136,0.417942891290232,0.58469270973033,0.058,"Not significant",0.476920803461305,0.058,"Not significant","Others","No cold spot"
50,10,2,95,15,0.103433601458946,0.279456602633814,0.938049266291463,0.01,"LL",2.22682905076096,0.001,"LL","Cold spot","Increase both"
51,11,2,105,15,0.0978099614908126,0.244890562916761,1.09875965949108,0.005,"LL",4.09319874833459,0.001,"LL","Cold spot","Increase both"
52,12,2,115,15,0.0755679627962667,0.0492459698491277,1.19138274693308,0.005,"LL",8.11273426736219,0.001,"LL","Cold spot","Increase both"
